"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","7","198"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","10","198"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","4","198"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","9","198"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","10","198"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","198"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","5","198"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","30","198"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","337"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","6","337"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","7","337"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","337"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","337"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","337"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","13","337"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","7","337"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","4","337"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","4","337"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","32","337"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1323"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1323"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1323"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1323"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1323"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1323"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1323"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1323"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1323"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1323"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1323"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","473"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","10","473"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","12","473"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","14","473"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","10","473"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","8","473"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","8","473"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","6","473"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","5","473"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","5","473"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","19","473"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","59004"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","59004"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","12","59004"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","12","59004"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","11","59004"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","9","59004"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","8","59004"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","59004"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","59004"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","5","59004"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","24","59004"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","54399"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","54399"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","12","54399"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","12","54399"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","11","54399"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","9","54399"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","8","54399"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","54399"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","54399"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","5","54399"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","24","54399"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","51964"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","51964"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","12","51964"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","12","51964"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","11","51964"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","9","51964"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","8","51964"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","51964"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","51964"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","5","51964"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","24","51964"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","2","2435"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","5","2435"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","10","2435"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","9","2435"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","10","2435"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","10","2435"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","8","2435"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","7","2435"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","6","2435"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","5","2435"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White Other","ONS 5+2","29","2435"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","471"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","471"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","14","471"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","471"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","10","471"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","471"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","471"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","471"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","471"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","471"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","23","471"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","2","2317"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","6","2317"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","7","2317"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","9","2317"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","11","2317"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","10","2317"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","9","2317"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","8","2317"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","5","2317"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","5","2317"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","29","2317"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","2","993"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","5","993"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","6","993"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","993"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","993"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","993"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","993"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","7","993"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","5","993"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","6","993"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","35","993"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","3","567"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","7","567"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","8","567"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","10","567"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","12","567"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","13","567"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","10","567"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","11","567"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","5","567"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","4","567"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","17","567"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","-","206"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","5","206"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","11","206"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","16","206"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","11","206"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","10","206"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","10","206"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","9","206"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","4","206"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","3","206"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","21","206"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","5","209"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","7","209"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","8","209"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","7","209"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","13","209"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","4","209"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","6","209"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","9","209"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","5","209"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","6","209"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","30","209"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","2","342"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","342"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","342"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","342"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","10","342"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","9","342"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","11","342"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","342"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","342"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","342"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","33","342"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1352"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","1352"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1352"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1352"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1352"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","1352"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","1352"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","1352"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1352"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1352"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","16","1352"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","4","465"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","8","465"
