"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","value_type","Denominator"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","14","%","212"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","9","%","212"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","8","%","212"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","5","%","212"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","4","%","212"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","14","%","212"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","%","187"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","%","187"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","10","%","187"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","%","187"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","12","%","187"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","%","187"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","8","%","187"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","9","%","187"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","3","%","187"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","6","%","187"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","23","%","187"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","3","%","359"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","7","%","359"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","6","%","359"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","10","%","359"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","10","%","359"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","9","%","359"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","9","%","359"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","7","%","359"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","6","%","359"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","5","%","359"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","29","%","359"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,322"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,322"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","%","1,322"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","%","1,322"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","%","1,322"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,322"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,322"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","%","1,322"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,322"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,322"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","%","1,322"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","5","%","520"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","12","%","520"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","%","520"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","%","520"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","%","520"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","9","%","520"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","8","%","520"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","6","%","520"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","4","%","520"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","4","%","520"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","19","%","520"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","2","%","59,881"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","%","59,881"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","12","%","59,881"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","12","%","59,881"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","11","%","59,881"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","9","%","59,881"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","8","%","59,881"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","%","59,881"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","%","59,881"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","5","%","59,881"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","23","%","59,881"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","2","%","55,402"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","6","%","55,402"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","12","%","55,402"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","12","%","55,402"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","11","%","55,402"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","9","%","55,402"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","8","%","55,402"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","6","%","55,402"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","6","%","55,402"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","5","%","55,402"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","24","%","55,402"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","2","%","53,052"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","7","%","53,052"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","13","%","53,052"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","12","%","53,052"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","11","%","53,052"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","9","%","53,052"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","8","%","53,052"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","6","%","53,052"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","6","%","53,052"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","5","%","53,052"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","23","%","53,052"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","2","%","2,350"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","5","%","2,350"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","9","%","2,350"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","10","%","2,350"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","9","%","2,350"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","9","%","2,350"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","8","%","2,350"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","8","%","2,350"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","6","%","2,350"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","5","%","2,350"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","28","%","2,350"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","433"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","433"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","%","433"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","%","433"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","%","433"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","%","433"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","433"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","433"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","%","433"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","433"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","23","%","433"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","2","%","2,252"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,252"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","7","%","2,252"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","10","%","2,252"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,252"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,252"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","10","%","2,252"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","8","%","2,252"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","6","%","2,252"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","4","%","2,252"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","28","%","2,252"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","2","%","980"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","5","%","980"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","6","%","980"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","9","%","980"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","9","%","980"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","10","%","980"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","8","%","980"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","6","%","980"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","6","%","980"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","5","%","980"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","33","%","980"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","2","%","516"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","6","%","516"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","8","%","516"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","12","%","516"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","15","%","516"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","12","%","516"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","12","%","516"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","9","%","516"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","5","%","516"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","2","%","516"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","16","%","516"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","-","%","221"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","5","%","221"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","10","%","221"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","17","%","221"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","15","%","221"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","8","%","221"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","7","%","221"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","8","%","221"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","5","%","221"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","3","%","221"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","21","%","221"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","198"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","198"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","8","%","198"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","7","%","198"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","10","%","198"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","4","%","198"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","9","%","198"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","10","%","198"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","198"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","5","%","198"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","30","%","198"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","%","337"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","6","%","337"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","7","%","337"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","%","337"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","%","337"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","%","337"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","13","%","337"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","7","%","337"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","4","%","337"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","4","%","337"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","32","%","337"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,323"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,323"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","%","1,323"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","%","1,323"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","%","1,323"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,323"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,323"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,323"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,323"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,323"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,323"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","%","471"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","10","%","471"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","12","%","471"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","14","%","471"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","10","%","471"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","8","%","471"
