"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","7","60,182"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","4","60,182"
"Housing Benefit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","12","60,182"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","~","60,182"
"Income Support by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","3","60,182"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","1","60,182"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","2","60,182"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","19","60,182"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","55","60,182"
"Pension Credit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","5","60,182"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","0","60,182"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","0","60,182"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","~","60,182"
"State Pension by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","28","60,182"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","~","60,182"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","White British","ONS 5+2","K02000001","5","60,182"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","41","2,921"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","42","2,921"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","13","2,921"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,921"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","1","2,921"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","1","2,921"
"Child Benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","24","2,921"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","12","2,921"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","10","2,921"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","3","2,921"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,921"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","1","2,921"
"Housing Benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","12","2,921"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,921"
"Income Support by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","1","2,921"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,921"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,921"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","15","2,921"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","39","2,921"
"Pension Credit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,921"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","0","2,921"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","0","2,921"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,921"
"State Pension by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","10","2,921"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,921"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","White non-British","ONS 5+2","K02000001","8","2,921"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","55","68,364"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","56","68,364"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","10","68,364"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","~","68,364"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","2","68,364"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","2","68,364"
"Child Benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","20","68,364"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","9","68,364"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","13","68,364"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","7","68,364"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","6","68,364"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","4","68,364"
"Housing Benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","12","68,364"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","~","68,364"
"Income Support by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","2","68,364"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","~","68,364"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","2","68,364"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","19","68,364"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","52","68,364"
"Pension Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","4","68,364"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","0","68,364"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","0","68,364"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","~","68,364"
"State Pension by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","25","68,364"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","~","68,364"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","5","68,364"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","44","478"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","45","478"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","15","478"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","~","478"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","~","478"
"Child Benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","27","478"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","14","478"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","11","478"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","478"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","2","478"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","478"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","13","478"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"Income Support by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","1","478"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","2","478"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","17","478"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","40","478"
"Pension Credit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","2","478"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","0","478"
"State Pension by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","9","478"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","1","478"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","8","478"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","46","3,298"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","47","3,298"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","16","3,298"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","3,298"
"Child Benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","27","3,298"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","15","3,298"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","12","3,298"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","5","3,298"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","3","3,298"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","3,298"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","10","3,298"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"Income Support by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","3","3,298"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","3,298"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","17","3,298"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","43","3,298"
"Pension Credit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","3","3,298"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","0","3,298"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","0","3,298"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"State Pension by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","9","3,298"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","~","3,298"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","9","3,298"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","56","343"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","56","343"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","30","343"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","~","343"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","4","343"
"Child Benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","36","343"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","29","343"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","25","343"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","343"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","5","343"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","3","343"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","24","343"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Income Support by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","7","343"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","343"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","34","343"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","50","343"
"Pension Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","343"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"State Pension by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","343"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","0","343"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","15","343"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","55","1,688"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","55","1,688"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","18","1,688"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,688"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,688"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,688"
"Child Benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","30","1,688"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","18","1,688"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","21","1,688"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,688"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,688"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,688"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","24","1,688"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,688"
"Income Support by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,688"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,688"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,688"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","30","1,688"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","46","1,688"
"Pension Credit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,688"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,688"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,688"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,688"
"State Pension by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,688"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,688"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,688"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","32","292"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","32","292"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","6","292"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","292"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","292"
"Child Benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","17","292"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","6","292"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","8","292"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","292"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","292"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","292"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","5","292"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Income Support by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","292"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","292"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","10","292"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","28","292"
"Pension Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","292"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"State Pension by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","8","292"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","0","292"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","4","292"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","44","1,300"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","45","1,300"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","9","1,300"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","0","1,300"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","1,300"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","1,300"
"Child Benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","24","1,300"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","8","1,300"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","7","1,300"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","1,300"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","1,300"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","2","1,300"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","6","1,300"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","~","1,300"
"Income Support by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","1,300"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","~","1,300"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","1,300"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","10","1,300"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","43","1,300"
"Pension Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","1,300"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","0","1,300"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","0","1,300"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","~","1,300"
"State Pension by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","12","1,300"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","~","1,300"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","1,300"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","44","664"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","44","664"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","16","664"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","664"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","664"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","664"
"Child Benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","25","664"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","15","664"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","16","664"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","664"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","664"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","664"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","17","664"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","664"
"Income Support by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","664"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","664"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","664"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","22","664"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","38","664"
"Pension Credit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","664"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","664"
