"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Asian other ","ONS 2011 5+1298","K02000001","ONS geography code","All","All","All","All","7","448"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian other ","ONS 2011 5+1299","K02000001","ONS geography code","All","All","All","All","1","448"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian other ","ONS 2011 5+1300","K02000001","ONS geography code","All","All","All","All","9","448"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1301","K02000001","ONS geography code","All","All","All","All","47","3208"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1302","K02000001","ONS geography code","All","All","All","All","48","3208"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1303","K02000001","ONS geography code","All","All","All","All","16","3208"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1304","K02000001","ONS geography code","All","All","All","All","-","3208"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1305","K02000001","ONS geography code","All","All","All","All","1","3208"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1306","K02000001","ONS geography code","All","All","All","All","1","3208"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1307","K02000001","ONS geography code","All","All","All","All","27","3208"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1308","K02000001","ONS geography code","All","All","All","All","15","3208"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1309","K02000001","ONS geography code","All","All","All","All","12","3208"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1310","K02000001","ONS geography code","All","All","All","All","4","3208"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1311","K02000001","ONS geography code","All","All","All","All","4","3208"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1312","K02000001","ONS geography code","All","All","All","All","2","3208"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1313","K02000001","ONS geography code","All","All","All","All","10","3208"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1314","K02000001","ONS geography code","All","All","All","All","-","3208"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1315","K02000001","ONS geography code","All","All","All","All","3","3208"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1316","K02000001","ONS geography code","All","All","All","All","-","3208"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1317","K02000001","ONS geography code","All","All","All","All","3","3208"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1318","K02000001","ONS geography code","All","All","All","All","18","3208"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1319","K02000001","ONS geography code","All","All","All","All","43","3208"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1320","K02000001","ONS geography code","All","All","All","All","3","3208"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1321","K02000001","ONS geography code","All","All","All","All","-","3208"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1322","K02000001","ONS geography code","All","All","All","All","9","3208"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1323","K02000001","ONS geography code","All","All","All","All","-","3208"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Asian","ONS 2011 5+1324","K02000001","ONS geography code","All","All","All","All","9","3208"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1325","K02000001","ONS geography code","All","All","All","All","55","313"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1326","K02000001","ONS geography code","All","All","All","All","56","313"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1327","K02000001","ONS geography code","All","All","All","All","30","313"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1328","K02000001","ONS geography code","All","All","All","All","0","313"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1329","K02000001","ONS geography code","All","All","All","All","1","313"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1330","K02000001","ONS geography code","All","All","All","All","3","313"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1331","K02000001","ONS geography code","All","All","All","All","35","313"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1332","K02000001","ONS geography code","All","All","All","All","29","313"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1333","K02000001","ONS geography code","All","All","All","All","23","313"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1334","K02000001","ONS geography code","All","All","All","All","7","313"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1335","K02000001","ONS geography code","All","All","All","All","5","313"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1336","K02000001","ONS geography code","All","All","All","All","6","313"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1337","K02000001","ONS geography code","All","All","All","All","23","313"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1338","K02000001","ONS geography code","All","All","All","All","0","313"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1339","K02000001","ONS geography code","All","All","All","All","5","313"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1340","K02000001","ONS geography code","All","All","All","All","0","313"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1341","K02000001","ONS geography code","All","All","All","All","3","313"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1342","K02000001","ONS geography code","All","All","All","All","32","313"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1343","K02000001","ONS geography code","All","All","All","All","48","313"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1344","K02000001","ONS geography code","All","All","All","All","2","313"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1345","K02000001","ONS geography code","All","All","All","All","0","313"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1346","K02000001","ONS geography code","All","All","All","All","8","313"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1347","K02000001","ONS geography code","All","All","All","All","0","313"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 2011 5+1348","K02000001","ONS geography code","All","All","All","All","16","313"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1349","K02000001","ONS geography code","All","All","All","All","54","1721"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1350","K02000001","ONS geography code","All","All","All","All","54","1721"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1351","K02000001","ONS geography code","All","All","All","All","19","1721"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1352","K02000001","ONS geography code","All","All","All","All","-","1721"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1353","K02000001","ONS geography code","All","All","All","All","1","1721"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1354","K02000001","ONS geography code","All","All","All","All","2","1721"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1355","K02000001","ONS geography code","All","All","All","All","29","1721"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1356","K02000001","ONS geography code","All","All","All","All","19","1721"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1357","K02000001","ONS geography code","All","All","All","All","21","1721"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1358","K02000001","ONS geography code","All","All","All","All","6","1721"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1359","K02000001","ONS geography code","All","All","All","All","4","1721"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1360","K02000001","ONS geography code","All","All","All","All","3","1721"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1361","K02000001","ONS geography code","All","All","All","All","23","1721"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1362","K02000001","ONS geography code","All","All","All","All","1","1721"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1363","K02000001","ONS geography code","All","All","All","All","6","1721"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1364","K02000001","ONS geography code","All","All","All","All","-","1721"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1365","K02000001","ONS geography code","All","All","All","All","5","1721"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1366","K02000001","ONS geography code","All","All","All","All","29","1721"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1367","K02000001","ONS geography code","All","All","All","All","47","1721"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1368","K02000001","ONS geography code","All","All","All","All","3","1721"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1369","K02000001","ONS geography code","All","All","All","All","-","1721"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1370","K02000001","ONS geography code","All","All","All","All","11","1721"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1371","K02000001","ONS geography code","All","All","All","All","-","1721"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Black","ONS 2011 5+1372","K02000001","ONS geography code","All","All","All","All","8","1721"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1373","K02000001","ONS geography code","All","All","All","All","30","282"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1374","K02000001","ONS geography code","All","All","All","All","30","282"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1375","K02000001","ONS geography code","All","All","All","All","7","282"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1376","K02000001","ONS geography code","All","All","All","All","-","282"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1377","K02000001","ONS geography code","All","All","All","All","0","282"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1378","K02000001","ONS geography code","All","All","All","All","-","282"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1379","K02000001","ONS geography code","All","All","All","All","18","282"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1380","K02000001","ONS geography code","All","All","All","All","6","282"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1381","K02000001","ONS geography code","All","All","All","All","6","282"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1382","K02000001","ONS geography code","All","All","All","All","-","282"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1383","K02000001","ONS geography code","All","All","All","All","1","282"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1384","K02000001","ONS geography code","All","All","All","All","-","282"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1385","K02000001","ONS geography code","All","All","All","All","5","282"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1386","K02000001","ONS geography code","All","All","All","All","0","282"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1387","K02000001","ONS geography code","All","All","All","All","1","282"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1388","K02000001","ONS geography code","All","All","All","All","0","282"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1389","K02000001","ONS geography code","All","All","All","All","1","282"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1390","K02000001","ONS geography code","All","All","All","All","8","282"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1391","K02000001","ONS geography code","All","All","All","All","28","282"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1392","K02000001","ONS geography code","All","All","All","All","2","282"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1393","K02000001","ONS geography code","All","All","All","All","0","282"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1394","K02000001","ONS geography code","All","All","All","All","7","282"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1395","K02000001","ONS geography code","All","All","All","All","0","282"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 2011 5+1396","K02000001","ONS geography code","All","All","All","All","5","282"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1397","K02000001","ONS geography code","All","All","All","All","45","1299"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1398","K02000001","ONS geography code","All","All","All","All","46","1299"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1399","K02000001","ONS geography code","All","All","All","All","9","1299"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1400","K02000001","ONS geography code","All","All","All","All","0","1299"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1401","K02000001","ONS geography code","All","All","All","All","1","1299"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1402","K02000001","ONS geography code","All","All","All","All","1","1299"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1403","K02000001","ONS geography code","All","All","All","All","23","1299"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1404","K02000001","ONS geography code","All","All","All","All","8","1299"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1405","K02000001","ONS geography code","All","All","All","All","9","1299"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1406","K02000001","ONS geography code","All","All","All","All","4","1299"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1407","K02000001","ONS geography code","All","All","All","All","4","1299"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1408","K02000001","ONS geography code","All","All","All","All","2","1299"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1409","K02000001","ONS geography code","All","All","All","All","6","1299"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1410","K02000001","ONS geography code","All","All","All","All","-","1299"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1411","K02000001","ONS geography code","All","All","All","All","2","1299"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1412","K02000001","ONS geography code","All","All","All","All","-","1299"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1413","K02000001","ONS geography code","All","All","All","All","2","1299"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1414","K02000001","ONS geography code","All","All","All","All","13","1299"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1415","K02000001","ONS geography code","All","All","All","All","43","1299"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1416","K02000001","ONS geography code","All","All","All","All","4","1299"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1417","K02000001","ONS geography code","All","All","All","All","-","1299"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1418","K02000001","ONS geography code","All","All","All","All","13","1299"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1419","K02000001","ONS geography code","All","All","All","All","-","1299"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 2011 5+1420","K02000001","ONS geography code","All","All","All","All","5","1299"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1421","K02000001","ONS geography code","All","All","All","All","44","617"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1422","K02000001","ONS geography code","All","All","All","All","45","617"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1423","K02000001","ONS geography code","All","All","All","All","15","617"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1424","K02000001","ONS geography code","All","All","All","All","0","617"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1425","K02000001","ONS geography code","All","All","All","All","-","617"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1426","K02000001","ONS geography code","All","All","All","All","1","617"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1427","K02000001","ONS geography code","All","All","All","All","24","617"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1428","K02000001","ONS geography code","All","All","All","All","14","617"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1429","K02000001","ONS geography code","All","All","All","All","17","617"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1430","K02000001","ONS geography code","All","All","All","All","4","617"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1431","K02000001","ONS geography code","All","All","All","All","3","617"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1432","K02000001","ONS geography code","All","All","All","All","3","617"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1433","K02000001","ONS geography code","All","All","All","All","17","617"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1434","K02000001","ONS geography code","All","All","All","All","-","617"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1435","K02000001","ONS geography code","All","All","All","All","4","617"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1436","K02000001","ONS geography code","All","All","All","All","0","617"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1437","K02000001","ONS geography code","All","All","All","All","5","617"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1438","K02000001","ONS geography code","All","All","All","All","24","617"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1439","K02000001","ONS geography code","All","All","All","All","37","617"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1440","K02000001","ONS geography code","All","All","All","All","2","617"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1441","K02000001","ONS geography code","All","All","All","All","0","617"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1442","K02000001","ONS geography code","All","All","All","All","8","617"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1443","K02000001","ONS geography code","All","All","All","All","0","617"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed","ONS 2011 5+1444","K02000001","ONS geography code","All","All","All","All","7","617"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1445","K02000001","ONS geography code","All","All","All","All","48","588"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1446","K02000001","ONS geography code","All","All","All","All","49","588"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1447","K02000001","ONS geography code","All","All","All","All","15","588"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1448","K02000001","ONS geography code","All","All","All","All","0","588"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1449","K02000001","ONS geography code","All","All","All","All","1","588"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1450","K02000001","ONS geography code","All","All","All","All","1","588"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1451","K02000001","ONS geography code","All","All","All","All","27","588"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1452","K02000001","ONS geography code","All","All","All","All","14","588"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1453","K02000001","ONS geography code","All","All","All","All","20","588"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1454","K02000001","ONS geography code","All","All","All","All","3","588"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1455","K02000001","ONS geography code","All","All","All","All","3","588"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1456","K02000001","ONS geography code","All","All","All","All","4","588"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1457","K02000001","ONS geography code","All","All","All","All","22","588"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1458","K02000001","ONS geography code","All","All","All","All","-","588"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1459","K02000001","ONS geography code","All","All","All","All","4","588"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1460","K02000001","ONS geography code","All","All","All","All","-","588"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1461","K02000001","ONS geography code","All","All","All","All","5","588"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1462","K02000001","ONS geography code","All","All","All","All","27","588"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1463","K02000001","ONS geography code","All","All","All","All","42","588"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1464","K02000001","ONS geography code","All","All","All","All","2","588"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1465","K02000001","ONS geography code","All","All","All","All","0","588"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1466","K02000001","ONS geography code","All","All","All","All","8","588"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1467","K02000001","ONS geography code","All","All","All","All","-","588"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Other","ONS 2011 5+1468","K02000001","ONS geography code","All","All","All","All","7","588"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1469","K02000001","ONS geography code","All","All","All","All","53","866"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1470","K02000001","ONS geography code","All","All","All","All","53","866"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1471","K02000001","ONS geography code","All","All","All","All","25","866"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1472","K02000001","ONS geography code","All","All","All","All","-","866"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1473","K02000001","ONS geography code","All","All","All","All","1","866"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1474","K02000001","ONS geography code","All","All","All","All","2","866"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1475","K02000001","ONS geography code","All","All","All","All","32","866"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1476","K02000001","ONS geography code","All","All","All","All","24","866"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 2011 5+1477","K02000001","ONS geography code","All","All","All","All","15","866"
