"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","0","%","319"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","0","%","319"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","0","%","319"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","0","%","319"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","30","%","259"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","30","%","259"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","7","%","259"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","9","%","259"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","28","%","259"
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","19","%","259"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","4","%","259"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","259"
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","2","%","259"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","259"
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","%","259"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","7","%","259"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","2","%","259"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","%","259"
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","6","%","259"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","%","259"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","2","%","259"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","0","%","259"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","49","%","436"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","49","%","436"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","16","%","436"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","19","%","436"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","44","%","436"
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","30","%","436"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","10","%","436"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","16","%","436"
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","%","436"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","15","%","436"
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","3","%","436"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","13","%","436"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","%","436"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","1","%","436"
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","8","%","436"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","1","%","436"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","1","%","436"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","1","%","436"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","%","436"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","%","436"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","0","%","436"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","58","%","1,659"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","57","%","1,659"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","22","%","1,659"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","32","%","1,659"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","49","%","1,659"
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","31","%","1,659"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,659"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","21","%","1,659"
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,659"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","25","%","1,659"
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,659"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","25","%","1,659"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","%","1,659"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,659"
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,659"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,659"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,659"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,659"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,659"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,659"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,659"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,659"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,659"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,659"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,659"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,659"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","49","%","593"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","47","%","593"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","17","%","593"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","26","%","593"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","42","%","593"
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","26","%","593"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","8","%","593"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","15","%","593"
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","19","%","593"
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","3","%","593"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","19","%","593"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","6","%","593"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","9","%","593"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","1","%","593"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","1","%","593"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","57","%","69,237"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","56","%","69,237"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","11","%","69,237"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","19","%","69,237"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","53","%","69,237"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","20","%","69,237"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","5","%","69,237"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","10","%","69,237"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","3","%","69,237"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","13","%","69,237"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","4","%","69,237"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","14","%","69,237"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","3","%","69,237"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","4","%","69,237"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","25","%","69,237"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","-","%","69,237"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","-","%","69,237"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","-","%","69,237"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","%","69,237"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","%","69,237"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","7","%","69,237"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","%","69,237"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","0","%","69,237"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","0","%","69,237"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","-","%","69,237"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","-","%","69,237"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","58","%","63,110"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","57","%","63,110"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","10","%","63,110"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","19","%","63,110"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","54","%","63,110"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","19","%","63,110"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","5","%","63,110"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","9","%","63,110"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","3","%","63,110"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","12","%","63,110"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","5","%","63,110"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","14","%","63,110"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","%","63,110"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","4","%","63,110"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","27","%","63,110"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","-","%","63,110"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","-","%","63,110"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","-","%","63,110"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","%","63,110"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","%","63,110"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","7","%","63,110"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","%","63,110"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","0","%","63,110"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","0","%","63,110"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","1","%","63,110"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","-","%","63,110"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","59","%","60,182"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","58","%","60,182"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","10","%","60,182"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","19","%","60,182"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","55","%","60,182"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","19","%","60,182"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","5","%","60,182"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","9","%","60,182"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","3","%","60,182"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","12","%","60,182"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","5","%","60,182"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","14","%","60,182"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","%","60,182"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","4","%","60,182"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","28","%","60,182"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","-","%","60,182"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","-","%","60,182"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","-","%","60,182"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","%","60,182"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","%","60,182"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","7","%","60,182"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","7","%","60,182"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","0","%","60,182"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","0","%","60,182"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","1","%","60,182"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","-","%","60,182"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","42","%","2,928"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","41","%","2,928"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","13","%","2,928"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","15","%","2,928"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","39","%","2,928"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","24","%","2,928"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","8","%","2,928"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","12","%","2,928"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","1","%","2,928"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","12","%","2,928"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","%","2,928"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","10","%","2,928"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","%","2,928"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","1","%","2,928"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","10","%","2,928"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","%","2,928"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","%","2,928"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","%","2,928"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","1","%","2,928"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","1","%","2,928"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","3","%","2,928"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","%","2,928"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","0","%","2,928"
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","0","%","2,928"
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","%","2,928"
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","%","2,928"
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","45","%","617"
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","44","%","617"
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","15","%","617"
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","24","%","617"
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","37","%","617"
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","24","%","617"
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","%","617"
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","14","%","617"
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","%","617"
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","17","%","617"
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","617"
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","17","%","617"
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","617"
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","617"
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","617"
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","617"
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","617"
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","617"
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","617"
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","617"
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","%","617"
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","617"
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","617"
