"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","1 Managers, Directors And Senior Officia","SOC 2010","10","%","747200","73900","5.42",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","2 Professional Occupations","SOC 2010","31","%","747200","229300","4.75",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","3 Associate Professional And Technical O","SOC 2010","12","%","747200","88200","5.58",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","4 Administrative And Secretarial Occupat","SOC 2010","11","%","747200","81200","5.28",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","5 Skilled Trades Occupations","SOC 2010","6","%","747200","41400","5.46",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","6 Caring, Leisure And Other Service Occu","SOC 2010","6","%","747200","41300","5.26",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","7 Sales And Customer Service Occupations","SOC 2010","11","%","747200","81700","5.56",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","8 Process, Plant And Machine Operatives","SOC 2010","6","%","747200","44100","5.18",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Indian","9 Elementary Occupations","SOC 2010","9","%","747200","65800","5.21",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","1 Managers, Directors And Senior Officia","SOC 2010","8","%","247200","19100","7.98",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","2 Professional Occupations","SOC 2010","22","%","247200","54600","7.6",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","3 Associate Professional And Technical O","SOC 2010","19","%","247200","46300","7.79",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","4 Administrative And Secretarial Occupat","SOC 2010","13","%","247200","31700","8.39",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","5 Skilled Trades Occupations","SOC 2010","6","%","247200","14700","8.19",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","6 Caring, Leisure And Other Service Occu","SOC 2010","9","%","247200","22600","7.58",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","7 Sales And Customer Service Occupations","SOC 2010","11","%","247200","27200","8.04",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","8 Process, Plant And Machine Operatives","SOC 2010","3","%","247200","7200","7.9",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Mixed","9 Elementary Occupations","SOC 2010","10","%","247200","23900","8.05",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","1 Managers, Directors And Senior Officia","SOC 2010","8","%","438100","36300","7.24",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","2 Professional Occupations","SOC 2010","24","%","438100","105600","6.76",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","3 Associate Professional And Technical O","SOC 2010","12","%","438100","50400","7.28",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","4 Administrative And Secretarial Occupat","SOC 2010","8","%","438100","36600","7.32",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","5 Skilled Trades Occupations","SOC 2010","7","%","438100","30100","7.11",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","6 Caring, Leisure And Other Service Occu","SOC 2010","10","%","438100","43200","6.9",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","7 Sales And Customer Service Occupations","SOC 2010","10","%","438100","43300","7.44",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","8 Process, Plant And Machine Operatives","SOC 2010","6","%","438100","24900","7.62",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Asian Other","9 Elementary Occupations","SOC 2010","16","%","438100","67800","6.89",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","1 Managers, Directors And Senior Officia","SOC 2010","10","%","394600","40000","7.24",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","2 Professional Occupations","SOC 2010","21","%","394600","82700","6.94",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","3 Associate Professional And Technical O","SOC 2010","14","%","394600","53400","7.85",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","4 Administrative And Secretarial Occupat","SOC 2010","9","%","394600","34300","7.73",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","5 Skilled Trades Occupations","SOC 2010","8","%","394600","30900","7.71",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","6 Caring, Leisure And Other Service Occu","SOC 2010","7","%","394600","29300","7.12",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","7 Sales And Customer Service Occupations","SOC 2010","9","%","394600","35100","8.1",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","8 Process, Plant And Machine Operatives","SOC 2010","7","%","394600","27400","7.49",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Other","9 Elementary Occupations","SOC 2010","16","%","394600","61500","7.2",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","1 Managers, Directors And Senior Officia","SOC 2010","10","%","500600","48000","6.31",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","2 Professional Occupations","SOC 2010","14","%","500600","72000","6.37",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","3 Associate Professional And Technical O","SOC 2010","8","%","500600","39800","6.66",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","4 Administrative And Secretarial Occupat","SOC 2010","10","%","500600","48600","6.83",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","5 Skilled Trades Occupations","SOC 2010","8","%","500600","41400","6.7",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","6 Caring, Leisure And Other Service Occu","SOC 2010","7","%","500600","36700","6.79",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","7 Sales And Customer Service Occupations","SOC 2010","13","%","500600","65100","6.63",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","8 Process, Plant And Machine Operatives","SOC 2010","15","%","500600","77200","6.26",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","Pakistani, Bangladeshi","9 Elementary Occupations","SOC 2010","14","%","500600","71800","6.84",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","1 Managers, Directors And Senior Officia","SOC 2010","10","%","26273100","2708300","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","2 Professional Occupations","SOC 2010","19","%","26273100","5004700","0.73",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","3 Associate Professional And Technical O","SOC 2010","14","%","26273100","3772300","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","4 Administrative And Secretarial Occupat","SOC 2010","11","%","26273100","2928500","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","5 Skilled Trades Occupations","SOC 2010","11","%","26273100","2920500","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","6 Caring, Leisure And Other Service Occu","SOC 2010","9","%","26273100","2378700","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","7 Sales And Customer Service Occupations","SOC 2010","8","%","26273100","2098800","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","8 Process, Plant And Machine Operatives","SOC 2010","6","%","26273100","1643600","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White","9 Elementary Occupations","SOC 2010","11","%","26273100","2817700","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","1 Managers, Directors And Senior Officia","SOC 2010","10","%","24015200","2505800","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","2 Professional Occupations","SOC 2010","19","%","24015200","4509800","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","3 Associate Professional And Technical O","SOC 2010","14","%","24015200","3463300","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","4 Administrative And Secretarial Occupat","SOC 2010","12","%","24015200","2750500","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","5 Skilled Trades Occupations","SOC 2010","11","%","24015200","2699000","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","6 Caring, Leisure And Other Service Occu","SOC 2010","9","%","24015200","2213800","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","7 Sales And Customer Service Occupations","SOC 2010","8","%","24015200","1984200","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","8 Process, Plant And Machine Operatives","SOC 2010","6","%","24015200","1467800","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White British","9 Elementary Occupations","SOC 2010","10","%","24015200","2421100","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","1 Managers, Directors And Senior Officia","SOC 2010","9","%","2256500","202300","2.88",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","2 Professional Occupations","SOC 2010","22","%","2256500","494900","2.64",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","3 Associate Professional And Technical O","SOC 2010","14","%","2256500","308600","2.84",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","4 Administrative And Secretarial Occupat","SOC 2010","8","%","2256500","177700","2.81",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","5 Skilled Trades Occupations","SOC 2010","10","%","2256500","221500","2.86",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","6 Caring, Leisure And Other Service Occu","SOC 2010","7","%","2256500","164700","2.82",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","7 Sales And Customer Service Occupations","SOC 2010","5","%","2256500","114600","2.85",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","8 Process, Plant And Machine Operatives","SOC 2010","8","%","2256500","175800","2.86",""
"Proportion of ethnic group who are employed, split by occupation group","2012","Year","White Other","9 Elementary Occupations","SOC 2010","18","%","2256500","396400","2.75",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","29698100","3026100","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","2  'Professional Occupations'","SOC 2010","20","%","29698100","5884900","0.46",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","29698100","4135100","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","29698100","3236200","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","5  'Skilled Trades Occupations'","SOC 2010","11","%","29698100","3193000","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","29698100","2739400","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","29698100","2368100","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","29698100","1890000","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","All","9  'Elementary Occupations'","SOC 2010","11","%","29698100","3225400","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","1698700","161500","3.56",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","2  'Professional Occupations'","SOC 2010","25","%","1698700","424800","3.3",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","3  'Associate Professional And Technical Occupations'","SOC 2010","10","%","1698700","176300","3.71",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","1698700","161000","3.66",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","5  'Skilled Trades Occupations'","SOC 2010","7","%","1698700","111400","3.68",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","1698700","125300","3.63",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","1698700","192900","3.73",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","8  'Process, Plant And Machine Operatives'","SOC 2010","9","%","1698700","144500","3.58",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian","9  'Elementary Occupations'","SOC 2010","12","%","1698700","201000","3.56",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","1  'Managers, Directors And Senior Officials'","SOC 2010","6","%","706500","42400","5.97",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","2  'Professional Occupations'","SOC 2010","23","%","706500","162400","5.3",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","706500","82400","5.93",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","706500","62500","5.86",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","5  'Skilled Trades Occupations'","SOC 2010","6","%","706500","39200","6.2",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","16","%","706500","111600","5.39",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","706500","58800","6.21",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","706500","40900","6.08",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Black","9  'Elementary Occupations'","SOC 2010","15","%","706500","106200","5.79",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","746000","70300","5.24",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","2  'Professional Occupations'","SOC 2010","32","%","746000","238300","4.69",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","746000","85500","5.61",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","746000","71800","5.27",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","5  'Skilled Trades Occupations'","SOC 2010","6","%","746000","44100","5.64",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","746000","51300","5.54",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","7  'Sales And Customer Service Occupations'","SOC 2010","10","%","746000","74700","5.46",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","746000","41600","5.13",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Indian","9  'Elementary Occupations'","SOC 2010","9","%","746000","68500","5.25",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","1  'Managers, Directors And Senior Officials'","SOC 2010","7","%","272600","18800","7.63",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","2  'Professional Occupations'","SOC 2010","22","%","272600","59300","7.15",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","3  'Associate Professional And Technical Occupations'","SOC 2010","17","%","272600","46800","7.68",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","272600","29500","7.83",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","5  'Skilled Trades Occupations'","SOC 2010","7","%","272600","19800","8.08",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","10","%","272600","27200","7.66",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","272600","30700","7.49",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","8  'Process, Plant And Machine Operatives'","SOC 2010","4","%","272600","9500","7.71",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Mixed","9  'Elementary Occupations'","SOC 2010","11","%","272600","30900","7.82",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","423900","38100","7.54",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","2  'Professional Occupations'","SOC 2010","25","%","423900","107600","6.82",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","423900","49200","7.49",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","423900","35900","7.57",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","5  'Skilled Trades Occupations'","SOC 2010","6","%","423900","25000","7.09",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","10","%","423900","40800","7.15",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","423900","45000","7.72",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","423900","25600","7.75",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Asian Other","9  'Elementary Occupations'","SOC 2010","13","%","423900","56700","7.04",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","400700","39100","7.18",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","2  'Professional Occupations'","SOC 2010","20","%","400700","81700","6.89",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","3  'Associate Professional And Technical Occupations'","SOC 2010","11","%","400700","45400","7.41",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","4  'Administrative And Secretarial Occupations'","SOC 2010","6","%","400700","25800","7.47",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","5  'Skilled Trades Occupations'","SOC 2010","9","%","400700","35200","7.68",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","11","%","400700","43200","7.19",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","7  'Sales And Customer Service Occupations'","SOC 2010","9","%","400700","34700","7.84",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","8  'Process, Plant And Machine Operatives'","SOC 2010","7","%","400700","27000","7.52",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Other","9  'Elementary Occupations'","SOC 2010","17","%","400700","68800","7.2",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","528800","53000","6.38",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","2  'Professional Occupations'","SOC 2010","15","%","528800","78900","6.21",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","3  'Associate Professional And Technical Occupations'","SOC 2010","8","%","528800","41600","6.51",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","528800","53300","6.85",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","5  'Skilled Trades Occupations'","SOC 2010","8","%","528800","42300","6.62",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","6","%","528800","33200","6.48",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","7  'Sales And Customer Service Occupations'","SOC 2010","14","%","528800","73300","6.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","8  'Process, Plant And Machine Operatives'","SOC 2010","15","%","528800","77400","6.31",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","Pakistani, Bangladeshi","9  'Elementary Occupations'","SOC 2010","14","%","528800","75800","6.56",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","26606400","2763300","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","2  'Professional Occupations'","SOC 2010","19","%","26606400","5152300","0.73",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","26606400","3782700","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","26606400","2956500","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","5  'Skilled Trades Occupations'","SOC 2010","11","%","26606400","2986700","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","26606400","2430900","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","26606400","2048500","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","26606400","1667800","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White","9  'Elementary Occupations'","SOC 2010","11","%","26606400","2817800","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","24261400","2536200","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","2  'Professional Occupations'","SOC 2010","19","%","24261400","4659000","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","24261400","3486100","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","24261400","2759000","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","5  'Skilled Trades Occupations'","SOC 2010","11","%","24261400","2737300","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","24261400","2254400","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","24261400","1939000","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","24261400","1473800","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White British","9  'Elementary Occupations'","SOC 2010","10","%","24261400","2416400","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","2340300","227000","2.8",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","2  'Professional Occupations'","SOC 2010","21","%","2340300","492900","2.61",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","2340300","295900","2.79",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","4  'Administrative And Secretarial Occupations'","SOC 2010","8","%","2340300","196700","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","5  'Skilled Trades Occupations'","SOC 2010","11","%","2340300","248600","2.86",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","8","%","2340300","175100","2.75",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","7  'Sales And Customer Service Occupations'","SOC 2010","5","%","2340300","108800","2.91",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","8  'Process, Plant And Machine Operatives'","SOC 2010","8","%","2340300","194000","2.78",""
"Proportion of ethnic group who are employed, split by occupation group","2013","Year","White Other","9  'Elementary Occupations'","SOC 2010","17","%","2340300","401300","2.65",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","30327900","3098100","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","2  'Professional Occupations'","SOC 2010","20","%","30327900","6022100","0.46",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","30327900","4249700","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","30327900","3268900","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","5  'Skilled Trades Occupations'","SOC 2010","11","%","30327900","3291900","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","30327900","2811000","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","30327900","2378400","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","30327900","1920400","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","All","9  'Elementary Occupations'","SOC 2010","11","%","30327900","3287500","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","1833000","182700","3.48",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","2  'Professional Occupations'","SOC 2010","25","%","1833000","464100","3.2",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","3  'Associate Professional And Technical Occupations'","SOC 2010","11","%","1833000","198300","3.62",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","1833000","160100","3.59",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","5  'Skilled Trades Occupations'","SOC 2010","7","%","1833000","119500","3.58",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","8","%","1833000","143800","3.44",""
"Proportion of ethnic group who are employed, split by occupation group","2014","Year","Asian","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","1833000","199400","3.52",""
