"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Value","Value_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","All","England and Wales","3.8","Percentage of Numerator / Denominator","1381350","Average number of JSA claimants a month matching date, geographic and ethnicity status","36238632","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","North East","Government Region","5.6","Percentage of Numerator / Denominator","93305","Average number of JSA claimants a month matching date, geographic and ethnicity status","1671021","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","North West","Government Region","4.4","Percentage of Numerator / Denominator","200370","Average number of JSA claimants a month matching date, geographic and ethnicity status","4531660","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","Yorkshire and The Humber","Government Region","4.8","Percentage of Numerator / Denominator","164065","Average number of JSA claimants a month matching date, geographic and ethnicity status","3401192","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","East Midlands","Government Region","3.7","Percentage of Numerator / Denominator","108970","Average number of JSA claimants a month matching date, geographic and ethnicity status","2912228","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","West Midlands","Government Region","4.6","Percentage of Numerator / Denominator","165030","Average number of JSA claimants a month matching date, geographic and ethnicity status","3557552","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","East","Government Region","3.1","Percentage of Numerator / Denominator","115130","Average number of JSA claimants a month matching date, geographic and ethnicity status","3707875","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","London","Government Region","4","Percentage of Numerator / Denominator","226510","Average number of JSA claimants a month matching date, geographic and ethnicity status","5704172","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","South East","Government Region","2.5","Percentage of Numerator / Denominator","139260","Average number of JSA claimants a month matching date, geographic and ethnicity status","5504609","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","South West","Government Region","2.7","Percentage of Numerator / Denominator","89075","Average number of JSA claimants a month matching date, geographic and ethnicity status","3316686","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2012","Calendar Year","Wales","Government Region","4.1","Percentage of Numerator / Denominator","79645","Average number of JSA claimants a month matching date, geographic and ethnicity status","1931637","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","All","England and Wales","3.7","Percentage of Numerator / Denominator","1333765","Average number of JSA claimants a month matching date, geographic and ethnicity status","36288896","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","North East","Government Region","5.1","Percentage of Numerator / Denominator","85195","Average number of JSA claimants a month matching date, geographic and ethnicity status","1681674","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","North West","Government Region","4.2","Percentage of Numerator / Denominator","190270","Average number of JSA claimants a month matching date, geographic and ethnicity status","4552765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","Yorkshire and The Humber","Government Region","4.5","Percentage of Numerator / Denominator","153375","Average number of JSA claimants a month matching date, geographic and ethnicity status","3409275","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","East Midlands","Government Region","3.5","Percentage of Numerator / Denominator","103280","Average number of JSA claimants a month matching date, geographic and ethnicity status","2919158","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","West Midlands","Government Region","4.6","Percentage of Numerator / Denominator","164110","Average number of JSA claimants a month matching date, geographic and ethnicity status","3561093","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","East","Government Region","3","Percentage of Numerator / Denominator","111970","Average number of JSA claimants a month matching date, geographic and ethnicity status","3719075","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","London","Government Region","4","Percentage of Numerator / Denominator","227700","Average number of JSA claimants a month matching date, geographic and ethnicity status","5664416","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","South East","Government Region","2.5","Percentage of Numerator / Denominator","137430","Average number of JSA claimants a month matching date, geographic and ethnicity status","5513564","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","South West","Government Region","2.6","Percentage of Numerator / Denominator","85490","Average number of JSA claimants a month matching date, geographic and ethnicity status","3326352","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2011","Calendar Year","Wales","Government Region","3.9","Percentage of Numerator / Denominator","74950","Average number of JSA claimants a month matching date, geographic and ethnicity status","1941524","Number of people in the population aged 16-24 matching geographic and ethnicity status"
