"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Tariff marker","Number","Value","Value_type","Value_note"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2019/20","Academic Year","Low","6055","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2019/20","Academic Year","Low","297310","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2019/20","Academic Year","Medium","166910","73.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2019/20","Academic Year","Medium","16290","7.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2019/20","Academic Year","Medium","31220","13.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2019/20","Academic Year","Medium","9265","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2019/20","Academic Year","Medium","4405","1.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2019/20","Academic Year","Medium","4355","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2019/20","Academic Year","Medium","232440","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2019/20","Academic Year","Other","1830","74.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2019/20","Academic Year","Other","130","5.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2019/20","Academic Year","Other","305","12.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2019/20","Academic Year","Other","150","6.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2019/20","Academic Year","Other","40","1.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2019/20","Academic Year","Other","60","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2019/20","Academic Year","Other","2515","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2019/20","Academic Year","Total","571010","73.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2019/20","Academic Year","Total","63315","8.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2019/20","Academic Year","Total","90130","11.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2019/20","Academic Year","Total","32745","4.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2019/20","Academic Year","Total","15115","2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2019/20","Academic Year","Total","16785","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2019/20","Academic Year","Total","789100","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2020/21","Academic Year","High","211170","77.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2020/21","Academic Year","High","12065","4.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2020/21","Academic Year","High","32125","11.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2020/21","Academic Year","High","12535","4.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2020/21","Academic Year","High","5020","1.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2020/21","Academic Year","High","6100","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2020/21","Academic Year","High","279020","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2020/21","Academic Year","Low","224020","71.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2020/21","Academic Year","Low","36250","11.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2020/21","Academic Year","Low","33640","10.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2020/21","Academic Year","Low","13705","4.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2020/21","Academic Year","Low","7385","2.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2020/21","Academic Year","Low","7875","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2020/21","Academic Year","Low","322880","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2020/21","Academic Year","Medium","204005","74.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2020/21","Academic Year","Medium","19345","7.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2020/21","Academic Year","Medium","33985","12.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2020/21","Academic Year","Medium","10930","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2020/21","Academic Year","Medium","4850","1.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2020/21","Academic Year","Medium","4645","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2020/21","Academic Year","Medium","277765","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2020/21","Academic Year","Other","1960","72.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2020/21","Academic Year","Other","170","6.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2020/21","Academic Year","Other","375","13.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2020/21","Academic Year","Other","150","5.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2020/21","Academic Year","Other","55","2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2020/21","Academic Year","Other","60","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2020/21","Academic Year","Other","2770","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2020/21","Academic Year","Total","641160","74.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2020/21","Academic Year","Total","67835","7.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2020/21","Academic Year","Total","100125","11.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2020/21","Academic Year","Total","37325","4.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2020/21","Academic Year","Total","17310","2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2020/21","Academic Year","Total","18685","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2020/21","Academic Year","Total","882435","NA","%","Tariff denom"
