"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barnsley Hospital NHS Foundation Trust","RFF","All","All","North","Grouped region","Acute Trust","84","%","751","890"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","White","White & Other","North","Grouped region","Acute Trust","86","%","1280","1482"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Other","White & Other","North","Grouped region","Acute Trust","81","%","59","73"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","All","All","North","Grouped region","Acute Trust","86","%","1339","1555"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bolton NHS Foundation Trust","RMC","White","White & Other","North","Grouped region","Acute Trust","90","%","301","335"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bolton NHS Foundation Trust","RMC","Other","White & Other","North","Grouped region","Acute Trust","72","%","26","36"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bolton NHS Foundation Trust","RMC","All","All","North","Grouped region","Acute Trust","88","%","327","371"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford District Care NHS Foundation Trust","TAD","White","White & Other","North","Grouped region","Mental Health Trust","85","%","781","915"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford District Care NHS Foundation Trust","TAD","Other","White & Other","North","Grouped region","Mental Health Trust","66","%","85","129"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford District Care NHS Foundation Trust","TAD","All","All","North","Grouped region","Mental Health Trust","83","%","866","1044"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute Trust","89","%","948","1062"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute Trust","68","%","192","282"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bradford Teaching Hospitals NHS Foundation Trust","RAE","All","All","North","Grouped region","Acute Trust","85","%","1140","1344"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community Provider Trust","88","%","647","737"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Other","White & Other","North","Grouped region","Community Provider Trust","93","%","14","15"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bridgewater Community Healthcare NHS Foundation Trust","RY2","All","All","North","Grouped region","Community Provider Trust","88","%","661","752"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute Trust","88","%","1238","1402"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute Trust","68","%","113","165"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Calderdale and Huddersfield NHS Foundation Trust","RWY","All","All","North","Grouped region","Acute Trust","86","%","1351","1567"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central Manchester University Hospitals NHS Foundation Trust","RW3","White","White & Other","North","Grouped region","Acute Trust","83","%","2269","2733"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central Manchester University Hospitals NHS Foundation Trust","RW3","Other","White & Other","North","Grouped region","Acute Trust","66","%","312","475"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central Manchester University Hospitals NHS Foundation Trust","RW3","All","All","North","Grouped region","Acute Trust","80","%","2581","3208"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","White","White & Other","North","Grouped region","Mental Health Trust","90","%","980","1089"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Other","White & Other","North","Grouped region","Mental Health Trust","90","%","37","41"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","All","All","North","Grouped region","Mental Health Trust","90","%","1017","1130"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","City Hospitals Sunderland NHS Foundation Trust","RLN","White","White & Other","North","Grouped region","Acute Trust","89","%","997","1122"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","City Hospitals Sunderland NHS Foundation Trust","RLN","Other","White & Other","North","Grouped region","Acute Trust","74","%","86","116"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","City Hospitals Sunderland NHS Foundation Trust","RLN","All","All","North","Grouped region","Acute Trust","87","%","1083","1238"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute Trust","88","%","817","927"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute Trust","84","%","37","44"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Countess of Chester Hospital NHS Foundation Trust","RJR","All","All","North","Grouped region","Acute Trust","88","%","854","971"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute Trust","90","%","1763","1950"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","County Durham and Darlington NHS Foundation Trust","RXP","Other","White & Other","North","Grouped region","Acute Trust","85","%","80","94"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","County Durham and Darlington NHS Foundation Trust","RXP","All","All","North","Grouped region","Acute Trust","90","%","1843","2044"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cumbria Partnership NHS Foundation Trust","RNN","White","White & Other","North","Grouped region","Mental Health Trust","88","%","1102","1251"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cumbria Partnership NHS Foundation Trust","RNN","Other","White & Other","North","Grouped region","Mental Health Trust","76","%","22","29"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cumbria Partnership NHS Foundation Trust","RNN","All","All","North","Grouped region","Mental Health Trust","88","%","1124","1280"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute Trust","83","%","1543","1857"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute Trust","74","%","100","135"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","All","All","North","Grouped region","Acute Trust","82","%","1643","1992"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute Trust","90","%","558","620"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute Trust","80","%","32","40"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Cheshire NHS Trust","RJN","All","All","North","Grouped region","Acute Trust","89","%","590","660"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute Trust","87","%","1788","2064"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute Trust","68","%","184","271"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Lancashire Hospitals NHS Trust","RXR","All","All","North","Grouped region","Acute Trust","84","%","1972","2335"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute Trust","93","%","974","1049"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute Trust","82","%","46","56"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gateshead Health NHS Foundation Trust","RR7","All","All","North","Grouped region","Acute Trust","92","%","1020","1105"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental Health Trust","89","%","807","911"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental Health Trust","77","%","89","115"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Greater Manchester Mental Health NHS Foundation Trust","RXV","All","All","North","Grouped region","Mental Health Trust","87","%","896","1026"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute Trust","91","%","379","418"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute Trust","96","%","26","27"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Harrogate and District NHS Foundation Trust","RCD","All","All","North","Grouped region","Acute Trust","91","%","405","445"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hull And East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute Trust","90","%","2016","2250"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hull And East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute Trust","81","%","162","201"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hull And East Yorkshire Hospitals NHS Trust","RWA","All","All","North","Grouped region","Acute Trust","89","%","2178","2451"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health Trust","89","%","247","278"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health Trust","100","%","15","15"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Humber NHS Foundation Trust","RV9","All","All","North","Grouped region","Mental Health Trust","89","%","262","293"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental Health Trust","82","%","234","287"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental Health Trust","63","%","17","27"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Care NHS Foundation Trust","RW5","All","All","North","Grouped region","Mental Health Trust","80","%","251","314"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute Trust","86","%","1986","2305"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute Trust","78","%","254","324"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","All","All","North","Grouped region","Acute Trust","85","%","2240","2629"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health Trust","88","%","684","780"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health Trust","81","%","87","107"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds and York Partnership NHS Foundation Trust","RGD","All","All","North","Grouped region","Mental Health Trust","87","%","771","887"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Community Healthcare NHS Trust","RY6","White","White & Other","North","Grouped region","Community Provider Trust","91","%","891","976"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Community Healthcare NHS Trust","RY6","Other","White & Other","North","Grouped region","Community Provider Trust","73","%","52","71"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Community Healthcare NHS Trust","RY6","All","All","North","Grouped region","Community Provider Trust","90","%","943","1047"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute Trust","90","%","2946","3264"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute Trust","75","%","283","375"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leeds Teaching Hospitals NHS Trust","RR8","All","All","North","Grouped region","Acute Trust","89","%","3229","3639"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Community Health NHS Trust","RY1","White","White & Other","North","Grouped region","Community Provider Trust","86","%","398","465"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Community Health NHS Trust","RY1","Other","White & Other","North","Grouped region","Community Provider Trust","80","%","16","20"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Community Health NHS Trust","RY1","All","All","North","Grouped region","Community Provider Trust","85","%","414","485"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute Trust","90","%","513","570"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute Trust","82","%","40","49"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","All","All","North","Grouped region","Acute Trust","89","%","553","619"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute Trust","90","%","485","537"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute Trust","89","%","34","38"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Liverpool Women's NHS Foundation Trust","REP","All","All","North","Grouped region","Acute Trust","90","%","519","575"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental Health Trust","84","%","1395","1654"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental Health Trust","77","%","72","94"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mersey Care NHS Foundation Trust","RW4","All","All","North","Grouped region","Mental Health Trust","84","%","1467","1748"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute Trust","93","%","404","435"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute Trust","84","%","16","19"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Cheshire Hospitals NHS Foundation Trust","RBT","All","All","North","Grouped region","Acute Trust","93","%","420","454"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Yorkshire Hospitals NHS Trust","RXF","White","White & Other","North","Grouped region","Acute Trust","84","%","1589","1891"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Yorkshire Hospitals NHS Trust","RXF","Other","White & Other","North","Grouped region","Acute Trust","68","%","130","190"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Yorkshire Hospitals NHS Trust","RXF","All","All","North","Grouped region","Acute Trust","83","%","1719","2081"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Cumbria University Hospitals NHS Trust","RNL","White","White & Other","North","Grouped region","Acute Trust","84","%","895","1060"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Cumbria University Hospitals NHS Trust","RNL","Other","White & Other","North","Grouped region","Acute Trust","60","%","32","53"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Cumbria University Hospitals NHS Trust","RNL","All","All","North","Grouped region","Acute Trust","83","%","927","1113"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East Ambulance Service NHS Foundation Trust","RX6","White","White & Other","North","Grouped region","Ambulance Trust","72","%","619","864"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East Ambulance Service NHS Foundation Trust","RX6","Other","White & Other","North","Grouped region","Ambulance Trust","82","%","9","11"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East Ambulance Service NHS Foundation Trust","RX6","All","All","North","Grouped region","Ambulance Trust","72","%","628","875"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute Trust","94","%","361","384"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute Trust","80","%","28","35"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Tees and Hartlepool NHS Foundation Trust","RVW","All","All","North","Grouped region","Acute Trust","93","%","389","419"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Ambulance Service NHS Trust","RX7","White","White & Other","North","Grouped region","Ambulance Trust","69","%","1057","1529"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Ambulance Service NHS Trust","RX7","Other","White & Other","North","Grouped region","Ambulance Trust","45","%","25","55"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Ambulance Service NHS Trust","RX7","All","All","North","Grouped region","Ambulance Trust","68","%","1082","1584"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health Trust","91","%","863","944"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health Trust","89","%","47","53"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Boroughs Healthcare NHS Foundation Trust","RTV","All","All","North","Grouped region","Mental Health Trust","91","%","910","997"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute Trust","79","%","900","1140"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute Trust","73","%","67","92"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","All","All","North","Grouped region","Acute Trust","78","%","967","1232"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","White","White & Other","North","Grouped region","Mental Health Trust","92","%","2488","2699"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Other","White & Other","North","Grouped region","Mental Health Trust","81","%","80","99"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","All","All","North","Grouped region","Mental Health Trust","92","%","2568","2798"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute Trust","94","%","581","616"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute Trust","81","%","25","31"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northumbria Healthcare NHS Foundation Trust","RTF","All","All","North","Grouped region","Acute Trust","94","%","606","647"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute Trust","85","%","1489","1757"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute Trust","65","%","133","206"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Acute Hospitals NHS Trust","RW6","All","All","North","Grouped region","Acute Trust","83","%","1622","1963"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health Trust","87","%","838","962"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health Trust","66","%","47","71"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Pennine Care NHS Foundation Trust","RT2","All","All","North","Grouped region","Mental Health Trust","86","%","885","1033"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","White","White & Other","North","Grouped region","Mental Health Trust","88","%","750","856"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Other","White & Other","North","Grouped region","Mental Health Trust","88","%","21","24"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","All","All","North","Grouped region","Mental Health Trust","88","%","771","880"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salford Royal NHS Foundation Trust","RM3","White","White & Other","North","Grouped region","Acute Trust","83","%","1550","1862"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salford Royal NHS Foundation Trust","RM3","Other","White & Other","North","Grouped region","Acute Trust","66","%","119","179"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salford Royal NHS Foundation Trust","RM3","All","All","North","Grouped region","Acute Trust","82","%","1669","2041"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute Trust","87","%","781","902"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute Trust","73","%","52","71"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Children's NHS Foundation Trust","RCU","All","All","North","Grouped region","Acute Trust","86","%","833","973"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Health & Social Care NHS Foundation Trust","TAH","White","White & Other","North","Grouped region","Mental Health Trust","82","%","374","455"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Health & Social Care NHS Foundation Trust","TAH","Other","White & Other","North","Grouped region","Mental Health Trust","81","%","44","54"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Health & Social Care NHS Foundation Trust","TAH","All","All","North","Grouped region","Mental Health Trust","82","%","418","509"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute Trust","90","%","4158","4623"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute Trust","75","%","362","484"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","All","All","North","Grouped region","Acute Trust","89","%","4520","5107"
