"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Comments","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","15.00","%","1.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","11.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health","26.00","%","1.7"
"Percentage of shortlisted applicants who are appointed for an NHS job","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health","15.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Central Ambulance Service NHS Foundation Trust","RYE","White","White & Other","South","Grouped region","Ambulance","17.60","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Central Ambulance Service NHS Foundation Trust","RYE","Other","White & Other","South","Grouped region","Ambulance","8.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South East Coast Ambulance Service NHS Foundation Trust","RYD","White","White & Other","South","Grouped region","Ambulance","11.00","%","1.57"
"Percentage of shortlisted applicants who are appointed for an NHS job","South East Coast Ambulance Service NHS Foundation Trust","RYD","Other","White & Other","South","Grouped region","Ambulance","7.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health","21.40","%","1.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health","13.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","White","White & Other","Midlands & East","Grouped region","Mental Health","26.50","%","1.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","Other","White & Other","Midlands & East","Grouped region","Mental Health","26.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute","23.50","%","1.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute","23.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute","28.00","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute","21.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands & East","Grouped region","Acute","32.60","%","1.65"
"Percentage of shortlisted applicants who are appointed for an NHS job","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands & East","Grouped region","Acute","19.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South West London and St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental Health","10.10","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","South West London and St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental Health","6.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","South West Yorkshire Partnership NHS Foundation Trust","RXG","White","White & Other","North","Grouped region","Mental Health","29.90","%","0.71"
"Percentage of shortlisted applicants who are appointed for an NHS job","South West Yorkshire Partnership NHS Foundation Trust","RXG","Other","White & Other","North","Grouped region","Mental Health","42.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands & East","Grouped region","Acute","8.40","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands & East","Grouped region","Acute","7.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental Health","21.00","%","1.82"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental Health","11.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute","37.60","%","3.18"
"Percentage of shortlisted applicants who are appointed for an NHS job","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute","11.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute","29.20","%","1.59"
"Percentage of shortlisted applicants who are appointed for an NHS job","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute","18.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","St Helens and Knowsley Hospital Services NHS Trust","RBN","White","White & Other","North","Grouped region","Acute","18.90","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","St Helens and Knowsley Hospital Services NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Staffordshire and Stoke On Trent Partnership NHS Trust","R1E","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","19.30","%","1.37"
"Percentage of shortlisted applicants who are appointed for an NHS job","Staffordshire and Stoke On Trent Partnership NHS Trust","R1E","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","14.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute","61.30","%","0.98"
"Percentage of shortlisted applicants who are appointed for an NHS job","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute","62.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental Health","27.00","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental Health","21.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute","20.80","%","1.16"
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute","17.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community Provider Trust","25.00","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community Provider Trust","14.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Partnership NHS Foundation Trust","RX2","White","White & Other","South","Grouped region","Mental Health","5.10","%","1.32"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental Health","3.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","White","White & Other","North","Grouped region","Acute","34.70","%","1.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Other","White & Other","North","Grouped region","Acute","25.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute","29.90","%","1.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute","22.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tavistock and Portman NHS Foundation Trust","RNK","White","White & Other","London","Grouped region","Mental Health","42.50","%","1.68"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tavistock and Portman NHS Foundation Trust","RNK","Other","White & Other","London","Grouped region","Mental Health","25.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","White","White & Other","North","Grouped region","Mental Health","26.70","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Other","White & Other","North","Grouped region","Mental Health","16.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Christie NHS Foundation Trust","RBV","White","White & Other","North","Grouped region","Acute","15.10","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Christie NHS Foundation Trust","RBV","Other","White & Other","North","Grouped region","Acute","10.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute","23.50","%","2.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute","10.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Dudley Group NHS Foundation Trust","RNA","White","White & Other","Midlands & East","Grouped region","Acute","17.00","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Dudley Group NHS Foundation Trust","RNA","Other","White & Other","Midlands & East","Grouped region","Acute","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute","20.80","%","1.5"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute","13.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute","24.20","%","1.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute","17.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands & East","Grouped region","Acute","15.70","%","1.52"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands & East","Grouped region","Acute","10.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","RCX","White","White & Other","Midlands & East","Grouped region","Acute","30.30","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","RCX","Other","White & Other","Midlands & East","Grouped region","Acute","24.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","White","White & Other","Midlands & East","Grouped region","Acute","28.30","%","3.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Other","White & Other","Midlands & East","Grouped region","Acute","9.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute","53.70","%","1.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute","32.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute","26.40","%","1.94"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute","13.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute","24.80","%","2.08"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute","12.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands & East","Grouped region","Acute","13.10","%","1.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands & East","Grouped region","Acute","8.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Wolverhampton NHS Trust","RL4","White","White & Other","Midlands & East","Grouped region","Acute","7.30","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Wolverhampton NHS Trust","RL4","Other","White & Other","Midlands & East","Grouped region","Acute","5.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute","19.90","%","1.5"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute","13.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Whittington Hospital NHS Trust","RKE","White","White & Other","London","Grouped region","Acute","9.70","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","The Whittington Hospital NHS Trust","RKE","Other","White & Other","London","Grouped region","Acute","4.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute","18.30","%","1.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands & East","Grouped region","Acute","19.40","%","1.66"
"Percentage of shortlisted applicants who are appointed for an NHS job","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands & East","Grouped region","Acute","11.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute","26.90","%","1.29"
"Percentage of shortlisted applicants who are appointed for an NHS job","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute","20.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute","27.80","%","1.78"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute","15.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands & East","Grouped region","Acute","22.50","%","1.81"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands & East","Grouped region","Acute","12.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute","28.00","%","2.23"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute","12.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Coventry and Warwickshire NHS Trust","RKB","White","White & Other","Midlands & East","Grouped region","Acute","7.60","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Other","White & Other","Midlands & East","Grouped region","Acute","5.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Leicester NHS Trust","RWE","White","White & Other","Midlands & East","Grouped region","Acute","23.70","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Leicester NHS Trust","RWE","Other","White & Other","Midlands & East","Grouped region","Acute","14.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute","11.00","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute","7.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of North Midlands NHS Trust","RJE","White","White & Other","Midlands & East","Grouped region","Acute","13.80","%","1"
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of North Midlands NHS Trust","RJE","Other","White & Other","Midlands & East","Grouped region","Acute","13.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands & East","Grouped region","Acute","45.50","%","1.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands & East","Grouped region","Acute","23.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Warrington and Halton Hospitals NHS Foundation Trust","RWW","White","White & Other","North","Grouped region","Acute","22.00","%","1.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Other","White & Other","North","Grouped region","Acute","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Hertfordshire Hospitals NHS Trust","RWG","White","White & Other","Midlands & East","Grouped region","Acute","19.30","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Hertfordshire Hospitals NHS Trust","RWG","Other","White & Other","Midlands & East","Grouped region","Acute","13.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","West London Mental Health NHS Trust","RKL","White","White & Other","London","Grouped region","Mental Health","10.80","%","1.62"
"Percentage of shortlisted applicants who are appointed for an NHS job","West London Mental Health NHS Trust","RKL","Other","White & Other","London","Grouped region","Mental Health","6.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Midlands Ambulance Service NHS Foundation Trust","RYA","White","White & Other","Midlands & East","Grouped region","Ambulance","13.00","%","1.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Midlands Ambulance Service NHS Foundation Trust","RYA","Other","White & Other","Midlands & East","Grouped region","Ambulance","8.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands & East","Grouped region","Acute","14.70","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands & East","Grouped region","Acute","9.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Western Sussex Hospitals NHS Foundation Trust","RYR","White","White & Other","South","Grouped region","Acute","11.80","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","Western Sussex Hospitals NHS Foundation Trust","RYR","Other","White & Other","South","Grouped region","Acute","9.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute","27.80","%","1.13"
"Percentage of shortlisted applicants who are appointed for an NHS job","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute","24.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral Community NHS Foundation Trust","RY7","White","White & Other","North","Grouped region","Community Provider Trust","50.00","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral Community NHS Foundation Trust","RY7","Other","White & Other","North","Grouped region","Community Provider Trust","35.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North","Grouped region","Acute","14.20","%","1.87"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North","Grouped region","Acute","7.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Acute Hospitals NHS Trust","RWP","White","White & Other","Midlands & East","Grouped region","Acute","21.70","%","0.89"
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Acute Hospitals NHS Trust","RWP","Other","White & Other","Midlands & East","Grouped region","Acute","24.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","17.10","%","1.37"
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","12.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute","23.80","%","1.52"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Other","White & Other","North","Grouped region","Acute","15.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wye Valley NHS Trust","RLQ","White","White & Other","Midlands & East","Grouped region","Acute","69.20","%","0.89"
"Percentage of shortlisted applicants who are appointed for an NHS job","Wye Valley NHS Trust","RLQ","Other","White & Other","Midlands & East","Grouped region","Acute","78.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","White","White & Other","","Grouped region","Acute","18.40","%","0.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","Other","White & Other","South","Grouped region","Acute","54.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North","Grouped region","Acute","4.10","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute","3.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Yorkshire Ambulance Service NHS Trust","RX8","White","White & Other","North","Grouped region","Ambulance","17.90","%","1.77"
"Percentage of shortlisted applicants who are appointed for an NHS job","Yorkshire Ambulance Service NHS Trust","RX8","Other","White & Other","North","Grouped region","Ambulance","10.10","%","-"
