"Ethnicity","NHS trust board","Headcount","%"
"White","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","12","100.0"
"White","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","12","100.0"
"White","THE ROTHERHAM NHS FOUNDATION TRUST","15","75.0"
"White","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","13","92.9"
"White","THE ROYAL MARSDEN NHS FOUNDATION TRUST","12","92.3"
"White","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","12","100.0"
"White","THE ROYAL WOLVERHAMPTON NHS TRUST","12","92.3"
"White","THE WALTON CENTRE NHS FOUNDATION TRUST","8","88.9"
"White","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","15","100.0"
"White","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","15","100.0"
"White","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","14","77.8"
"White","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","11","84.6"
"White","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","22","91.7"
"White","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","15","88.2"
"White","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","8","72.7"
"White","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","13","76.5"
"White","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","15","83.3"
"White","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","9","75.0"
"White","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","15","100.0"
"White","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","12","66.7"
"White","WALSALL HEALTHCARE NHS TRUST","13","81.3"
"White","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","15","93.8"
"White","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","15","93.8"
"White","WEST LONDON NHS TRUST","16","94.1"
"White","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST","10","76.9"
"White","WEST SUFFOLK NHS FOUNDATION TRUST","12","100.0"
"White","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","12","80.0"
"White","WESTON AREA HEALTH NHS TRUST","10","100.0"
"White","WHITTINGTON HEALTH NHS TRUST","12","80.0"
"White","WIRRAL COMMUNITY NHS FOUNDATION TRUST","12","100.0"
"White","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","14","100.0"
"White","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","14","87.5"
"White","WORCESTERSHIRE HEALTH AND CARE NHS TRUST","14","93.3"
"White","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","13","92.9"
"White","WYE VALLEY NHS TRUST","15","100.0"
"White","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","14","93.3"
"White","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","14","100.0"
"White","YORKSHIRE AMBULANCE SERVICE NHS TRUST","12","100.0"
