"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Police, probation, prison","0.9","203","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Referred by local authority housing department","5.8","1314","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Social services","2.8","624","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Tenant applied direct","40.2","9059","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Voluntary agency","2.8","634","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Internal transfer","10.6","998","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Nominated by local housing authority","26.1","2456","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Other","8.9","838","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Other social landlord","0.8","74","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Police, probation, prison","1.4","130","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Referred by local authority housing department","7","657","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Social services","3.3","308","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Tenant applied direct","39.2","3691","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Voluntary agency","2.8","267","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Internal transfer","9.4","576","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Nominated by local housing authority","20.9","1287","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Other","10.3","631","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Other social landlord","0.5","30","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Police, probation, prison","0.6","37","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Referred by local authority housing department","4.6","283","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Social services","3.5","218","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Tenant applied direct","47.2","2906","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Voluntary agency","3","185","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Internal transfer","13.1","34701","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Nominated by local housing authority","24.9","66237","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Other","5.6","14903","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Other social landlord","0.5","1196","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Police, probation, prison","0.8","2248","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Referred by local authority housing department","4.8","12677","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Social services","2.8","7528","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Tenant applied direct","46.2","122875","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Voluntary agency","1.3","3370","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Internal transfer","12.8","40770","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Nominated by local housing authority","24.9","79126","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Other","6.2","19660","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Other social landlord","0.5","1540","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Police, probation, prison","0.9","2767","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Referred by local authority housing department","4.9","15538","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Social services","2.9","9131","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Tenant applied direct","45.5","144748","","","","","","","","",""
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Voluntary agency","1.5","4870","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Internal transfer","13.7","38262","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Internal transfer","17.6","359","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Internal transfer","8.5","1272","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Internal transfer","11.3","574","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Internal transfer","12","210","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Internal transfer","10.5","134","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Internal transfer","8.8","221","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Internal transfer","9.9","267","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Internal transfer","8.4","422","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Internal transfer","13.4","445","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Internal transfer","10.9","461","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Internal transfer","14.6","1308","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Internal transfer","12.1","1632","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Internal transfer","18.2","606","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Internal transfer","14.5","91","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Internal transfer","10.8","475","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Internal transfer","7.6","27","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Internal transfer","10.5","182","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Tenant applied direct","44.5","124503","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Tenant applied direct","36.1","737","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Tenant applied direct","50.1","7485","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Tenant applied direct","34.1","1739","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Tenant applied direct","39.8","697","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Tenant applied direct","37.8","481","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Tenant applied direct","37.4","944","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Tenant applied direct","41.2","1105","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Tenant applied direct","41.6","2103","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Tenant applied direct","35.4","1181","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Tenant applied direct","41.7","1767","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Tenant applied direct","31.5","2835","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Tenant applied direct","40","5393","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Tenant applied direct","42.6","1414","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Tenant applied direct","41","258","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Tenant applied direct","49.3","2160","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Tenant applied direct","35.6","127","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Tenant applied direct","40.7","710","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Nominated by local housing authority","25.3","70905","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Nominated by local housing authority","18.7","381","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Nominated by local housing authority","29.7","4441","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Nominated by local housing authority","27","1377","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Nominated by local housing authority","25.9","454","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Nominated by local housing authority","30","382","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Nominated by local housing authority","32.7","825","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Nominated by local housing authority","24.4","655","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Nominated by local housing authority","26.1","1319","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Nominated by local housing authority","38.6","1285","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Nominated by local housing authority","27.4","1163","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Nominated by local housing authority","27","2430","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Nominated by local housing authority","27.9","3763","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Nominated by local housing authority","20.2","672","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Nominated by local housing authority","28.5","179","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Nominated by local housing authority","19.2","840","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Nominated by local housing authority","33.6","120","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Nominated by local housing authority","23.1","403","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Referred by local authority housing department","4.9","13703","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Referred by local authority housing department","6.6","134","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Referred by local authority housing department","2.5","372","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Referred by local authority housing department","7.5","383","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Referred by local authority housing department","5.1","89","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Referred by local authority housing department","7.3","93","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Referred by local authority housing department","6.3","158","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Referred by local authority housing department","5.2","140","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Referred by local authority housing department","4.2","213","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Referred by local authority housing department","2.9","96","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Referred by local authority housing department","5.2","221","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Referred by local authority housing department","6.8","609","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Referred by local authority housing department","5","680","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Referred by local authority housing department","4.4","146","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Referred by local authority housing department","3","19","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Referred by local authority housing department","4.5","196","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Referred by local authority housing department","6.4","23","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Referred by local authority housing department","7.5","131","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Voluntary agency","1.5","4145","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Voluntary agency","3.8","78","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Voluntary agency","1.5","218","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Voluntary agency","3.6","184","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Voluntary agency","2.7","47","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Voluntary agency","2.8","36","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Voluntary agency","2.3","59","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Voluntary agency","3.8","102","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Voluntary agency","5.2","261","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Voluntary agency","2","67","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Voluntary agency","3.1","133","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Voluntary agency","3.3","295","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Voluntary agency","3.3","442","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Voluntary agency","2","65","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Voluntary agency","1.3","8","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Voluntary agency","3.5","155","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Voluntary agency","3.6","13","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Voluntary agency","4.2","73","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Social services","2.7","7514","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Social services","3.8","77","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Social services","1.6","246","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Social services","3.6","184","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Social services","2.2","39","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Social services","2.3","29","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Social services","2.9","73","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Social services","3.1","84","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Social services","2.8","143","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Social services","2","65","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Social services","2.9","122","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Social services","3.2","284","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Social services","2","273","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Social services","2.5","83","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Social services","1.6","10","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Social services","2.9","125","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Social services","2.8","10","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Social services","3.2","55","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other social landlord","0.5","1392","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Other social landlord","0.9","19","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Other social landlord","0.4","55","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other social landlord","0.8","39","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Other social landlord","1","18","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Other social landlord","0.4","5","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Other social landlord","1","24","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other social landlord","0.6","17","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other social landlord","0.7","33","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other social landlord","0.4","14","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Other social landlord","0.8","32","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other social landlord","0.9","77","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other social landlord","0.9","125","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other social landlord","0.4","14","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other social landlord","1","6","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Other social landlord","0.9","39","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other social landlord","1.7","6","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other social landlord","0.7","12","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Police, probation, prison","1.3","3588","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Police, probation, prison","2.4","49","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Police, probation, prison","0.4","66","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Police, probation, prison","2.6","131","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Police, probation, prison","1.7","30","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Police, probation, prison","1.1","14","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Police, probation, prison","1","26","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Police, probation, prison","2.1","57","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Police, probation, prison","2.7","134","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Police, probation, prison","0.8","28","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Police, probation, prison","0.6","27","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Police, probation, prison","2.1","193","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Police, probation, prison","0.6","82","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Police, probation, prison","1.4","46","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Police, probation, prison","0","0","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Police, probation, prison","0.9","41","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Police, probation, prison","1.7","6","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Police, probation, prison","0.7","12","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other","5.7","16033","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Other","10.1","207","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Other","5.2","784","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other","9.5","485","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Other","9.6","169","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Other","7.8","99","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Other","7.6","193","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other","9.6","257","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other","8.4","422","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other","4.6","152","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Other","7.4","312","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other","10.6","955","","","","","","","","",""
