"Measure","Gender","Long Term Support Setting","Year Ending March","Ethnicity","Ethnicity Classification","Number","Percentage"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Bangladeshi","Ethnicity 18+1","140","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Chinese","Ethnicity 18+1","195","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Indian","Ethnicity 18+1","935","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Other","Ethnicity 18+1","565","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Pakistani","Ethnicity 18+1","295","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Black African","Ethnicity 18+1","515","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Black Caribbean","Ethnicity 18+1","1,890","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Black Other","Ethnicity 18+1","420","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Mixed Other","Ethnicity 18+1","315","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Mixed White/Asian","Ethnicity 18+1","150","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Mixed White/Black African","Ethnicity 18+1","65","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Mixed White/Black Caribbean","Ethnicity 18+1","230","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Arab","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Any other","Ethnicity 18+1","640","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","White British","Ethnicity 18+1","125,965","89.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Gypsy or Irish Traveller","Ethnicity 18+1","60","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","White Irish","Ethnicity 18+1","1,875","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","White Other","Ethnicity 18+1","3,485","2.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Asian","Ethnicity 5+1","25,715","5.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Black","Ethnicity 5+1","20,265","4.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Mixed","Ethnicity 5+1","3,955","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Unknown","Ethnicity 5+1","11,735","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Other Ethnic Group","Ethnicity 5+1","4,390","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","White","Ethnicity 5+1","387,700","85.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Asian","Ethnicity 5+1","990","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Black","Ethnicity 5+1","1,360","2.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Mixed","Ethnicity 5+1","135","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Unknown","Ethnicity 5+1","1,380","2.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Other Ethnic Group","Ethnicity 5+1","270","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","White","Ethnicity 5+1","51,165","92.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Asian","Ethnicity 5+1","2,150","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Black","Ethnicity 5+1","2,940","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Mixed","Ethnicity 5+1","725","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Unknown","Ethnicity 5+1","2,755","1.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Other Ethnic Group","Ethnicity 5+1","640","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","White","Ethnicity 5+1","134,805","93.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Bangladeshi","Ethnicity 18+1","2,475","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Chinese","Ethnicity 18+1","880","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Indian","Ethnicity 18+1","9,490","2.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Other","Ethnicity 18+1","5,595","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Pakistani","Ethnicity 18+1","7,275","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Black African","Ethnicity 18+1","5,895","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Black Caribbean","Ethnicity 18+1","10,500","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Black Other","Ethnicity 18+1","3,870","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Mixed Other","Ethnicity 18+1","1,625","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Mixed White/Asian","Ethnicity 18+1","690","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Mixed White/Black African","Ethnicity 18+1","420","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Mixed White/Black Caribbean","Ethnicity 18+1","1,220","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Arab","Ethnicity 18+1","305","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Any other","Ethnicity 18+1","4,085","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","White British","Ethnicity 18+1","368,620","81.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","Gypsy or Irish Traveller","Ethnicity 18+1","135","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","White Irish","Ethnicity 18+1","6,620","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2016","White Other","Ethnicity 18+1","12,325","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Bangladeshi","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Chinese","Ethnicity 18+1","95","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Indian","Ethnicity 18+1","465","0.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Other","Ethnicity 18+1","285","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Pakistani","Ethnicity 18+1","105","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Black African","Ethnicity 18+1","265","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Black Caribbean","Ethnicity 18+1","915","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Black Other","Ethnicity 18+1","180","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Mixed Other","Ethnicity 18+1","55","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Mixed White/Asian","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Mixed White/Black African","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Mixed White/Black Caribbean","Ethnicity 18+1","50","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Arab","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Any other","Ethnicity 18+1","260","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","White British","Ethnicity 18+1","48,555","87.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","Gypsy or Irish Traveller","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","White Irish","Ethnicity 18+1","990","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2016","White Other","Ethnicity 18+1","1,610","2.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Bangladeshi","Ethnicity 18+1","135","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Chinese","Ethnicity 18+1","205","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Indian","Ethnicity 18+1","920","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Other","Ethnicity 18+1","600","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Pakistani","Ethnicity 18+1","295","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Black African","Ethnicity 18+1","530","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Black Caribbean","Ethnicity 18+1","1,945","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Black Other","Ethnicity 18+1","465","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Mixed Other","Ethnicity 18+1","285","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Mixed White/Asian","Ethnicity 18+1","130","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Mixed White/Black African","Ethnicity 18+1","75","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Mixed White/Black Caribbean","Ethnicity 18+1","240","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Arab","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Any other","Ethnicity 18+1","630","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","White British","Ethnicity 18+1","129,200","89.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","Gypsy or Irish Traveller","Ethnicity 18+1","40","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","White Irish","Ethnicity 18+1","1,995","1.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2016","White Other","Ethnicity 18+1","3,575","2.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Asian","Ethnicity 5+1","18,060","5.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Black","Ethnicity 5+1","14,925","4.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Mixed","Ethnicity 5+1","3,785","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Unknown","Ethnicity 5+1","17,210","4.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Other Ethnic Group","Ethnicity 5+1","3,260","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","White","Ethnicity 5+1","299,370","83.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Asian","Ethnicity 5+1","13,720","5.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Black","Ethnicity 5+1","13,110","5.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Mixed","Ethnicity 5+1","3,830","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Unknown","Ethnicity 5+1","13,070","4.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Other Ethnic Group","Ethnicity 5+1","2,930","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","White","Ethnicity 5+1","217,690","82.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Bangladeshi","Ethnicity 18+1","1,965","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Chinese","Ethnicity 18+1","655","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Indian","Ethnicity 18+1","6,545","1.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Other","Ethnicity 18+1","4,030","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Pakistani","Ethnicity 18+1","4,870","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Black African","Ethnicity 18+1","5,105","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Black Caribbean","Ethnicity 18+1","7,315","2.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Black Other","Ethnicity 18+1","2,505","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Mixed Other","Ethnicity 18+1","2,065","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Mixed White/Asian","Ethnicity 18+1","520","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Mixed White/Black African","Ethnicity 18+1","315","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Mixed White/Black Caribbean","Ethnicity 18+1","885","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Arab","Ethnicity 18+1","275","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Any other","Ethnicity 18+1","2,985","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","White British","Ethnicity 18+1","286,110","80.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","Gypsy or Irish Traveller","Ethnicity 18+1","140","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","White Irish","Ethnicity 18+1","3,880","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2021","White Other","Ethnicity 18+1","9,240","2.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Bangladeshi","Ethnicity 18+1","1,415","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Chinese","Ethnicity 18+1","555","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Indian","Ethnicity 18+1","4,475","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Other","Ethnicity 18+1","3,400","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Pakistani","Ethnicity 18+1","3,875","1.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Black African","Ethnicity 18+1","4,620","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Black Caribbean","Ethnicity 18+1","5,940","2.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Black Other","Ethnicity 18+1","2,550","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Mixed Other","Ethnicity 18+1","1,895","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Mixed White/Asian","Ethnicity 18+1","615","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Mixed White/Black African","Ethnicity 18+1","365","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Mixed White/Black Caribbean","Ethnicity 18+1","955","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Arab","Ethnicity 18+1","240","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Any other","Ethnicity 18+1","2,690","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","White British","Ethnicity 18+1","208,270","78.8%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","Gypsy or Irish Traveller","Ethnicity 18+1","125","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","White Irish","Ethnicity 18+1","2,645","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2021","White Other","Ethnicity 18+1","6,650","2.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Asian","Ethnicity 5+1","18,235","5.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Black","Ethnicity 5+1","14,235","3.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Mixed","Ethnicity 5+1","3,720","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Unknown","Ethnicity 5+1","13,610","3.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Other Ethnic Group","Ethnicity 5+1","3,305","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","White","Ethnicity 5+1","311,020","85.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Asian","Ethnicity 5+1","13,750","5.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Black","Ethnicity 5+1","12,450","4.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Mixed","Ethnicity 5+1","3,675","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Unknown","Ethnicity 5+1","10,425","3.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Other Ethnic Group","Ethnicity 5+1","3,020","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","White","Ethnicity 5+1","222,605","83.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Bangladeshi","Ethnicity 18+1","1,805","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Chinese","Ethnicity 18+1","635","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Indian","Ethnicity 18+1","6,925","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Other","Ethnicity 18+1","3,965","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Pakistani","Ethnicity 18+1","4,905","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Black African","Ethnicity 18+1","4,685","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Black Caribbean","Ethnicity 18+1","6,895","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Black Other","Ethnicity 18+1","2,660","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Mixed Other","Ethnicity 18+1","1,895","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Mixed White/Asian","Ethnicity 18+1","490","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Mixed White/Black African","Ethnicity 18+1","325","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Mixed White/Black Caribbean","Ethnicity 18+1","1,010","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Arab","Ethnicity 18+1","260","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Any other","Ethnicity 18+1","3,045","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","White British","Ethnicity 18+1","296,865","81.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","Gypsy or Irish Traveller","Ethnicity 18+1","125","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","White Irish","Ethnicity 18+1","4,195","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2020","White Other","Ethnicity 18+1","9,830","2.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Bangladeshi","Ethnicity 18+1","1,460","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Chinese","Ethnicity 18+1","530","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Indian","Ethnicity 18+1","4,530","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Other","Ethnicity 18+1","3,325","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Pakistani","Ethnicity 18+1","3,905","1.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Black African","Ethnicity 18+1","4,275","1.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Black Caribbean","Ethnicity 18+1","5,450","2.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Black Other","Ethnicity 18+1","2,725","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Mixed Other","Ethnicity 18+1","1,760","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Mixed White/Asian","Ethnicity 18+1","545","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Mixed White/Black African","Ethnicity 18+1","330","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Mixed White/Black Caribbean","Ethnicity 18+1","1,040","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Arab","Ethnicity 18+1","235","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Any other","Ethnicity 18+1","2,785","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","White British","Ethnicity 18+1","212,960","80.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","Gypsy or Irish Traveller","Ethnicity 18+1","105","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","White Irish","Ethnicity 18+1","2,765","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2020","White Other","Ethnicity 18+1","6,770","2.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Asian","Ethnicity 5+1","18,125","4.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Black","Ethnicity 5+1","14,190","3.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Mixed","Ethnicity 5+1","3,015","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Unknown","Ethnicity 5+1","12,570","3.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Other Ethnic Group","Ethnicity 5+1","3,025","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","White","Ethnicity 5+1","320,305","86.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Asian","Ethnicity 5+1","13,740","5.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Black","Ethnicity 5+1","12,355","4.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Mixed","Ethnicity 5+1","3,365","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Unknown","Ethnicity 5+1","9,865","3.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Other Ethnic Group","Ethnicity 5+1","2,840","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","White","Ethnicity 5+1","224,600","84.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Bangladeshi","Ethnicity 18+1","1,730","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Chinese","Ethnicity 18+1","665","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Indian","Ethnicity 18+1","7,090","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Other","Ethnicity 18+1","3,865","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Pakistani","Ethnicity 18+1","4,775","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Black African","Ethnicity 18+1","4,490","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Black Caribbean","Ethnicity 18+1","7,095","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Black Other","Ethnicity 18+1","2,605","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Mixed Other","Ethnicity 18+1","1,275","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Mixed White/Asian","Ethnicity 18+1","455","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Mixed White/Black African","Ethnicity 18+1","295","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Mixed White/Black Caribbean","Ethnicity 18+1","985","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Arab","Ethnicity 18+1","255","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Any other","Ethnicity 18+1","2,770","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","White British","Ethnicity 18+1","305,960","82.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","Gypsy or Irish Traveller","Ethnicity 18+1","125","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","White Irish","Ethnicity 18+1","4,485","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2019","White Other","Ethnicity 18+1","9,735","2.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Bangladeshi","Ethnicity 18+1","1,395","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Chinese","Ethnicity 18+1","550","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Indian","Ethnicity 18+1","4,630","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Other","Ethnicity 18+1","3,280","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Pakistani","Ethnicity 18+1","3,885","1.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Black African","Ethnicity 18+1","4,080","1.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Black Caribbean","Ethnicity 18+1","5,680","2.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Black Other","Ethnicity 18+1","2,595","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Mixed Other","Ethnicity 18+1","1,470","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Mixed White/Asian","Ethnicity 18+1","530","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Mixed White/Black African","Ethnicity 18+1","300","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Mixed White/Black Caribbean","Ethnicity 18+1","1,060","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Arab","Ethnicity 18+1","215","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Any other","Ethnicity 18+1","2,630","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","White British","Ethnicity 18+1","215,065","80.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","Gypsy or Irish Traveller","Ethnicity 18+1","100","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","White Irish","Ethnicity 18+1","2,940","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2019","White Other","Ethnicity 18+1","6,490","2.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Asian","Ethnicity 5+1","17,570","4.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Black","Ethnicity 5+1","13,635","3.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Mixed","Ethnicity 5+1","2,825","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Unknown","Ethnicity 5+1","11,795","3.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Other Ethnic Group","Ethnicity 5+1","3,165","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","White","Ethnicity 5+1","326,555","87.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Asian","Ethnicity 5+1","13,210","5.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Black","Ethnicity 5+1","11,775","4.4%"
