"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","White","ONS 5+2","K02000001","64","55,400"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","White British","ONS 5+2","K02000001","1","53,052"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White British","ONS 5+2","K02000001","2","53,052"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White British","ONS 5+2","K02000001","3","53,052"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White British","ONS 5+2","K02000001","5","53,052"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","White British","ONS 5+2","K02000001","9","53,052"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","White British","ONS 5+2","K02000001","8","53,052"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","White British","ONS 5+2","K02000001","8","53,052"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White British","ONS 5+2","K02000001","2","53,052"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","White British","ONS 5+2","K02000001","63","53,052"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","White non-British","ONS 5+2","K02000001","~","2,348"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White non-British","ONS 5+2","K02000001","1","2,348"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White non-British","ONS 5+2","K02000001","3","2,348"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White non-British","ONS 5+2","K02000001","4","2,348"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","White non-British","ONS 5+2","K02000001","2","2,348"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","White non-British","ONS 5+2","K02000001","9","2,348"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","White non-British","ONS 5+2","K02000001","2","2,348"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White non-British","ONS 5+2","K02000001","2","2,348"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","White non-British","ONS 5+2","K02000001","77","2,348"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","All","ONS 5+2","K02000001","1","59,004"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","All","ONS 5+2","K02000001","2","59,004"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","All","ONS 5+2","K02000001","3","59,004"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","All","ONS 5+2","K02000001","5","59,004"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","All","ONS 5+2","K02000001","8","59,004"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","All","ONS 5+2","K02000001","8","59,004"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","All","ONS 5+2","K02000001","7","59,004"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","All","ONS 5+2","K02000001","2","59,004"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","All","ONS 5+2","K02000001","64","59,004"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","~","342"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","~","342"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","10","342"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","6","342"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","2","342"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","10","342"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","2","342"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","3","342"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Any other Asian background","ONS 5+2","K02000001","66","342"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","1","2,317"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","1","2,317"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","7","2,317"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","6","2,317"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","2","2,317"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","9","2,317"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","2","2,317"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","3","2,317"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Asian/ Asian British","ONS 5+2","K02000001","69","2,317"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","2","206"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","1","206"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","5","206"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","14","206"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","2","206"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","7","206"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","3","206"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","9","206"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","57","206"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,352"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,352"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,352"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,352"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,352"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,352"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,352"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,352"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","67","1,352"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Chinese","ONS 5+2","K02000001","~","209"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","209"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Chinese","ONS 5+2","K02000001","18","209"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Chinese","ONS 5+2","K02000001","2","209"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","209"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Chinese","ONS 5+2","K02000001","4","209"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","209"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","209"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Chinese","ONS 5+2","K02000001","71","209"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","993"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","993"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Indian","ONS 5+2","K02000001","4","993"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","993"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","993"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Indian","ONS 5+2","K02000001","8","993"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","993"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","993"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Indian","ONS 5+2","K02000001","77","993"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","471"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","471"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","471"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","471"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","471"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","471"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","471"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","471"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","71","471"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","1","465"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","2","465"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","11","465"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","9","465"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","3","465"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","7","465"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","2","465"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","3","465"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Other ethnic group","ONS 5+2","K02000001","62","465"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","1","567"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","~","567"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","6","567"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","9","567"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","1","567"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","15","567"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","2","567"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","8","567"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","57","567"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","White","ONS 5+2","K02000001","1","54,399"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White","ONS 5+2","K02000001","2","54,399"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White","ONS 5+2","K02000001","3","54,399"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White","ONS 5+2","K02000001","5","54,399"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","White","ONS 5+2","K02000001","9","54,399"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","White","ONS 5+2","K02000001","8","54,399"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","White","ONS 5+2","K02000001","8","54,399"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White","ONS 5+2","K02000001","2","54,399"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","White","ONS 5+2","K02000001","63","54,399"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","White British","ONS 5+2","K02000001","1","51,964"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White British","ONS 5+2","K02000001","2","51,964"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White British","ONS 5+2","K02000001","3","51,964"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White British","ONS 5+2","K02000001","5","51,964"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","White British","ONS 5+2","K02000001","9","51,964"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","White British","ONS 5+2","K02000001","8","51,964"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","White British","ONS 5+2","K02000001","8","51,964"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White British","ONS 5+2","K02000001","2","51,964"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","White British","ONS 5+2","K02000001","62","51,964"
"Gross household income by ethnic group of the head of the household","Disability benefits","2013/14-2015/16","White non-British","ONS 5+2","K02000001","~","2,435"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White non-British","ONS 5+2","K02000001","1","2,435"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White non-British","ONS 5+2","K02000001","3","2,435"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White non-British","ONS 5+2","K02000001","3","2,435"
"Gross household income by ethnic group of the head of the household","Private pensions","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,435"
"Gross household income by ethnic group of the head of the household","Self-employed income","2013/14-2015/16","White non-British","ONS 5+2","K02000001","9","2,435"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,435"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,435"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2013/14-2015/16","White non-British","ONS 5+2","K02000001","78","2,435"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","All","ONS 5+2","K02000001","1","58,242"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","All","ONS 5+2","K02000001","2","58,242"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","All","ONS 5+2","K02000001","4","58,242"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","All","ONS 5+2","K02000001","5","58,242"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","All","ONS 5+2","K02000001","8","58,242"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","All","ONS 5+2","K02000001","9","58,242"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","All","ONS 5+2","K02000001","7","58,242"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","All","ONS 5+2","K02000001","2","58,242"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","All","ONS 5+2","K02000001","63","58,242"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","~","353"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","~","353"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","10","353"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","6","353"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","2","353"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","10","353"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","2","353"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","353"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","66","353"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","1","2,380"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","1","2,380"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","7","2,380"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","6","2,380"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","2,380"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","10","2,380"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","2,380"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","3","2,380"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","68","2,380"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","234"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","1","234"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","5","234"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","13","234"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","234"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","234"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","3","234"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","234"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","55","234"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,323"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,323"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,323"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,323"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,323"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,323"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,323"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,323"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","66","1,323"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Chinese","ONS 5+2","K02000001","~","217"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","217"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Chinese","ONS 5+2","K02000001","22","217"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","217"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","217"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Chinese","ONS 5+2","K02000001","6","217"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","217"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","217"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Chinese","ONS 5+2","K02000001","64","217"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","991"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","991"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","991"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","991"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Indian","ONS 5+2","K02000001","2","991"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Indian","ONS 5+2","K02000001","8","991"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","991"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","991"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Indian","ONS 5+2","K02000001","77","991"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","509"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","509"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","509"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","509"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","509"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","509"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","509"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","509"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","71","509"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","1","470"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","1","470"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","9","470"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","8","470"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","2","470"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","10","470"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","2","470"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","3","470"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","63","470"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","1","585"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","1","585"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","6","585"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","10","585"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","~","585"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","16","585"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","2","585"
