"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute Trust","87","%","264","303"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","All","White & Other","North","Grouped region","Acute Trust","86","%","281","327"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands","Grouped region","Acute","72","%","36","50"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands","Grouped region","Acute","90","%","207","231"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","All","White & Other","Midlands","Grouped region","Acute","86","%","243","281"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands","Grouped region","Acute Trust","66","%","27","41"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands","Grouped region","Acute Trust","87","%","193","223"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","All","White & Other","Midlands","Grouped region","Acute Trust","83","%","220","264"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands","Grouped region","Acute","69","%","659","953"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands","Grouped region","Acute","86","%","2789","3258"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Birmingham NHS Foundation Trust","RRK","All","White & Other","Midlands","Grouped region","Acute","82","%","3448","4211"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands","Grouped region","Acute Trust","74","%","433","582"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands","Grouped region","Acute Trust","88","%","1771","2013"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Birmingham NHS Foundation Trust","RRK","All","White & Other","Midlands","Grouped region","Acute Trust","85","%","2204","2595"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health","68","%","237","349"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health","84","%","372","444"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","All","White & Other","London","Grouped region","Mental Health","77","%","609","793"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health Trust","72","%","267","372"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health Trust","81","%","343","422"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","All","White & Other","London","Grouped region","Mental Health Trust","77","%","610","794"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance","51","%","152","297"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance","68","%","1306","1915"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London Ambulance Service NHS Trust","RRU","All","White & Other","London","Grouped region","Ambulance","66","%","1458","2212"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance Trust","47","%","97","206"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance Trust","62","%","948","1533"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London Ambulance Service NHS Trust","RRU","All","White & Other","London","Grouped region","Ambulance Trust","60","%","1045","1739"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute","60","%","439","729"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute","83","%","1027","1243"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University College London Hospitals NHS Foundation Trust","RRV","All","White & Other","London","Grouped region","Acute","74","%","1466","1972"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute Trust","69","%","567","819"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute Trust","84","%","1108","1325"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University College London Hospitals NHS Foundation Trust","RRV","All","White & Other","London","Grouped region","Acute Trust","78","%","1675","2144"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands","Grouped region","Mental Health","62","%","74","119"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands","Grouped region","Mental Health","88","%","955","1086"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","All","White & Other","Midlands","Grouped region","Mental Health","85","%","1029","1205"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands","Grouped region","Mental Health Trust","75","%","94","126"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands","Grouped region","Mental Health Trust","88","%","976","1108"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","All","White & Other","Midlands","Grouped region","Mental Health Trust","87","%","1070","1234"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health","76","%","84","110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health","87","%","970","1111"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Pennine Care NHS Foundation Trust","RT2","All","White & Other","North","Grouped region","Mental Health","86","%","1054","1221"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health Trust","66","%","47","71"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health Trust","87","%","838","962"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Pennine Care NHS Foundation Trust","RT2","All","White & Other","North","Grouped region","Mental Health Trust","86","%","885","1033"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute Trust","72","%","271","379"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute Trust","87","%","759","876"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Brompton & Harefield NHS Foundation Trust","RT3","All","White & Other","London","Grouped region","Acute Trust","82","%","1030","1255"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Brompton and Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute","73","%","298","408"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Brompton and Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute","86","%","802","931"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Brompton and Harefield NHS Foundation Trust","RT3","All","White & Other","London","Grouped region","Acute","82","%","1100","1339"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands","Grouped region","Mental Health","75","%","244","324"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands","Grouped region","Mental Health","91","%","1310","1444"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leicestershire Partnership NHS Trust","RT5","All","White & Other","Midlands","Grouped region","Mental Health","88","%","1554","1768"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands","Grouped region","Mental Health Trust","73","%","186","256"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands","Grouped region","Mental Health Trust","91","%","1172","1293"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leicestershire Partnership NHS Trust","RT5","All","White & Other","Midlands","Grouped region","Mental Health Trust","88","%","1358","1549"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute","78","%","212","271"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute","90","%","3798","4200"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","All","White & Other","North","Grouped region","Acute","90","%","4010","4471"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute Trust","83","%","146","175"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute Trust","91","%","2602","2857"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","All","White & Other","North","Grouped region","Acute Trust","91","%","2748","3032"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute","72","%","139","192"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute","87","%","1512","1744"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Hospitals NHS Foundation Trust","RTE","All","White & Other","South","Grouped region","Acute","85","%","1651","1936"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute Trust","79","%","181","228"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute Trust","87","%","1705","1966"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Hospitals NHS Foundation Trust","RTE","All","White & Other","South","Grouped region","Acute Trust","86","%","1886","2194"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute","83","%","25","30"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute","95","%","592","621"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northumbria Healthcare NHS Foundation Trust","RTF","All","White & Other","North","Grouped region","Acute","95","%","617","651"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute Trust","81","%","25","31"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute Trust","94","%","581","616"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northumbria Healthcare NHS Foundation Trust","RTF","All","White & Other","North","Grouped region","Acute Trust","94","%","606","647"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands","Grouped region","Acute Trust","78","%","218","281"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands","Grouped region","Acute Trust","91","%","1798","1982"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derby Teaching Hospitals NHS Foundation Trust","RTG","All","White & Other","Midlands","Grouped region","Acute Trust","89","%","2016","2263"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","Other","White & Other","Midlands","Grouped region","Acute","70","%","234","332"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","White","White & Other","Midlands","Grouped region","Acute","88","%","2258","2556"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","All","White & Other","Midlands","Grouped region","Acute","86","%","2492","2888"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute","72","%","426","594"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute","84","%","2486","2965"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Oxford University Hospitals NHS Foundation Trust","RTH","All","White & Other","South","Grouped region","Acute","82","%","2912","3559"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute Trust","71","%","323","453"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute Trust","85","%","2127","2497"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Oxford University Hospitals NHS Foundation Trust","RTH","All","White & Other","South","Grouped region","Acute Trust","83","%","2450","2950"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute","75","%","234","312"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute","88","%","606","692"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","All","White & Other","South","Grouped region","Acute","84","%","840","1004"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute Trust","77","%","198","257"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute Trust","88","%","661","753"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","All","White & Other","South","Grouped region","Acute Trust","85","%","859","1010"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute","85","%","399","467"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute","93","%","1224","1315"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Sussex Healthcare NHS Trust","RTP","All","White & Other","South","Grouped region","Acute","91","%","1623","1782"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey And Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute Trust","87","%","346","398"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey And Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute Trust","92","%","1160","1264"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey And Sussex Healthcare NHS Trust","RTP","All","White & Other","South","Grouped region","Acute Trust","91","%","1506","1662"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health","74","%","28","38"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health","88","%","449","512"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","2Gether NHS Foundation Trust","RTQ","All","White & Other","South","Grouped region","Mental Health","87","%","477","550"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health Trust","84","%","32","38"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health Trust","90","%","507","562"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","2Gether NHS Foundation Trust","RTQ","All","White & Other","South","Grouped region","Mental Health Trust","90","%","539","600"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute","82","%","14","17"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute","89","%","204","229"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Tees Hospitals NHS Foundation Trust","RTR","All","White & Other","North","Grouped region","Acute","89","%","218","246"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute Trust","70","%","14","20"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute Trust","88","%","220","251"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Tees Hospitals NHS Foundation Trust","RTR","All","White & Other","North","Grouped region","Acute Trust","86","%","234","271"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health","88","%","43","49"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health","88","%","878","993"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Boroughs Healthcare NHS Foundation Trust","RTV","All","White & Other","North","Grouped region","Mental Health","88","%","921","1042"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health Trust","89","%","47","53"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health Trust","91","%","863","944"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Boroughs Healthcare NHS Foundation Trust","RTV","All","White & Other","North","Grouped region","Mental Health Trust","91","%","910","997"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute","74","%","73","98"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute","86","%","1278","1479"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","All","White & Other","North","Grouped region","Acute","86","%","1351","1577"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute Trust","77","%","66","86"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute Trust","87","%","1157","1337"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","All","White & Other","North","Grouped region","Acute Trust","86","%","1223","1423"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health","68","%","409","601"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health","84","%","995","1186"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Central and North West London NHS Foundation Trust","RV3","All","White & Other","London","Grouped region","Mental Health","79","%","1404","1787"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health Trust","69","%","442","636"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health Trust","87","%","1068","1222"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Central and North West London NHS Foundation Trust","RV3","All","White & Other","London","Grouped region","Mental Health Trust","81","%","1510","1858"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health","57","%","239","416"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health","80","%","605","754"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South London and Maudsley NHS Foundation Trust","RV5","All","White & Other","London","Grouped region","Mental Health","72","%","844","1170"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health Trust","67","%","258","387"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health Trust","81","%","634","778"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South London and Maudsley NHS Foundation Trust","RV5","All","White & Other","London","Grouped region","Mental Health Trust","77","%","892","1165"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health Trust","100","%","15","15"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health Trust","89","%","247","278"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Humber NHS Foundation Trust","RV9","All","White & Other","North","Grouped region","Mental Health Trust","89","%","262","293"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Humber Teaching NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health","89","%","25","28"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Humber Teaching NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health","88","%","613","699"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Humber Teaching NHS Foundation Trust","RV9","All","White & Other","North","Grouped region","Mental Health","88","%","638","727"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute","64","%","143","223"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute","86","%","1606","1865"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Bristol NHS Trust","RVJ","All","White & Other","South","Grouped region","Acute","84","%","1749","2088"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute Trust","66","%","185","282"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute Trust","87","%","1809","2082"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Bristol NHS Trust","RVJ","All","White & Other","South","Grouped region","Acute Trust","84","%","1994","2364"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health","69","%","66","95"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health","80","%","873","1085"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","All","White & Other","South","Grouped region","Mental Health","80","%","939","1180"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health Trust","73","%","80","110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health Trust","86","%","985","1148"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","All","White & Other","South","Grouped region","Mental Health Trust","85","%","1065","1258"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Epsom and St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute","66","%","262","398"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Epsom and St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute","80","%","664","834"
