"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","216","344026","332131","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","15338","11971","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5440","4727","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","987","942","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","43","68559","63580","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","12044","11908","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","3706","3304","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","18","29295","25855","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15926","14516","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","240","383059","340349","83120","82612","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","837","87504","74523","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","588","473","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","55","5712","4890","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","255","26681","23031","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","182","18991","17135","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","2172","1663","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","34","3535","2799","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","485","388","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","2636","2133","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","618","491","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","245","25627","21183","5450","4980","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","827","39246","35503","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","167","7920","7256","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","190","9028","8221","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","128","6091","5788","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","26","1249","1057","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","2252","2030","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","1514","1339","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","399","347","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","212","10074","8814","2475","2396","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","891","23398","20669","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","18","459","378","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","58","1531","1274","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","171","4478","3931","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","243","6390","6158","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","18","465","315","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","54","1415","1261","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","23","594","518","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","15","382","321","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","281","7380","6244","1369","1285","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","798","16997","14381","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","20","422","320","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","73","1558","1238","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","197","4189","3740","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","2892","2763","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","41","880","659","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","46","975","790","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","21","439","363","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","249","5302","4217","1110","1014","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","All modes","1009","1405761","1317501","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","24328","22176","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","17077","14709","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Car / van driver","424","590864","561925","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","222","309479","300121","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","London Underground","8","10543","8253","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","5305","4627","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","822","802","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other local bus","43","60368","56685","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","11161","11156","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","2986","2710","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Surface Rail","17","24070","21461","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","14342","13203","72660","72885","               "
"Average trips per year by main mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Walk","240","334415","299673","72660","72885","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","973","1547645","1442650","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","25318","22723","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","34031","29927","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","393","624614","593313","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","213","338019","327426","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","14894","11658","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5115","4441","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","935","886","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","42","67548","62477","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","11488","11387","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","3935","3495","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","19","29838","26321","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15721","14292","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","237","376189","334304","82923","82444","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","832","90069","77766","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","5","532","452","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","51","5507","4901","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","260","28135","24643","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","181","19653","17803","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","19","2096","1621","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","32","3470","2820","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","481","393","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","2717","2233","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","700","567","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","243","26307","21975","5646","5216","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","813","40822","36917","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","164","8239","7524","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","177","8901","8132","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","129","6464","6091","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","1360","1113","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","46","2302","2060","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","1606","1439","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","9","444","365","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","214","10766","9518","2617","2530","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","880","23096","20713","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","14","361","318","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","58","1534","1392","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","173","4547","4069","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","241","6311","6064","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","52","1358","1196","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","24","621","533","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","13","352","302","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","276","7230","6235","1368","1296","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","795","16605","14018","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","78","1620","1292","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","211","4413","3949","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","131","2731","2647","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","38","800","575","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","44","924","734","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","26","548","424","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","237","4958","3902","1089","982","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","All modes","994","1376016","1292419","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","23727","21418","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","17011","14714","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Car / van driver","418","578324","552280","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","219","302718","294705","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","London Underground","7","10173","8031","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","4950","4321","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","789","759","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other local bus","43","59489","55663","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","10580","10596","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","3235","2901","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Surface Rail","18","24294","21648","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","14040","12898","72146","72371","               "
"Average trips per year by main mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Walk","236","326685","292485","72146","72371","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","962","1519448","1410439","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","25681","22672","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","32902","28963","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","391","617586","584462","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","210","331719","319671","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","14754","11484","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5138","4450","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","986","930","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","41","65550","60461","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","10597","10648","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","3971","3537","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","20","30888","26893","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15729","14279","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","230","363947","321989","82367","81636","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","808","87865","75623","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","606","517","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","51","5546","4934","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","252","27360","23958","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","174","18933","17147","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","23","2450","1857","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","31","3394","2736","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","385","364","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","26","2854","2321","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","754","609","5668","5215","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","231","25064","20775","5668","5215","               "
