"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","All","ONS 5+2","K02000001","7","%","59004"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","All","ONS 5+2","K02000001","8","%","59004"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","All","ONS 5+2","K02000001","1","%","59004"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","All","ONS 5+2","K02000001","5","%","59004"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","All","ONS 5+2","K02000001","3","%","59004"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","White","ONS 5+2","K02000001","63","%","54399"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","White","ONS 5+2","K02000001","8","%","54399"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White","ONS 5+2","K02000001","2","%","54399"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White","ONS 5+2","K02000001","2","%","54399"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","White","ONS 5+2","K02000001","8","%","54399"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","White","ONS 5+2","K02000001","9","%","54399"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","White","ONS 5+2","K02000001","1","%","54399"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White","ONS 5+2","K02000001","5","%","54399"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White","ONS 5+2","K02000001","3","%","54399"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","White British","ONS 5+2","K02000001","62","%","51964"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","White British","ONS 5+2","K02000001","8","%","51964"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White British","ONS 5+2","K02000001","2","%","51964"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White British","ONS 5+2","K02000001","2","%","51964"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","White British","ONS 5+2","K02000001","8","%","51964"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","White British","ONS 5+2","K02000001","9","%","51964"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","White British","ONS 5+2","K02000001","1","%","51964"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White British","ONS 5+2","K02000001","5","%","51964"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White British","ONS 5+2","K02000001","3","%","51964"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","White other","ONS 5+2","K02000001","78","%","2435"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","White other","ONS 5+2","K02000001","9","%","2435"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","White other","ONS 5+2","K02000001","1","%","2435"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","White other","ONS 5+2","K02000001","2","%","2435"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","White other","ONS 5+2","K02000001","2","%","2435"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","White other","ONS 5+2","K02000001","2","%","2435"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","White other","ONS 5+2","K02000001","-","%","2435"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","White other","ONS 5+2","K02000001","3","%","2435"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","White other","ONS 5+2","K02000001","3","%","2435"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Mixed","ONS 5+2","K02000001","71","%","471"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Mixed","ONS 5+2","K02000001","7","%","471"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Mixed","ONS 5+2","K02000001","1","%","471"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Mixed","ONS 5+2","K02000001","3","%","471"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Mixed","ONS 5+2","K02000001","3","%","471"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Mixed","ONS 5+2","K02000001","3","%","471"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Mixed","ONS 5+2","K02000001","1","%","471"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Mixed","ONS 5+2","K02000001","7","%","471"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Mixed","ONS 5+2","K02000001","6","%","471"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Asian","ONS 5+2","K02000001","69","%","2317"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Asian","ONS 5+2","K02000001","9","%","2317"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Asian","ONS 5+2","K02000001","1","%","2317"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Asian","ONS 5+2","K02000001","3","%","2317"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Asian","ONS 5+2","K02000001","2","%","2317"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Asian","ONS 5+2","K02000001","2","%","2317"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Asian","ONS 5+2","K02000001","1","%","2317"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Asian","ONS 5+2","K02000001","6","%","2317"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Asian","ONS 5+2","K02000001","7","%","2317"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Indian","ONS 5+2","K02000001","77","%","993"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Indian","ONS 5+2","K02000001","8","%","993"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","%","993"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","%","993"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","%","993"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","%","993"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Indian","ONS 5+2","K02000001","1","%","993"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Indian","ONS 5+2","K02000001","3","%","993"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Indian","ONS 5+2","K02000001","4","%","993"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","57","%","567"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","15","%","567"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","-","%","567"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","8","%","567"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","2","%","567"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","1","%","567"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","1","%","567"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","9","%","567"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Pakistani","ONS 5+2","K02000001","6","%","567"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","57","%","206"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","7","%","206"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","1","%","206"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","9","%","206"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","3","%","206"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","2","%","206"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","2","%","206"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","14","%","206"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Bangladeshi","ONS 5+2","K02000001","5","%","206"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Chinese","ONS 5+2","K02000001","71","%","209"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Chinese","ONS 5+2","K02000001","4","%","209"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","%","209"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","%","209"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","%","209"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Chinese","ONS 5+2","K02000001","1","%","209"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Chinese","ONS 5+2","K02000001","-","%","209"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Chinese","ONS 5+2","K02000001","2","%","209"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Chinese","ONS 5+2","K02000001","18","%","209"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Asian other","ONS 5+2","K02000001","66","%","342"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Asian other","ONS 5+2","K02000001","10","%","342"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Asian other","ONS 5+2","K02000001","-","%","342"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Asian other","ONS 5+2","K02000001","3","%","342"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Asian other","ONS 5+2","K02000001","2","%","342"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Asian other","ONS 5+2","K02000001","2","%","342"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Asian other","ONS 5+2","K02000001","-","%","342"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Asian other","ONS 5+2","K02000001","6","%","342"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Asian other","ONS 5+2","K02000001","10","%","342"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Black","ONS 5+2","K02000001","67","%","1352"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Black","ONS 5+2","K02000001","5","%","1352"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Black","ONS 5+2","K02000001","-","%","1352"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Black","ONS 5+2","K02000001","5","%","1352"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Black","ONS 5+2","K02000001","3","%","1352"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Black","ONS 5+2","K02000001","2","%","1352"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Black","ONS 5+2","K02000001","1","%","1352"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Black","ONS 5+2","K02000001","11","%","1352"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Black","ONS 5+2","K02000001","6","%","1352"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","Other","ONS 5+2","K02000001","62","%","465"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","Other","ONS 5+2","K02000001","7","%","465"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","Other","ONS 5+2","K02000001","2","%","465"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","Other","ONS 5+2","K02000001","3","%","465"
"Gross household income by ethnic group of the head of the household","State pension","2013/14-2015/16","Other","ONS 5+2","K02000001","2","%","465"
"Gross household income by ethnic group of the head of the household","Private pension","2013/14-2015/16","Other","ONS 5+2","K02000001","3","%","465"
"Gross household income by ethnic group of the head of the household","Disability benefit","2013/14-2015/16","Other","ONS 5+2","K02000001","1","%","465"
"Gross household income by ethnic group of the head of the household","Other benefits","2013/14-2015/16","Other","ONS 5+2","K02000001","9","%","465"
"Gross household income by ethnic group of the head of the household","Other","2013/14-2015/16","Other","ONS 5+2","K02000001","11","%","465"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","All","ONS 5+2","K02000001","63","%","58242"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","All","ONS 5+2","K02000001","9","%","58242"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","All","ONS 5+2","K02000001","2","%","58242"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","All","ONS 5+2","K02000001","2","%","58242"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","All","ONS 5+2","K02000001","7","%","58242"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","All","ONS 5+2","K02000001","8","%","58242"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","All","ONS 5+2","K02000001","1","%","58242"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","All","ONS 5+2","K02000001","5","%","58242"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","All","ONS 5+2","K02000001","4","%","58242"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","White","ONS 5+2","K02000001","63","%","53560"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","White","ONS 5+2","K02000001","9","%","53560"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White","ONS 5+2","K02000001","2","%","53560"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White","ONS 5+2","K02000001","2","%","53560"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","White","ONS 5+2","K02000001","8","%","53560"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","White","ONS 5+2","K02000001","9","%","53560"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","White","ONS 5+2","K02000001","1","%","53560"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White","ONS 5+2","K02000001","4","%","53560"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White","ONS 5+2","K02000001","3","%","53560"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","White British","ONS 5+2","K02000001","62","%","51065"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","White British","ONS 5+2","K02000001","8","%","51065"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White British","ONS 5+2","K02000001","2","%","51065"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White British","ONS 5+2","K02000001","1","%","51065"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","White British","ONS 5+2","K02000001","8","%","51065"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","White British","ONS 5+2","K02000001","10","%","51065"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","White British","ONS 5+2","K02000001","2","%","51065"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White British","ONS 5+2","K02000001","5","%","51065"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White British","ONS 5+2","K02000001","3","%","51065"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","White other","ONS 5+2","K02000001","75","%","2495"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","White other","ONS 5+2","K02000001","11","%","2495"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White other","ONS 5+2","K02000001","1","%","2495"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White other","ONS 5+2","K02000001","2","%","2495"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","White other","ONS 5+2","K02000001","2","%","2495"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","White other","ONS 5+2","K02000001","2","%","2495"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","White other","ONS 5+2","K02000001","-","%","2495"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White other","ONS 5+2","K02000001","3","%","2495"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White other","ONS 5+2","K02000001","4","%","2495"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Mixed","ONS 5+2","K02000001","71","%","509"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Mixed","ONS 5+2","K02000001","7","%","509"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Mixed","ONS 5+2","K02000001","1","%","509"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Mixed","ONS 5+2","K02000001","3","%","509"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Mixed","ONS 5+2","K02000001","2","%","509"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Mixed","ONS 5+2","K02000001","2","%","509"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Mixed","ONS 5+2","K02000001","1","%","509"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Mixed","ONS 5+2","K02000001","7","%","509"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Mixed","ONS 5+2","K02000001","7","%","509"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Asian","ONS 5+2","K02000001","68","%","2380"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Asian","ONS 5+2","K02000001","10","%","2380"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Asian","ONS 5+2","K02000001","1","%","2380"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Asian","ONS 5+2","K02000001","3","%","2380"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Asian","ONS 5+2","K02000001","2","%","2380"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Asian","ONS 5+2","K02000001","2","%","2380"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Asian","ONS 5+2","K02000001","1","%","2380"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Asian","ONS 5+2","K02000001","6","%","2380"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Asian","ONS 5+2","K02000001","7","%","2380"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Indian","ONS 5+2","K02000001","77","%","991"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Indian","ONS 5+2","K02000001","8","%","991"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","%","991"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","%","991"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","%","991"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Indian","ONS 5+2","K02000001","2","%","991"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","%","991"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","%","991"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","%","991"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","56","%","585"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","16","%","585"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","1","%","585"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","8","%","585"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","2","%","585"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","-","%","585"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","1","%","585"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","10","%","585"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","6","%","585"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","55","%","234"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","%","234"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","1","%","234"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","%","234"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","3","%","234"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","%","234"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","%","234"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","13","%","234"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","5","%","234"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Chinese","ONS 5+2","K02000001","64","%","217"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Chinese","ONS 5+2","K02000001","6","%","217"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","%","217"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Chinese","ONS 5+2","K02000001","1","%","217"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","%","217"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","%","217"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Chinese","ONS 5+2","K02000001","-","%","217"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","%","217"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Chinese","ONS 5+2","K02000001","22","%","217"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Asian other","ONS 5+2","K02000001","66","%","353"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Asian other","ONS 5+2","K02000001","10","%","353"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Asian other","ONS 5+2","K02000001","-","%","353"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Asian other","ONS 5+2","K02000001","3","%","353"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Asian other","ONS 5+2","K02000001","2","%","353"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Asian other","ONS 5+2","K02000001","2","%","353"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Asian other","ONS 5+2","K02000001","-","%","353"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Asian other","ONS 5+2","K02000001","6","%","353"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Asian other","ONS 5+2","K02000001","10","%","353"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Black","ONS 5+2","K02000001","66","%","1323"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Black","ONS 5+2","K02000001","6","%","1323"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Black","ONS 5+2","K02000001","-","%","1323"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Black","ONS 5+2","K02000001","5","%","1323"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Black","ONS 5+2","K02000001","3","%","1323"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Black","ONS 5+2","K02000001","2","%","1323"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Black","ONS 5+2","K02000001","1","%","1323"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Black","ONS 5+2","K02000001","11","%","1323"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Black","ONS 5+2","K02000001","6","%","1323"
"Gross household income by ethnic group of the head of the household","Wages/salary","2014/15-2016/17","Other","ONS 5+2","K02000001","63","%","470"
"Gross household income by ethnic group of the head of the household","Self-employment","2014/15-2016/17","Other","ONS 5+2","K02000001","10","%","470"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","Other","ONS 5+2","K02000001","1","%","470"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Other","ONS 5+2","K02000001","3","%","470"
"Gross household income by ethnic group of the head of the household","State pension","2014/15-2016/17","Other","ONS 5+2","K02000001","2","%","470"
"Gross household income by ethnic group of the head of the household","Private pension","2014/15-2016/17","Other","ONS 5+2","K02000001","2","%","470"
"Gross household income by ethnic group of the head of the household","Disability benefit","2014/15-2016/17","Other","ONS 5+2","K02000001","1","%","470"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","Other","ONS 5+2","K02000001","8","%","470"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","Other","ONS 5+2","K02000001","9","%","470"
"Gross household income by ethnic group of the head of the household","Wages/salary","2015/16-2017/18","All","ONS 5+2","K02000001","63","%","57814"
"Gross household income by ethnic group of the head of the household","Self-employment","2015/16-2017/18","All","ONS 5+2","K02000001","9","%","57814"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","57814"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","57814"
"Gross household income by ethnic group of the head of the household","State pension","2015/16-2017/18","All","ONS 5+2","K02000001","7","%","57814"
"Gross household income by ethnic group of the head of the household","Private pension","2015/16-2017/18","All","ONS 5+2","K02000001","8","%","57814"
"Gross household income by ethnic group of the head of the household","Disability benefit","2015/16-2017/18","All","ONS 5+2","K02000001","1","%","57814"
