"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","869","2128","40.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","192","2128","9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","136","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","2128","2128","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","3240","7209","44.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","388","7209","5.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","224","7209","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","2830","7209","39.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","527","7209","7.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","624","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","7209","7209","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","139","359","38.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","29","359","8.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","15","359","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","154","359","42.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","22","359","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","35","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","359","359","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","8946","27707","32.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1567","27707","5.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1088","27707","3.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","14865","27707","53.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1241","27707","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","3130","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","27707","27707","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","2937","9345","31.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","568","9345","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","403","9345","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","5019","9345","53.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","418","9345","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","952","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","9345","9345","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","1599","5765","27.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","257","5765","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","239","5765","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","3465","5765","60.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","205","5765","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","805","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","5765","5765","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","1405","5531","25.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","213","5531","3.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","244","5531","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","3505","5531","63.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","164","5531","3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","651","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","5531","5531","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","277","1532","18.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","25","1532","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","23","1532","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1181","1532","77.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","26","1532","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","215","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1532","1532","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","292","1201","24.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","28","1201","2.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","35","1201","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","817","1201","68","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","29","1201","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","119","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","1201","1201","100","%"
