"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1,323"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,323"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","62","471"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","7","471"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","2","471"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","3","471"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","3","471"
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","4","471"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","1","471"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","10","471"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","9","471"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","64","59,004"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","8","59,004"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","59,004"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","59,004"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","7","59,004"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","8","59,004"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","1","59,004"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","5","59,004"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","3","59,004"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","63","54,404"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","8","54,404"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","54,404"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","54,404"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","8","54,404"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","9","54,404"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","1","54,404"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","5","54,404"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","3","54,404"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","62","51,964"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","8","51,964"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","51,964"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","51,964"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","8","51,964"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","9","51,964"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","1","51,964"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","5","51,964"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","3","51,964"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","78","2,440"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","9","2,440"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","1","2,440"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","2,440"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","2,440"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","2,440"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","-","2,440"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","3","2,440"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","3","2,440"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","71","471"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","471"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","471"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","471"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","471"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","471"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","471"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","471"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","471"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","69","2,317"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","9","2,317"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","1","2,317"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","3","2,317"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","2","2,317"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","2","2,317"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","1","2,317"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","6","2,317"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","7","2,317"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","77","993"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","8","993"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","1","993"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","1","993"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","3","993"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","3","993"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","1","993"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","3","993"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","4","993"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","57","567"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","15","567"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","-","567"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","8","567"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","2","567"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","1","567"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","1","567"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","9","567"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","6","567"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","57","206"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","7","206"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","1","206"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","9","206"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","3","206"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","2","206"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","2","206"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","14","206"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","5","206"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","71","209"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","4","209"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","1","209"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","1","209"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","1","209"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","1","209"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","-","209"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","2","209"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","18","209"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","66","342"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","10","342"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","-","342"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","3","342"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","2","342"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","2","342"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","-","342"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","6","342"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","10","342"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","67","1,352"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,352"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","1,352"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,352"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1,352"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1,352"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1,352"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","1,352"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1,352"
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","62","460"
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","7","460"
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","2","460"
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","3","460"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","2","460"
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","3","460"
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","1","460"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","9","460"
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","11","460"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","63","58,242"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","9","58,242"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","2","58,242"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","2","58,242"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","7","58,242"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","8","58,242"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","1","58,242"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","5","58,242"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","4","58,242"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","63","53,566"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","9","53,566"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","2","53,566"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","2","53,566"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","8","53,566"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","9","53,566"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","1","53,566"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","4","53,566"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","3","53,566"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","62","51,065"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","8","51,065"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","2","51,065"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","1","51,065"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","8","51,065"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","10","51,065"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","2","51,065"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","5","51,065"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","3","51,065"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","75","2,501"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","11","2,501"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","1","2,501"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","2","2,501"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","2","2,501"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","2","2,501"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","-","2,501"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","3","2,501"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","4","2,501"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","71","509"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","509"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","509"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","509"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","509"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","509"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","509"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","509"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","509"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","68","2,380"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","10","2,380"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","1","2,380"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","3","2,380"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","2","2,380"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","2","2,380"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","1","2,380"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","6","2,380"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","7","2,380"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","77","991"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","8","991"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","991"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","991"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","3","991"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","2","991"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","991"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","3","991"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","4","991"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","56","585"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","16","585"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","1","585"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","8","585"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","2","585"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","-","585"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","1","585"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","10","585"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","6","585"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","55","234"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","9","234"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","1","234"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","9","234"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","3","234"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","2","234"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","2","234"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","13","234"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","5","234"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","64","217"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","6","217"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","1","217"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","1","217"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","2","217"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","2","217"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","217"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","2","217"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","22","217"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","66","353"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","10","353"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","-","353"
"Share of income made up by Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","3","353"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","2","353"
"Share of income made up by Private pensions6 by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","2","353"
"Share of income made up by Disability benefits by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","-","353"
"Share of income made up by Other benefits by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","6","353"
"Share of income made up by Other sources by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","10","353"
"Share of income made up by Wages and salaries by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","66","1,323"
"Share of income made up by Self-employed
 income by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1,323"
"Share of income made up by Investments by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","1,323"
