"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Reason","Value","Numerator","Denominator"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Drug and alcohol related","3.3","37","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Other","22","245","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Persistent disruptive behaviour","28.4","317","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Physical assault against a pupil","16.8","188","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Physical assault against an adult","6.3","70","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Racist abuse","0.7","8","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Sexual Misconduct","0.6","7","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Theft","1.3","15","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","3.9","43","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","13.4","149","1116"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Bullying","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Damage","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Drug and alcohol related","7.1","1","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Other","14.3","2","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Persistent disruptive behaviour","35.7","5","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Physical assault against a pupil","7.1","1","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Physical assault against an adult","21.4","3","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Racist abuse","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Sexual Misconduct","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Theft","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","0","0","14"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","14.3","2","14"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Bullying","1.3","202","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Damage","2.2","345","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Drug and alcohol related","3.7","579","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Other","22.5","3506","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Persistent disruptive behaviour","25.8","4008","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Physical assault against a pupil","19.1","2971","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Physical assault against an adult","5.6","868","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Racist abuse","1.4","221","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Sexual Misconduct","0.7","115","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Theft","1.3","208","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.4","691","15555"
"Fixed period exclusions","201819","Academic Year","White Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","11.8","1841","15555"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Bullying","0.4","1","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Damage","0.7","2","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Drug and alcohol related","15.4","41","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Other","16.5","44","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Persistent disruptive behaviour","30.7","82","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Physical assault against a pupil","13.5","36","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Physical assault against an adult","10.1","27","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Racist abuse","0.4","1","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Sexual Misconduct","1.1","3","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Theft","1.1","3","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.5","12","267"
"Permanent exclusions","201819","Academic Year","White Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","5.6","15","267"
