"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value-type","Denominator"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","2","%","68364"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","2","%","62111"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","2","%","59090"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","1","%","3021"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","4","%","664"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","2","%","3298"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","1","%","1300"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","4","%","885"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","%","343"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","-","%","292"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","2","%","478"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","5","%","1688"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","3","%","603"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","19","%","68364"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","18","%","62111"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","19","%","59090"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","13","%","3021"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","22","%","664"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","17","%","3298"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","10","%","1300"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","24","%","885"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","34","%","343"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","10","%","292"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","17","%","478"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","30","%","1688"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","24","%","603"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","52","%","68364"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","53","%","62111"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","54","%","59090"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","36","%","3021"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","38","%","664"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","43","%","3298"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","43","%","1300"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","46","%","885"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","50","%","343"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","28","%","292"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","40","%","478"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","46","%","1688"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","38","%","603"
"Pension Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","4","%","68364"
"Pension Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","4","%","62111"
"Pension Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","4","%","59090"
"Pension Credit by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","2","%","3021"
"Pension Credit by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","2","%","664"
"Pension Credit by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","3","%","3298"
"Pension Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","3","%","1300"
"Pension Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","3","%","885"
"Pension Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","%","343"
"Pension Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","%","292"
"Pension Credit by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","2","%","478"
"Pension Credit by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","3","%","1688"
"Pension Credit by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","2","%","603"
"State Pension by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","25","%","68364"
"State Pension by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","27","%","62111"
"State Pension by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","28","%","59090"
"State Pension by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","9","%","3021"
"State Pension by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","8","%","664"
"State Pension by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","9","%","3298"
"State Pension by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","12","%","1300"
"State Pension by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","6","%","885"
"State Pension by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","9","%","343"
"State Pension by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","8","%","292"
"State Pension by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","9","%","478"
"State Pension by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","11","%","1688"
"State Pension by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","7","%","603"
"Universal Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","x","%","68364"
"Universal Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","x","%","62111"
"Universal Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","x","%","59090"
"Universal Credit by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","x","%","3021"
"Universal Credit by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","x","%","664"
"Universal Credit by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","x","%","3298"
"Universal Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","x","%","1300"
"Universal Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","x","%","885"
"Universal Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","x","%","343"
"Universal Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","x","%","292"
"Universal Credit by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","x","%","478"
"Universal Credit by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","x","%","1688"
"Universal Credit by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","x","%","603"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","All","ONS 5+2","K02000001","5","%","68364"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","5","%","62111"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","4","%","59090"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","White other","ONS 5+2","K02000001","7","%","3021"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Mixed","ONS 5+2","K02000001","8","%","664"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Asian","ONS 5+2","K02000001","9","%","3298"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","%","1300"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","14","%","885"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","15","%","343"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Chinese","ONS 5+2","K02000001","4","%","292"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Asian other","ONS 5+2","K02000001","8","%","478"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Black","ONS 5+2","K02000001","8","%","1688"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Other","ONS 5+2","K02000001","7","%","603"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","54","%","67855"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","55","%","61619"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","56","%","58441"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","37","%","3178"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","44","%","657"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","46","%","3310"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","42","%","1278"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","51","%","906"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","53","%","374"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","33","%","282"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","46","%","470"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","53","%","1656"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","41","%","613"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","55","%","67855"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","56","%","61619"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","57","%","58441"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","37","%","3178"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","45","%","657"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","46","%","3310"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","43","%","1278"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","52","%","906"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","54","%","374"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","33","%","282"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","47","%","470"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","53","%","1656"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","42","%","613"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","9","%","67855"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","9","%","61619"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","9","%","58441"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","10","%","3178"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","15","%","657"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","15","%","3310"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","8","%","1278"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","23","%","906"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","28","%","374"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","6","%","282"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","16","%","470"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","17","%","1656"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","14","%","613"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","67855"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","2","%","61619"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","3","%","58441"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","1","%","3178"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","1","%","657"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","1","%","3310"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","1","%","1278"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","-","%","906"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","1","%","374"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","-","%","282"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","1","%","470"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","1","%","1656"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","-","%","613"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","67855"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","2","%","61619"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","2","%","58441"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","1","%","3178"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","1","%","657"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","2","%","3310"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","2","%","1278"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","4","%","906"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","5","%","374"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","-","%","282"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","-","%","470"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","2","%","1656"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","1","%","613"
"Child Benefit by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","19","%","67855"
"Child Benefit by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","18","%","61619"
"Child Benefit by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","18","%","58441"
"Child Benefit by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","22","%","3178"
"Child Benefit by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","25","%","657"
"Child Benefit by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","28","%","3310"
"Child Benefit by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","24","%","1278"
"Child Benefit by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","33","%","906"
"Child Benefit by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","34","%","374"
"Child Benefit by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","18","%","282"
"Child Benefit by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","28","%","470"
"Child Benefit by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","29","%","1656"
"Child Benefit by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","24","%","613"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","9","%","67855"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","8","%","61619"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","8","%","58441"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","10","%","3178"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","14","%","657"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","15","%","3310"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","7","%","1278"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","22","%","906"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","27","%","374"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","5","%","282"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","15","%","470"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","17","%","1656"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","14","%","613"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","13","%","67855"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","13","%","61619"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","13","%","58441"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","7","%","3178"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","15","%","657"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","11","%","3310"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","6","%","1278"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","14","%","906"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","23","%","374"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","7","%","282"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","13","%","470"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","20","%","1656"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","15","%","613"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","7","%","67855"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","8","%","61619"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","8","%","58441"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","3","%","3178"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","5","%","657"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","5","%","3310"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","4","%","1278"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","6","%","906"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","10","%","374"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","1","%","282"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","3","%","470"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","6","%","1656"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","4","%","613"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","6","%","67855"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","6","%","61619"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","7","%","58441"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","2","%","3178"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","4","%","657"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","3","%","3310"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","3","%","1278"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","5","%","906"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","5","%","374"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","-","%","282"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","2","%","470"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","4","%","1656"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","3","%","613"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","4","%","67855"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","4","%","61619"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","4","%","58441"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","2","%","3178"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","4","%","657"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","2","%","3310"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","2","%","1278"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","3","%","906"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","3","%","374"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","1","%","282"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","3","%","470"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","4","%","1656"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","3","%","613"
"Housing Benefit by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","12","%","67855"
"Housing Benefit by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","11","%","61619"
"Housing Benefit by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","12","%","58441"
"Housing Benefit by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","9","%","3178"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","17","%","657"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","10","%","3310"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","4","%","1278"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","11","%","906"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","25","%","374"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","4","%","282"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","15","%","470"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","24","%","1656"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","18","%","613"
"Income Support by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","67855"
"Income Support by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","2","%","61619"
"Income Support by ethnic group of head","2015/16-2017/18","White British","ONS 5+2","K02000001","2","%","58441"
"Income Support by ethnic group of head","2015/16-2017/18","White other","ONS 5+2","K02000001","1","%","3178"
"Income Support by ethnic group of head","2015/16-2017/18","Mixed","ONS 5+2","K02000001","4","%","657"
"Income Support by ethnic group of head","2015/16-2017/18","Asian","ONS 5+2","K02000001","2","%","3310"
"Income Support by ethnic group of head","2015/16-2017/18","Indian","ONS 5+2","K02000001","1","%","1278"
"Income Support by ethnic group of head","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","3","%","906"
"Income Support by ethnic group of head","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","4","%","374"
"Income Support by ethnic group of head","2015/16-2017/18","Chinese","ONS 5+2","K02000001","-","%","282"
"Income Support by ethnic group of head","2015/16-2017/18","Asian other","ONS 5+2","K02000001","1","%","470"
"Income Support by ethnic group of head","2015/16-2017/18","Black","ONS 5+2","K02000001","4","%","1656"
"Income Support by ethnic group of head","2015/16-2017/18","Other","ONS 5+2","K02000001","2","%","613"
"Jobseeker's Allowance by ethnic group of head","2015/16-2017/18","All","ONS 5+2","K02000001","2","%","67855"
"Jobseeker's Allowance by ethnic group of head","2015/16-2017/18","White","ONS 5+2","K02000001","1","%","61619"
