"Measure","NHS_trust_type","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust","Value","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVW","Other","White & Other","North East and Yorkshire","Grouped region","North Tees and Hartlepool NHS Foundation Trust","3","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVY","White","White & Other","North West","Grouped region","Southport and Ormskirk Hospital NHS Trust","23","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVY","Other","White & Other","North West","Grouped region","Southport and Ormskirk Hospital NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW1","White","White & Other","South East","Grouped region","Southern Health NHS Foundation Trust","22","%","1.51"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW1","Other","White & Other","South East","Grouped region","Southern Health NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW4","White","White & Other","North West","Grouped region","Mersey Care NHS Foundation Trust","25","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW4","Other","White & Other","North West","Grouped region","Mersey Care NHS Foundation Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW5","White","White & Other","North West","Grouped region","Lancashire and South Cumbria NHS Foundation Trust","24","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RW5","Other","White & Other","North West","Grouped region","Lancashire and South Cumbria NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RW6","White","White & Other","North West","Grouped region","Pennine Acute Hospitals NHS Trust","27","%","1.81"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RW6","Other","White & Other","North West","Grouped region","Pennine Acute Hospitals NHS Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWA","White","White & Other","North East and Yorkshire","Grouped region","Hull University Teaching Hospitals NHS Trust","24","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWA","Other","White & Other","North East and Yorkshire","Grouped region","Hull University Teaching Hospitals NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWD","White","White & Other","Midlands","Grouped region","United Lincolnshire Hospitals NHS Trust","20","%","0.83"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWD","Other","White & Other","Midlands","Grouped region","United Lincolnshire Hospitals NHS Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWE","White","White & Other","Midlands","Grouped region","University Hospitals of Leicester NHS Trust","27","%","1.67"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWE","Other","White & Other","Midlands","Grouped region","University Hospitals of Leicester NHS Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWF","White","White & Other","South East","Grouped region","Maidstone and Tunbridge Wells NHS Trust","35","%","1.21"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWF","Other","White & Other","South East","Grouped region","Maidstone and Tunbridge Wells NHS Trust","29","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWG","White","White & Other","East of England","Grouped region","West Hertfordshire Hospitals NHS Trust","22","%","1.65"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWG","Other","White & Other","East of England","Grouped region","West Hertfordshire Hospitals NHS Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWH","White","White & Other","East of England","Grouped region","East and North Hertfordshire NHS Trust","27","%","1.32"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWH","Other","White & Other","East of England","Grouped region","East and North Hertfordshire NHS Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWJ","White","White & Other","North West","Grouped region","Stockport NHS Foundation Trust","32","%","2.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWJ","Other","White & Other","North West","Grouped region","Stockport NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWK","White","White & Other","London","Grouped region","East London NHS Foundation Trust","26","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWK","Other","White & Other","London","Grouped region","East London NHS Foundation Trust","21","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWP","White","White & Other","Midlands","Grouped region","Worcestershire Acute Hospitals NHS Trust","29","%","1.45"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWP","Other","White & Other","Midlands","Grouped region","Worcestershire Acute Hospitals NHS Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWR","White","White & Other","East of England","Grouped region","Hertfordshire Partnership University NHS Foundation Trust","22","%","1.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWR","Other","White & Other","East of England","Grouped region","Hertfordshire Partnership University NHS Foundation Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWV","White","White & Other","South West","Grouped region","Devon Partnership NHS Trust","35","%","0.88"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWV","Other","White & Other","South West","Grouped region","Devon Partnership NHS Trust","40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWW","White","White & Other","North West","Grouped region","Warrington and Halton Teaching Hospitals NHS Foundation Trust","37","%","0.8"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWW","Other","White & Other","North West","Grouped region","Warrington and Halton Teaching Hospitals NHS Foundation Trust","46","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWX","White","White & Other","South East","Grouped region","Berkshire Healthcare NHS Foundation Trust","26","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RWX","Other","White & Other","South East","Grouped region","Berkshire Healthcare NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWY","White","White & Other","North East and Yorkshire","Grouped region","Calderdale and Huddersfield NHS Foundation Trust","49","%","1.12"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RWY","Other","White & Other","North East and Yorkshire","Grouped region","Calderdale and Huddersfield NHS Foundation Trust","44","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RX1","White","White & Other","Midlands","Grouped region","Nottingham University Hospitals NHS Trust","18","%","0.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RX1","Other","White & Other","Midlands","Grouped region","Nottingham University Hospitals NHS Trust","23","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX2","White","White & Other","South East","Grouped region","Sussex Partnership NHS Foundation Trust","9","%","1.69"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX2","Other","White & Other","South East","Grouped region","Sussex Partnership NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX3","White","White & Other","North East and Yorkshire","Grouped region","Tees, Esk and Wear Valleys NHS Foundation Trust","28","%","1.71"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX3","Other","White & Other","North East and Yorkshire","Grouped region","Tees, Esk and Wear Valleys NHS Foundation Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX4","White","White & Other","North East and Yorkshire","Grouped region","Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","10","%","3.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RX4","Other","White & Other","North East and Yorkshire","Grouped region","Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","3","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX6","White","White & Other","North East and Yorkshire","Grouped region","North East Ambulance Service NHS Foundation Trust","13","%","0.74"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX6","Other","White & Other","North East and Yorkshire","Grouped region","North East Ambulance Service NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX7","White","White & Other","North West","Grouped region","North West Ambulance Service NHS Trust","17","%","1.51"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX7","Other","White & Other","North West","Grouped region","North West Ambulance Service NHS Trust","11","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX8","White","White & Other","North East and Yorkshire","Grouped region","Yorkshire Ambulance Service NHS Trust","14","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX8","Other","White & Other","North East and Yorkshire","Grouped region","Yorkshire Ambulance Service NHS Trust","7","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX9","White","White & Other","Midlands","Grouped region","East Midlands Ambulance Service NHS Trust","14","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RX9","Other","White & Other","Midlands","Grouped region","East Midlands Ambulance Service NHS Trust","9","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXA","White","White & Other","North West","Grouped region","Cheshire and Wirral Partnership NHS Foundation Trust","33","%","1.08"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXA","Other","White & Other","North West","Grouped region","Cheshire and Wirral Partnership NHS Foundation Trust","31","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXC","White","White & Other","South East","Grouped region","East Sussex Healthcare NHS Trust","10","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXC","Other","White & Other","South East","Grouped region","East Sussex Healthcare NHS Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXE","White","White & Other","North East and Yorkshire","Grouped region","Rotherham Doncaster and South Humber NHS Foundation Trust","14","%","1.28"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXE","Other","White & Other","North East and Yorkshire","Grouped region","Rotherham Doncaster and South Humber NHS Foundation Trust","11","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXF","White","White & Other","North East and Yorkshire","Grouped region","The Mid Yorkshire Hospitals NHS Trust","19","%","1.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXF","Other","White & Other","North East and Yorkshire","Grouped region","The Mid Yorkshire Hospitals NHS Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXG","White","White & Other","North East and Yorkshire","Grouped region","South West Yorkshire Partnership NHS Foundation Trust","21","%","1.16"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXG","Other","White & Other","North East and Yorkshire","Grouped region","South West Yorkshire Partnership NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXH","White","White & Other","South East","Grouped region","Brighton and Sussex University Hospitals NHS Trust","17","%","1.62"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXH","Other","White & Other","South East","Grouped region","Brighton and Sussex University Hospitals NHS Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXK","White","White & Other","Midlands","Grouped region","Sandwell and West Birmingham Hospitals NHS Trust","9","%","1.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXK","Other","White & Other","Midlands","Grouped region","Sandwell and West Birmingham Hospitals NHS Trust","7","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXL","White","White & Other","North West","Grouped region","Blackpool Teaching Hospitals NHS Foundation Trust","29","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXL","Other","White & Other","North West","Grouped region","Blackpool Teaching Hospitals NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXM","White","White & Other","Midlands","Grouped region","Derbyshire Healthcare NHS Foundation Trust","15","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXM","Other","White & Other","Midlands","Grouped region","Derbyshire Healthcare NHS Foundation Trust","9","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXN","White","White & Other","North West","Grouped region","Lancashire Teaching Hospitals NHS Foundation Trust","38","%","1.23"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXN","Other","White & Other","North West","Grouped region","Lancashire Teaching Hospitals NHS Foundation Trust","31","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXP","White","White & Other","North East and Yorkshire","Grouped region","County Durham and Darlington NHS Foundation Trust","12","%","0.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXP","Other","White & Other","North East and Yorkshire","Grouped region","County Durham and Darlington NHS Foundation Trust","21","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXQ","White","White & Other","South East","Grouped region","Buckinghamshire Healthcare NHS Trust","33","%","1.28"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXQ","Other","White & Other","South East","Grouped region","Buckinghamshire Healthcare NHS Trust","26","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXR","White","White & Other","North West","Grouped region","East Lancashire Hospitals NHS Trust","2","%","2.03"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXR","Other","White & Other","North West","Grouped region","East Lancashire Hospitals NHS Trust","1","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXT","White","White & Other","Midlands","Grouped region","Birmingham and Solihull Mental Health NHS Foundation Trust","11","%","2.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXT","Other","White & Other","Midlands","Grouped region","Birmingham and Solihull Mental Health NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXV","White","White & Other","North West","Grouped region","Greater Manchester Mental Health NHS Foundation Trust","56","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXV","Other","White & Other","North West","Grouped region","Greater Manchester Mental Health NHS Foundation Trust","43","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXW","White","White & Other","Midlands","Grouped region","The Shrewsbury and Telford Hospital NHS Trust","30","%","0.82"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RXW","Other","White & Other","Midlands","Grouped region","The Shrewsbury and Telford Hospital NHS Trust","37","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXX","White","White & Other","South East","Grouped region","Surrey and Borders Partnership NHS Foundation Trust","30","%","1.23"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXX","Other","White & Other","South East","Grouped region","Surrey and Borders Partnership NHS Foundation Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXY","White","White & Other","South East","Grouped region","Kent and Medway NHS and Social Care Partnership Trust","19","%","1.19"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RXY","Other","White & Other","South East","Grouped region","Kent and Medway NHS and Social Care Partnership Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY2","White","White & Other","North West","Grouped region","Bridgewater Community Healthcare NHS Foundation Trust","18","%","0.61"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY2","Other","White & Other","North West","Grouped region","Bridgewater Community Healthcare NHS Foundation Trust","30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY3","White","White & Other","East of England","Grouped region","Norfolk Community Health and Care NHS Trust","8","%","2.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY3","Other","White & Other","East of England","Grouped region","Norfolk Community Health and Care NHS Trust","3","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY4","White","White & Other","East of England","Grouped region","Hertfordshire Community NHS Trust","29","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY4","Other","White & Other","East of England","Grouped region","Hertfordshire Community NHS Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY5","White","White & Other","Midlands","Grouped region","Lincolnshire Community Health Services NHS Trust","20","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY5","Other","White & Other","Midlands","Grouped region","Lincolnshire Community Health Services NHS Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY6","White","White & Other","North East and Yorkshire","Grouped region","Leeds Community Healthcare NHS Trust","27","%","0.84"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY6","Other","White & Other","North East and Yorkshire","Grouped region","Leeds Community Healthcare NHS Trust","32","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY7","White","White & Other","North West","Grouped region","Wirral Community Health and Care NHS Foundation Trust","28","%","1.51"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY7","Other","White & Other","North West","Grouped region","Wirral Community Health and Care NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY8","White","White & Other","Midlands","Grouped region","Derbyshire Community Health Services NHS Foundation Trust","22","%","2.76"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY8","Other","White & Other","Midlands","Grouped region","Derbyshire Community Health Services NHS Foundation Trust","8","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY9","White","White & Other","London","Grouped region","Hounslow and Richmond Community Healthcare NHS Trust","13","%","1.99"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RY9","Other","White & Other","London","Grouped region","Hounslow and Richmond Community Healthcare NHS Trust","7","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYA","White","White & Other","Midlands","Grouped region","West Midlands Ambulance Service University NHS Foundation Trust","12","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYA","Other","White & Other","Midlands","Grouped region","West Midlands Ambulance Service University NHS Foundation Trust","8","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYC","White","White & Other","East of England","Grouped region","East of England Ambulance Service NHS Trust","16","%","2.59"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYC","Other","White & Other","East of England","Grouped region","East of England Ambulance Service NHS Trust","6","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYD","White","White & Other","South East","Grouped region","South East Coast Ambulance Service NHS Foundation Trust","36","%","2.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYD","Other","White & Other","South East","Grouped region","South East Coast Ambulance Service NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYE","White","White & Other","South East","Grouped region","South Central Ambulance Service NHS Foundation Trust","29","%","1.49"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYE","Other","White & Other","South East","Grouped region","South Central Ambulance Service NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYF","White","White & Other","South West","Grouped region","South Western Ambulance Service NHS Foundation Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RYF","Other","White & Other","South West","Grouped region","South Western Ambulance Service NHS Foundation Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RYG","White","White & Other","Midlands","Grouped region","Coventry and Warwickshire Partnership NHS Trust","25","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RYG","Other","White & Other","Midlands","Grouped region","Coventry and Warwickshire Partnership NHS Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RYJ","White","White & Other","London","Grouped region","Imperial College Healthcare NHS Trust","20","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RYJ","Other","White & Other","London","Grouped region","Imperial College Healthcare NHS Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RYK","White","White & Other","Midlands","Grouped region","Dudley and Walsall Mental Health Partnership NHS Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RYK","Other","White & Other","Midlands","Grouped region","Dudley and Walsall Mental Health Partnership NHS Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RYR","White","White & Other","South East","Grouped region","Western Sussex Hospitals NHS Foundation Trust","10","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RYR","Other","White & Other","South East","Grouped region","Western Sussex Hospitals NHS Foundation Trust","7","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYV","White","White & Other","East of England","Grouped region","Cambridgeshire Community Services NHS Trust","46","%","1.75"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYV","Other","White & Other","East of England","Grouped region","Cambridgeshire Community Services NHS Trust","26","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYW","White","White & Other","Midlands","Grouped region","Birmingham Community Healthcare NHS Foundation Trust","29","%","1.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYW","Other","White & Other","Midlands","Grouped region","Birmingham Community Healthcare NHS Foundation Trust","21","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYX","White","White & Other","London","Grouped region","Central London Community Healthcare NHS Trust","30","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYX","Other","White & Other","London","Grouped region","Central London Community Healthcare NHS Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYY","White","White & Other","South East","Grouped region","Kent Community Health NHS Foundation Trust","58","%","2.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","RYY","Other","White & Other","South East","Grouped region","Kent Community Health NHS Foundation Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAD","White","White & Other","North East and Yorkshire","Grouped region","Bradford District Care NHS Foundation Trust","12","%","0.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAD","Other","White & Other","North East and Yorkshire","Grouped region","Bradford District Care NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAF","White","White & Other","London","Grouped region","Camden and Islington NHS Foundation Trust","5","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAF","Other","White & Other","London","Grouped region","Camden and Islington NHS Foundation Trust","4","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAH","White","White & Other","North East and Yorkshire","Grouped region","Sheffield Health and Social Care NHS Foundation Trust","14","%","1.09"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAH","Other","White & Other","North East and Yorkshire","Grouped region","Sheffield Health and Social Care NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAJ","White","White & Other","Midlands","Grouped region","Black Country Healthcare NHS Foundation Trust","4","%","0.76"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","TAJ","Other","White & Other","Midlands","Grouped region","Black Country Healthcare NHS Foundation Trust","5","%","-"
