"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South","Grouped region","Acute trust","7","%","80","1135",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South","Grouped region","Acute trust","7","%","7","107",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute trust","7","%","221","3175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute trust","16","%","69","431",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute trust","7","%","128","1923",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute trust","17","%","16","96",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute trust","6","%","87","1500",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute trust","14","%","59","408",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands","Grouped region","Acute trust","5","%","70","1378",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","36","274",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute trust","8","%","185","2295",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute trust","17","%","284","1628",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute trust","6","%","25","432",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute trust","15","%","45","297",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute trust","20","%","116","594",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute trust","10","%","54","526",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute trust","9","%","83","879",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute trust","17","%","100","579",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental health trust","5","%","105","2175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental health trust","11","%","124","1168",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute trust","8","%","80","1054",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute trust","19","%","73","394",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute trust","6","%","94","1590",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute trust","8","%","9","118",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute trust","6","%","72","1224",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute trust","19","%","14","73",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands","Grouped region","Acute trust","7","%","87","1175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands","Grouped region","Acute trust","15","%","44","298",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North","Grouped region","Acute trust","7","%","23","349",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North","Grouped region","Acute trust","10","%","2","20",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North","Grouped region","Acute trust","5","%","29","555",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute trust","16","%","8","50",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute trust","5","%","40","790",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute trust","5","%","4","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North","Grouped region","Acute trust","5","%","83","1597",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North","Grouped region","Acute trust","11","%","10","87",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute trust","7","%","42","622",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute trust","20","%","6","30",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Christie NHS Foundation Trust","RBV","White","White & Other","North","Grouped region","Acute trust","6","%","63","1046",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Christie NHS Foundation Trust","RBV","Other","White & Other","North","Grouped region","Acute trust","12","%","13","112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute trust","4","%","43","1099",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute trust","13","%","5","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands","Grouped region","Acute trust","8","%","27","326",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands","Grouped region","Acute trust","15","%","17","110",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands","Grouped region","Acute trust","7","%","96","1291",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","92","723",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North","Grouped region","Acute trust","6","%","235","3768",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute trust","18","%","36","201",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute trust","4","%","23","580",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute trust","0","%","0","36",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Airedale NHS Foundation Trust","RCF","White","White & Other","North","Grouped region","Acute trust","5","%","56","1103",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Airedale NHS Foundation Trust","RCF","Other","White & Other","North","Grouped region","Acute trust","13","%","11","84",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute trust","6","%","80","1310",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute trust","12","%","13","112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","Midlands","Grouped region","Acute trust","10","%","127","1226",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","Midlands","Grouped region","Acute trust","17","%","27","161",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute trust","8","%","160","2005",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute trust","19","%","34","180",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute trust","6","%","92","1619",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute trust","14","%","22","156",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands","Grouped region","Acute trust","7","%","74","1042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands","Grouped region","Acute trust","12","%","37","300",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands","Grouped region","Acute trust","7","%","111","1606",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","63","502",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Colchester Hospital University NHS Foundation Trust","RDE","White","White & Other","Midlands","Grouped region","Acute trust","6","%","80","1323",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Colchester Hospital University NHS Foundation Trust","RDE","Other","White & Other","Midlands","Grouped region","Acute trust","12","%","23","188",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community provider trust","5","%","111","2047",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community provider trust","14","%","24","175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute trust","7","%","159","2397",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute trust","13","%","106","816",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental health trust","5","%","115","2531",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental health trust","11","%","13","114",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute trust","5","%","92","1710",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute trust","18","%","38","212",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute trust","6","%","87","1461",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute trust","13","%","8","64",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute trust","6","%","167","2650",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute trust","12","%","13","109",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Aintree University Hospital NHS Foundation Trust","REM","White","White & Other","North","Grouped region","Acute trust","7","%","134","2042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Aintree University Hospital NHS Foundation Trust","REM","Other","White & Other","North","Grouped region","Acute trust","12","%","15","130",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute trust","5","%","35","666",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute trust","3","%","1","31",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute trust","6","%","44","788",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute trust","9","%","5","58",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute trust","6","%","32","515",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute trust","15","%","6","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute trust","9","%","154","1670",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute trust","20","%","191","958",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute trust","6","%","72","1181",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute trust","5","%","4","75",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute trust","5","%","72","1540",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute trust","16","%","16","101",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped region","Acute trust","5","%","111","2208",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped region","Acute trust","8","%","9","111",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental health trust","6","%","69","1126",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental health trust","8","%","14","170",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands","Grouped region","Acute trust","6","%","30","483",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands","Grouped region","Acute trust","15","%","9","60",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands","Grouped region","Acute trust","8","%","30","390",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","8","63",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands","Grouped region","Acute trust","9","%","43","458",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands","Grouped region","Acute trust","17","%","9","52",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands","Grouped region","Acute trust","4","%","73","1670",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands","Grouped region","Acute trust","11","%","20","175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands","Grouped region","Acute trust","6","%","29","526",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","7","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands","Grouped region","Acute trust","8","%","273","3547",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands","Grouped region","Acute trust","17","%","120","713",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental health trust","5","%","76","1405",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental health trust","9","%","4","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute trust","6","%","205","3642",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute trust","11","%","21","189",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","221","3500",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped region","Mental health trust","15","%","43","290",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute trust","7","%","272","3815",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute trust","15","%","88","603",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute trust","5","%","285","6288",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute trust","13","%","93","734",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute trust","8","%","294","3699",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute trust","15","%","61","394",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute trust","7","%","103","1558",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute trust","14","%","68","490",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute trust","6","%","191","3052",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute trust","12","%","234","1985",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute trust","8","%","86","1061",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute trust","17","%","110","652",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute trust","7","%","47","694",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute trust","16","%","90","570",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute trust","10","%","229","2362",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute trust","18","%","285","1548",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental health trust","4","%","49","1302",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental health trust","7","%","2","27",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands","Grouped region","Acute trust","7","%","36","512",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands","Grouped region","Acute trust","9","%","5","54",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Of North Midlands NHS Trust","RJE","White","White & Other","Midlands","Grouped region","Acute trust","7","%","250","3519",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Of North Midlands NHS Trust","RJE","Other","White & Other","Midlands","Grouped region","Acute trust","14","%","65","479",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands","Grouped region","Acute trust","5","%","62","1199",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands","Grouped region","Acute trust","14","%","20","141",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute trust","8","%","148","1780",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute trust","11","%","18","165",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute trust","4","%","40","941",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute trust","11","%","7","62",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute trust","6","%","80","1361",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute trust","11","%","7","66",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute trust","9","%","247","2745",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute trust","22","%","381","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands","Grouped region","Acute trust","6","%","140","2256",""
