"Measure","Apprenticeship_level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","250","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","720","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","1020","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","60","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","110","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","440","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","580","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","20","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","50","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","250","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","320","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","10","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","60","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","190","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","260","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","10","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","16770","4.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","41880","10.8"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","62040","16"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","3390","0.9"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","7360","1.9"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","24960","6.5"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","33420","8.6"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","1110","0.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","9410","2.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","16920","4.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","28610","7.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","2280","0.6"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","2260","0.6"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","3320","0.9"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","7090","1.8"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","1510","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","810","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1470","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","3070","0.8"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","780","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","1440","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1850","0.5"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","4020","1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","730","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1050","0.3"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","2990","0.8"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","4620","1.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","580","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","460","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1540","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","2260","0.6"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","270","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","600","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1460","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","2360","0.6"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","310","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1150","0.3"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1250","0.3"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","3830","1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","1430","0.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","510","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","640","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1870","0.5"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","720","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","640","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","600","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","1960","0.5"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","710","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","470","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","890","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","1770","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","410","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","230","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","530","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","990","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","230","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","240","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","360","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","780","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","180","n/a"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","260","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","640","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","1100","0.3"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","200","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","120","0"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","290","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","500","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","90","0"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","150","0"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","350","0.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","600","0.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","110","0"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","34310","8.9"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","40460","10.5"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","125180","32.4"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","50420","13"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","14770","3.8"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","21380","5.5"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","58730","15.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","22580","5.8"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","19540","5.1"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","19080","4.9"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","66450","17.2"
"Percentage of apprenticeship starts for each ethnicity","Intermediate Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","27840","7.2"
