"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","67.5","578","38992.52"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","68","13","884.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","59.2","231","13671.02"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","58.8","148","8700.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","64.1","979","62791.79"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","1.4","23","33"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","42","1","42"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","45.3","4","181"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","45.8","3620","165741.05"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","48.1","2070","99495.78"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","48.6","156","7589"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","44.2","1268","56087.89"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","42.2","1326","55989.39"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","45.4","4889","221883.44"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","0.5","94","43.5"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","36.5","17","620"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","40.1","51","2046.88"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","48.8","50749","2476946.49"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","43.1","37123","1600330.32"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","49.4","197036","9733648.98"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","1.8","2292","4175.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","35.7","367","13107.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","41.7","723","30177.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Academies and free schools","All","52.9","40073","2121248.54"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Converter Academies","All","55.5","27279","1513938.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","FE 14-16 Colleges","All","0","1","0"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Free Schools","All","54.5","2002","109026.01"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","LA maintained mainstream","All","49.7","17153","851868.09"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Sponsored Academies","All","46.4","10428","483637.15"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","LA maintained mainstream","All","46.9","2569","120606.07"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Sponsored Academies","All","44.6","2407","107441.27"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded mainstream","All","48","9461","454364.7"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded special schools","All","0.7","146","98"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Studio Schools","All","37.2","25","931"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","40.3","78","3140.63"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded mainstream","All","65.2","1978","128978.96"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded special schools","All","1.2","28","33"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Studio Schools","All","48.5","2","97"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","42.1","6","252.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Academies and free schools","All","48.8","19522","953290.49"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Converter Academies","All","51.6","12920","666572.09"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","FE 14-16 Colleges","All","6.5","4","26"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Free Schools","All","48.6","644","31315.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","LA maintained mainstream","All","47.4","6938","328996.15"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Sponsored Academies","All","43.1","5661","244076.65"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded mainstream","All","48.5","26516","1284995.89"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded special schools","All","2.8","502","1413.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Studio Schools","All","38.2","58","2216.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","38.1","239","9110"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Academies and free schools","All","48.4","6890","333699.13"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Converter Academies","All","50.7","4104","208081.85"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","FE 14-16 Colleges","All","5","1","5"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Free Schools","All","51.1","276","14104.38"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","46.5","9827","457142.67"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","49.4","6323","312669.79"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","FE 14-16 Colleges","All","0","2","0"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","45.9","361","16556.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","44.8","3340","149778.14"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","40.9","2961","121021.88"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","46.1","13185","607710.81"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","3","373","1122.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","39.8","34","1352.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","37.4","148","5542"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","49.8","10350","515918.04"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","51.7","6009","310837.41"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","FE 14-16 Colleges","All","3","1","3"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","49.9","538","26872.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","47.7","5127","244622.14"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","47.2","3673","173508.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","49.1","15504","761755.68"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","0.9","152","142"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","34","18","611.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","36.5","112","4088.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","67.2","773","51961.17"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","68.1","623","42454.92"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","62.2","18","1119"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","62.9","225","14144"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","42.9","2650","113728"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","46.1","1705","78603.75"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","FE 14-16 Colleges","All","11.7","549","6428.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","36.7","129","4738.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","44","881","38742.13"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","37.4","613","22945.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","39","4088","159308.88"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","2.1","100","206"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","38.1","87","3318.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","35.5","116","4122.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","45","150227","6767464.91"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","47.4","106085","5027904.24"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","FE 14-16 Colleges","All","7.7","10","77"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","45.3","2606","118111.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","43.8","50849","2228573.81"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","39.2","39040","1529171.92"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","44.7","201291","9007516.72"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","3.4","6089","20654.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","36.1","534","19281"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","37.2","1962","72996"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Academies and free schools","All","44.7","5006","223660.63"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Converter Academies","All","47.8","3253","155630.5"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","FE 14-16 Colleges","All","15.5","1063","16448.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Free Schools","All","38","262","9952.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","LA maintained mainstream","All","47.1","1714","80689.38"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Sponsored Academies","All","39.5","1200","47435.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","55.5","19394","1075838.56"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","57.6","13719","789798.92"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","56.8","865","49136.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","52.1","8431","439302.04"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","49.4","4711","232731.76"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","54.5","27848","1516571.6"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","0.7","255","182"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","35.9","27","969.13"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","44.5","72","3202.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","64","129","8260.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","66.3","999","66187.17"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","0","5","0"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","55","1","55"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","35.8","2","71.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","51.2","9695","496147.82"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","53.6","6597","353902.3"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","FE 14-16 Colleges","All","13","2","26"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","52.2","283","14759"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","49.8","3598","179218.01"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","45.6","2700","123054.77"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","50.8","13331","677285.08"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","2.3","129","290.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","36","24","863.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","39.2","91","3568"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","51.4","3270","167958.08"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","53.4","2034","108586.07"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","FE 14-16 Colleges","All","5","1","5"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","54.3","120","6515.38"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","49.6","1301","64518.18"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","47.6","1081","51451.88"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","50.8","4572","232481.26"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","1","52","54.5"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","38.9","8","311"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","40.5","27","1093.75"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","46.7","2356","109932.63"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","49.8","1548","77026.75"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","FE 14-16 Colleges","All","19.5","514","10020"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","39.2","133","5214"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","LA maintained mainstream","All","50.4","833","41947.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Sponsored Academies","All","41.7","587","24490.63"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded mainstream","All","43.7","3710","162205.38"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","State-funded special schools","All","1.6","45","73"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Studio Schools","All","40.5","36","1457.5"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","33.5","52","1743.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Academies and free schools","All","49.6","146061","7243832.99"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Converter Academies","All","52","105664","5495062.54"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","FE 14-16 Colleges","All","8","5","40"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","Free Schools","All","48.1","2184","105155.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded mainstream","All","52","57267","2975528.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","State-funded special schools","All","0.7","844","607.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Studio Schools","All","37.3","73","2719.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","41","291","11927.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","Academies and free schools","All","46.3","20731","959598.92"
