"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Value","Value_type"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance Trusts","London","Unknown","White & Other","1.5","%"
"Percentage of NHS trust board members","University College London Hospitals NHS Foundation Trust","RRV","Acute and Acute & Community Trusts","London","White","White & Other","47.3","%"
"Percentage of NHS trust board members","University College London Hospitals NHS Foundation Trust","RRV","Acute and Acute & Community Trusts","London","Other","White & Other","49.5","%"
"Percentage of NHS trust board members","University College London Hospitals NHS Foundation Trust","RRV","Acute and Acute & Community Trusts","London","Unknown","White & Other","3.2","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","White","White & Other","81.3","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Other","White & Other","16.3","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Unknown","White & Other","2.4","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","84.1","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","14.7","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","Royal Brompton and Harefield NHS Foundation Trust","RT3","Acute Specialist Trusts","London","White","White & Other","54.3","%"
"Percentage of NHS trust board members","Royal Brompton and Harefield NHS Foundation Trust","RT3","Acute Specialist Trusts","London","Other","White & Other","38.6","%"
"Percentage of NHS trust board members","Royal Brompton and Harefield NHS Foundation Trust","RT3","Acute Specialist Trusts","London","Unknown","White & Other","7.1","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","73.5","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","23.7","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","88.6","%"
"Percentage of NHS trust board members","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","9.7","%"
"Percentage of NHS trust board members","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute and Acute & Community Trusts","South West","White","White & Other","78","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute and Acute & Community Trusts","South West","Other","White & Other","16.6","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute and Acute & Community Trusts","South West","Unknown","White & Other","5.4","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","93.6","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","5.5","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","0.9","%"
"Percentage of NHS trust board members","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","Acute and Acute & Community Trusts","Midlands","White","White & Other","77","%"
"Percentage of NHS trust board members","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","Acute and Acute & Community Trusts","Midlands","Other","White & Other","21.7","%"
"Percentage of NHS trust board members","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute and Acute & Community Trusts","South East","White","White & Other","67","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute and Acute & Community Trusts","South East","Other","White & Other","25.5","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute and Acute & Community Trusts","South East","Unknown","White & Other","7.5","%"
"Percentage of NHS trust board members","Ashford And St Peter's Hospitals NHS Foundation Trust","RTK","Acute and Acute & Community Trusts","South East","White","White & Other","59.2","%"
"Percentage of NHS trust board members","Ashford And St Peter's Hospitals NHS Foundation Trust","RTK","Acute and Acute & Community Trusts","South East","Other","White & Other","39","%"
"Percentage of NHS trust board members","Ashford And St Peter's Hospitals NHS Foundation Trust","RTK","Acute and Acute & Community Trusts","South East","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","Surrey and Sussex Healthcare NHS Trust","RTP","Acute and Acute & Community Trusts","South East","White","White & Other","61.4","%"
"Percentage of NHS trust board members","Surrey and Sussex Healthcare NHS Trust","RTP","Acute and Acute & Community Trusts","South East","Other","White & Other","38","%"
"Percentage of NHS trust board members","Surrey and Sussex Healthcare NHS Trust","RTP","Acute and Acute & Community Trusts","South East","Unknown","White & Other","0.6","%"
"Percentage of NHS trust board members","Gloucestershire Health and Care NHS Foundation Trust","RTQ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","White","White & Other","91.7","%"
"Percentage of NHS trust board members","Gloucestershire Health and Care NHS Foundation Trust","RTQ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Other","White & Other","7.1","%"
"Percentage of NHS trust board members","Gloucestershire Health and Care NHS Foundation Trust","RTQ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","South Tees Hospitals NHS Foundation Trust","RTR","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","86","%"
"Percentage of NHS trust board members","South Tees Hospitals NHS Foundation Trust","RTR","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","9.6","%"
"Percentage of NHS trust board members","South Tees Hospitals NHS Foundation Trust","RTR","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","4.5","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","87.6","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","5.6","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","6.9","%"
"Percentage of NHS trust board members","University Hospitals Of Morecambe Bay NHS Foundation Trust","RTX","Acute and Acute & Community Trusts","North West","White","White & Other","82.1","%"
"Percentage of NHS trust board members","University Hospitals Of Morecambe Bay NHS Foundation Trust","RTX","Acute and Acute & Community Trusts","North West","Other","White & Other","8.5","%"
"Percentage of NHS trust board members","University Hospitals Of Morecambe Bay NHS Foundation Trust","RTX","Acute and Acute & Community Trusts","North West","Unknown","White & Other","9.4","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","51.6","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","44.5","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","3.9","%"
"Percentage of NHS trust board members","South London and Maudsley NHS Foundation Trust","RV5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","51","%"
"Percentage of NHS trust board members","South London and Maudsley NHS Foundation Trust","RV5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","46","%"
"Percentage of NHS trust board members","South London and Maudsley NHS Foundation Trust","RV5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","3.1","%"
"Percentage of NHS trust board members","Humber Teaching NHS Foundation Trust","RV9","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","87.3","%"
"Percentage of NHS trust board members","Humber Teaching NHS Foundation Trust","RV9","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","4.7","%"
"Percentage of NHS trust board members","Humber Teaching NHS Foundation Trust","RV9","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","8","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute and Acute & Community Trusts","South West","White","White & Other","79.3","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute and Acute & Community Trusts","South West","Other","White & Other","17.2","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute and Acute & Community Trusts","South West","Unknown","White & Other","3.5","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","White","White & Other","82","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Other","White & Other","12.1","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Unknown","White & Other","5.9","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute and Acute & Community Trusts","London","White","White & Other","57.3","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute and Acute & Community Trusts","London","Other","White & Other","38","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute and Acute & Community Trusts","London","Unknown","White & Other","4.7","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute and Acute & Community Trusts","South East","White","White & Other","65.1","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute and Acute & Community Trusts","South East","Other","White & Other","18.9","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute and Acute & Community Trusts","South East","Unknown","White & Other","16","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","87.4","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","11.1","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.5","%"
"Percentage of NHS trust board members","Southport and Ormskirk Hospital NHS Trust","RVY","Acute and Acute & Community Trusts","North West","White","White & Other","82","%"
"Percentage of NHS trust board members","Southport and Ormskirk Hospital NHS Trust","RVY","Acute and Acute & Community Trusts","North West","Other","White & Other","8","%"
"Percentage of NHS trust board members","Southport and Ormskirk Hospital NHS Trust","RVY","Acute and Acute & Community Trusts","North West","Unknown","White & Other","10","%"
"Percentage of NHS trust board members","Southern Health NHS Foundation Trust","RW1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","88.1","%"
"Percentage of NHS trust board members","Southern Health NHS Foundation Trust","RW1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","10.2","%"
"Percentage of NHS trust board members","Southern Health NHS Foundation Trust","RW1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","90.5","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","6.4","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","3.1","%"
"Percentage of NHS trust board members","Lancashire and South Cumbria NHS Foundation Trust","RW5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","87.1","%"
"Percentage of NHS trust board members","Lancashire and South Cumbria NHS Foundation Trust","RW5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","10.1","%"
"Percentage of NHS trust board members","Lancashire and South Cumbria NHS Foundation Trust","RW5","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute and Acute & Community Trusts","North West","White","White & Other","76.9","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute and Acute & Community Trusts","North West","Other","White & Other","21.7","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","Hull University Teaching Hospitals NHS Trust","RWA","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","84.1","%"
"Percentage of NHS trust board members","Hull University Teaching Hospitals NHS Trust","RWA","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","13.9","%"
"Percentage of NHS trust board members","Hull University Teaching Hospitals NHS Trust","RWA","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","2","%"
"Percentage of NHS trust board members","United Lincolnshire Hospitals NHS Trust","RWD","Acute and Acute & Community Trusts","Midlands","White","White & Other","85.1","%"
"Percentage of NHS trust board members","United Lincolnshire Hospitals NHS Trust","RWD","Acute and Acute & Community Trusts","Midlands","Other","White & Other","13.3","%"
"Percentage of NHS trust board members","United Lincolnshire Hospitals NHS Trust","RWD","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.6","%"
"Percentage of NHS trust board members","University Hospitals of Leicester NHS Trust","RWE","Acute and Acute & Community Trusts","Midlands","White","White & Other","61.4","%"
"Percentage of NHS trust board members","University Hospitals of Leicester NHS Trust","RWE","Acute and Acute & Community Trusts","Midlands","Other","White & Other","37.3","%"
"Percentage of NHS trust board members","University Hospitals of Leicester NHS Trust","RWE","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute and Acute & Community Trusts","South East","White","White & Other","68.9","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute and Acute & Community Trusts","South East","Other","White & Other","24.7","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute and Acute & Community Trusts","South East","Unknown","White & Other","6.3","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute and Acute & Community Trusts","East of England","White","White & Other","50","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute and Acute & Community Trusts","East of England","Other","White & Other","42","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","8","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute and Acute & Community Trusts","East of England","White","White & Other","59.6","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute and Acute & Community Trusts","East of England","Other","White & Other","32.6","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","7.7","%"
"Percentage of NHS trust board members","Stockport NHS Foundation Trust","RWJ","Acute and Acute & Community Trusts","North West","White","White & Other","79.7","%"
"Percentage of NHS trust board members","Stockport NHS Foundation Trust","RWJ","Acute and Acute & Community Trusts","North West","Other","White & Other","17.5","%"
"Percentage of NHS trust board members","Stockport NHS Foundation Trust","RWJ","Acute and Acute & Community Trusts","North West","Unknown","White & Other","2.9","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","46.3","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","52","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","1.6","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute and Acute & Community Trusts","Midlands","White","White & Other","82.4","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute and Acute & Community Trusts","Midlands","Other","White & Other","17","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","0.6","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","White","White & Other","59.6","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Other","White & Other","36","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Unknown","White & Other","4.3","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","White","White & Other","89.2","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Other","White & Other","4.7","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Unknown","White & Other","6.1","%"
"Percentage of NHS trust board members","Warrington and Halton Teaching Hospitals NHS Foundation Trust","RWW","Acute and Acute & Community Trusts","North West","White","White & Other","86.3","%"
"Percentage of NHS trust board members","Warrington and Halton Teaching Hospitals NHS Foundation Trust","RWW","Acute and Acute & Community Trusts","North West","Other","White & Other","12.4","%"
"Percentage of NHS trust board members","Warrington and Halton Teaching Hospitals NHS Foundation Trust","RWW","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","70.1","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","25.8","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","4.1","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","78","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","18","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","4","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute and Acute & Community Trusts","Midlands","White","White & Other","66.8","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute and Acute & Community Trusts","Midlands","Other","White & Other","19","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","14.2","%"
"Percentage of NHS trust board members","Sussex Partnership NHS Foundation Trust","RX2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","85.9","%"
"Percentage of NHS trust board members","Sussex Partnership NHS Foundation Trust","RX2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","12.5","%"
"Percentage of NHS trust board members","Sussex Partnership NHS Foundation Trust","RX2","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","94.4","%"
"Percentage of NHS trust board members","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","4.7","%"
"Percentage of NHS trust board members","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","0.9","%"
"Percentage of NHS trust board members","Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","92.1","%"
"Percentage of NHS trust board members","Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","6.2","%"
"Percentage of NHS trust board members","Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","1.6","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance Trusts","North East and Yorkshire","White","White & Other","94.5","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance Trusts","North East and Yorkshire","Other","White & Other","1.6","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance Trusts","North East and Yorkshire","Unknown","White & Other","3.9","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance Trusts","North West","White","White & Other","93.7","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance Trusts","North West","Other","White & Other","5","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance Trusts","North West","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance Trusts","North East and Yorkshire","White","White & Other","93.7","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance Trusts","North East and Yorkshire","Other","White & Other","6.1","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance Trusts","North East and Yorkshire","Unknown","White & Other","0.3","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance Trusts","Midlands","White","White & Other","95.7","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance Trusts","Midlands","Other","White & Other","3.3","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance Trusts","Midlands","Unknown","White & Other","0.9","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","92.6","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","5.5","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute and Acute & Community Trusts","South East","White","White & Other","78.4","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute and Acute & Community Trusts","South East","Other","White & Other","17.5","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute and Acute & Community Trusts","South East","Unknown","White & Other","4.1","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","91.9","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","5.3","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","The Mid Yorkshire Hospitals NHS Trust","RXF","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","82.4","%"
"Percentage of NHS trust board members","The Mid Yorkshire Hospitals NHS Trust","RXF","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","15.6","%"
"Percentage of NHS trust board members","The Mid Yorkshire Hospitals NHS Trust","RXF","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","2","%"
"Percentage of NHS trust board members","South West Yorkshire Partnership NHS Foundation Trust","RXG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","89.1","%"
"Percentage of NHS trust board members","South West Yorkshire Partnership NHS Foundation Trust","RXG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","10.8","%"
"Percentage of NHS trust board members","South West Yorkshire Partnership NHS Foundation Trust","RXG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","0.1","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute and Acute & Community Trusts","South East","White","White & Other","77.6","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute and Acute & Community Trusts","South East","Other","White & Other","19.4","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute and Acute & Community Trusts","South East","Unknown","White & Other","2.9","%"
"Percentage of NHS trust board members","Sandwell and West Birmingham Hospitals NHS Trust","RXK","Acute and Acute & Community Trusts","Midlands","White","White & Other","47.9","%"
