"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","3.5"," %","","299955","10511"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","0"," %","","300245","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","4"," %","","71180","2829"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","9.2"," %","","271100","25037"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","4.5"," %","","133825","5960"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","5.6"," %","","661775","36990"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","11.2"," %","","357275","39963"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","6.7"," %","","277270","18596"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","2.6"," %","","299100","7918"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","5.9"," %","","250900","14896"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","6.3"," %","","250175","15804"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","7.9"," %","","4327680","340217"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","7.5"," %","","3825565","287992"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","7.7"," %","","251040","19238"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","8.6"," %","","154640","13344"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","20.7"," %","","96430","19987"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","4.7"," %","","133320","6317"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","2.1"," %","","177800","3706"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","3.5"," %","","843755","29446"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","6.4"," %","","299955","19188"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","3.5"," %","","300245","10497"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","16.2"," %","","71180","11520"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","7.1"," %","","271100","19141"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","1.7"," %","","133825","2324"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","5.8"," %","","661775","38564"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","9.6"," %","","357275","34121"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","7.1"," %","","277270","19761"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","18.1"," %","","299100","54204"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","17.9"," %","","250900","44936"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","18.4"," %","","250175","46103"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","84.3"," %","","1359550","1146201"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","83.6"," %","","1175670","982959"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","88.1"," %","","94640","83406"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","89.2"," %","","54115","48267"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","89.9"," %","","35135","31577"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","93.8"," %","","60400","56654"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","87.8"," %","","86740","76192"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","95.7"," %","","163445","156347"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","88.2"," %","","241100","212586"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","82.3"," %","","44680","36762"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","84.2"," %","","130300","109701"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","85"," %","","80000","67989"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","81.9"," %","","63945","52359"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","86.9"," %","","193155","167848"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","81.6"," %","","120475","98256"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","65.7"," %","","18915","12435"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","59.8"," %","","62550","37404"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","56.1"," %","","25165","14109"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","69.3"," %","","68685","47567"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","4"," %","","1359550","54831"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","4.4"," %","","1175670","51812"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","2.6"," %","","94640","2484"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","0.5"," %","","54115","254"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","0.8"," %","","35135","281"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","0"," %","","60400","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","2.3"," %","","86740","1981"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","1.6"," %","","163445","2658"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","4.7"," %","","241100","11428"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","6.1"," %","","44680","2744"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","5.7"," %","","130300","7427"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","6.3"," %","","80000","5068"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","5.8"," %","","63945","3740"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","2.8"," %","","193155","5437"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","6.7"," %","","120475","8130"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","4"," %","","18915","747"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","3.7"," %","","62550","2320"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","5.9"," %","","25165","1477"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","2.4"," %","","68685","1673"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","11.7"," %","","1359550","158518"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","12"," %","","1175670","140899"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","9.2"," %","","94640","8750"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","10.3"," %","","54115","5593"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","9.3"," %","","35135","3277"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","6.2"," %","","60400","3746"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","9.9"," %","","86740","8567"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","2.7"," %","","163445","4439"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","7.1"," %","","241100","17086"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","11.6"," %","","44680","5174"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","10.1"," %","","130300","13172"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","8.7"," %","","80000","6943"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","12.3"," %","","63945","7846"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","10.3"," %","","193155","19871"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","11.7"," %","","120475","14089"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","30.3"," %","","18915","5733"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","36.5"," %","","62550","22826"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","38.1"," %","","25165","9579"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","28.3"," %","","68685","19445"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","All","89.1"," %","","4278225","3813745"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","England","All","88.7"," %","","3801625","3370649"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Scotland","All","93.7"," %","","235455","220701"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Wales","All","94.5"," %","","144070","136080"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","88.9"," %","","97075","86314"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","94.6"," %","","130935","123847"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","88.8"," %","","201330","178767"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","92.9"," %","","821445","762748"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","83.8"," %","","313950","262973"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","95.6"," %","","277715","265385"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","83"," %","","52705","43759"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","88.4"," %","","279115","246802"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","91.6"," %","","136095","124642"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","90.6"," %","","620755","562148"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","87.9"," %","","366205","321752"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","88.8"," %","","263715","234092"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","85.1"," %","","299320","254606"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","85.7"," %","","249530","213751"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","82.5"," %","","265400","218937"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","All","4.4"," %","","4278225","189606"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","England","All","5"," %","","3801625","188199"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Scotland","All","0.4"," %","","235455","900"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Wales","All","0"," %","","144070","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","0.5"," %","","97075","508"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","0.9"," %","","130935","1135"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","4"," %","","201330","7981"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","2"," %","","821445","16743"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","12.3"," %","","313950","38510"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","2.5"," %","","277715","6837"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","5.4"," %","","52705","2864"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","5.2"," %","","279115","14502"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","4.8"," %","","136095","6538"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","4.6"," %","","620755","28731"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","5.5"," %","","366205","20222"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","3.9"," %","","263715","10227"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","5.4"," %","","299320","16174"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","2.5"," %","","249530","6251"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","4.8"," %","","265400","12747"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2018","Year","18+","Labour Force age bracket","Non employer","UK","All","6.4"," %","","4278225","274874"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2018","Year","18+","Labour Force age bracket","Non employer","England","All","6.4"," %","","3801625","242777"
