"Measure","Ethnic group","Year","Household type","Value","value_label","Source","Geography","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Married, no children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Married, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Married, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Married, no children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Married, no children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Married, Dependent children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Married, Dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Married, Dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Married, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Married, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Married, non-dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Married, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Married, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Married, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Married, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Cohab, no children","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Cohab, no children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Cohab, no children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Cohab, no children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Cohab, no children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Cohab, Dependent children","1.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Cohab, Dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Cohab, Dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Cohab, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Cohab, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Cohab, non-dependent children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Cohab, non-dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Cohab, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Cohab, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Cohab, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Lone parent, Dependent children","2.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Lone parent, Dependent children","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Lone parent, Dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Lone parent, Dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Lone parent, Dependent children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Lone parent, non-dependent children","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Lone parent, non-dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Lone parent, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Lone parent, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Lone parent, non-dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Other, with dependent children","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Other, with dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Other, with dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Other, with dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Other, with dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","All full-time students","3.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","All full-time students","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","All full-time students","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","All full-time students","1.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","All full-time students","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Other, All pensioners","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Other, All pensioners","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Other, All pensioners","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Other, All pensioners","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Other, All pensioners","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Any other household type","2.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Any other household type","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Any other household type","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Any other household type","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Any other household type","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Single pensioner","1.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Single pensioner","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Single pensioner","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Single pensioner","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Single pensioner","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Single pensioner","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Single non-pensioner","4.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Single non-pensioner","1.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Single non-pensioner","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Single non-pensioner","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Single non-pensioner","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Single non-pensioner","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Pensioner couple","1.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Pensioner couple","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Pensioner couple","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Pensioner couple","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Pensioner couple","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Pensioner couple","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Married, no children","3.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Married, no children","1.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Married, no children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Married, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Married, no children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Married, no children","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Married, Dependent children","10.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Married, Dependent children","3.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Married, Dependent children","3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Married, Dependent children","1.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Married, Dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Married, Dependent children","2.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Married, non-dependent children","6.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Married, non-dependent children","3.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Married, non-dependent children","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Married, non-dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Married, non-dependent children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Married, non-dependent children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Cohab, no children","1.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Cohab, no children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Cohab, no children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Cohab, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Cohab, no children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Cohab, no children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Cohab, Dependent children","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Cohab, Dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Cohab, Dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Cohab, Dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Cohab, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Cohab, Dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Cohab, non-dependent children","1.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Cohab, non-dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Cohab, non-dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Cohab, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Cohab, non-dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Cohab, non-dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Lone parent, Dependent children","4.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Lone parent, Dependent children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Lone parent, Dependent children","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Lone parent, Dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Lone parent, Dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Lone parent, Dependent children","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Lone parent, non-dependent children","4.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Lone parent, non-dependent children","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Lone parent, non-dependent children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Lone parent, non-dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Lone parent, non-dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Lone parent, non-dependent children","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Other, with dependent children","21.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Other, with dependent children","6.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Other, with dependent children","6.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Other, with dependent children","2.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Other, with dependent children","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Other, with dependent children","3.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","All full-time students","20.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","All full-time students","5.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","All full-time students","2.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","All full-time students","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","All full-time students","7.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","All full-time students","4.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Other, All pensioners","1.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Other, All pensioners","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Other, All pensioners","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Other, All pensioners","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Other, All pensioners","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Other, All pensioners","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian","2011","Any other household type","10.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Indian","2011","Any other household type","4.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Pakistani","2011","Any other household type","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Bangladeshi","2011","Any other household type","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Chinese","2011","Any other household type","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Asian - Other","2011","Any other household type","2.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Single pensioner","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Single pensioner","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Single pensioner","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Single pensioner","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Single non-pensioner","4.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Single non-pensioner","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Single non-pensioner","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Single non-pensioner","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Pensioner couple","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Pensioner couple","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Pensioner couple","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Pensioner couple","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Married, no children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Married, no children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Married, no children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Married, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Married, Dependent children","3.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Married, Dependent children","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Married, Dependent children","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Married, Dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Married, non-dependent children","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Married, non-dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Married, non-dependent children","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Married, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Cohab, no children","1.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Cohab, no children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Cohab, no children","0.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Cohab, no children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Cohab, Dependent children","3.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Cohab, Dependent children","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Cohab, Dependent children","1.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Cohab, Dependent children","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Cohab, non-dependent children","2.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Cohab, non-dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Cohab, non-dependent children","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Cohab, non-dependent children","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Lone parent, Dependent children","8.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Lone parent, Dependent children","4.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Lone parent, Dependent children","2.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Lone parent, Dependent children","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Lone parent, non-dependent children","4.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Lone parent, non-dependent children","1.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Lone parent, non-dependent children","2.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Lone parent, non-dependent children","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Other, with dependent children","8.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Other, with dependent children","4.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Other, with dependent children","2.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Other, with dependent children","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","All full-time students","5.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","All full-time students","4.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","All full-time students","0.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","All full-time students","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Other, All pensioners","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Other, All pensioners","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Caribbean","2011","Other, All pensioners","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - Other","2011","Other, All pensioners","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black","2011","Any other household type","4.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Black - African","2011","Any other household type","2.5","col%","Census","England and Wales","","","","","","","","","",""
