"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","No Sustained Destination","10.3","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","No Sustained Destination","7","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","No Sustained Destination","8.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","No Sustained Destination","10.8","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","No Sustained Destination","9.5","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","No Sustained Destination","9.7","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","No Sustained Destination","6.8","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","No Sustained Destination","8.3","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","No Sustained Destination","11.4","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","9.1","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","No Sustained Destination","11.5","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","No Sustained Destination","7.4","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","No Sustained Destination","9.2","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","No Sustained Destination","6.3","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","No Sustained Destination","6.9","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","No Sustained Destination","8.5","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","No Sustained Destination","11","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","No Sustained Destination","9.1","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","No Sustained Destination","6.2","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","No Sustained Destination","7","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","No Sustained Destination","8.3","%","1180"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","No Sustained Destination","8.5","%","2840"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","No Sustained Destination","8.7","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","No Sustained Destination","6","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","No Sustained Destination","7.2","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","No Sustained Destination","10.4","%","845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","8.8","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","No Sustained Destination","!","%","!"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","No Sustained Destination","8.3","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","No Sustained Destination","8.8","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","No Sustained Destination","5.1","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","No Sustained Destination","6.6","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","No Sustained Destination","8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","No Sustained Destination","8.5","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","No Sustained Destination","9.1","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","White","LEO","No Sustained Destination","5.4","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","No Sustained Destination","6.6","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","No Sustained Destination","8.5","%","965"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","No Sustained Destination","7.6","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","No Sustained Destination","8.3","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","No Sustained Destination","4.9","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","No Sustained Destination","6.3","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","No Sustained Destination","8.2","%","690"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","6.3","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","No Sustained Destination","7.3","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","No Sustained Destination","7.1","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","No Sustained Destination","4.8","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","No Sustained Destination","5.8","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","No Sustained Destination","6.6","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","No Sustained Destination","7.4","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","No Sustained Destination","7.6","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","White","LEO","No Sustained Destination","4.4","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","No Sustained Destination","3.9","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","No Sustained Destination","8.7","%","550"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","No Sustained Destination","6.1","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Sustained Employment Further Study Or Both","85.9","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Sustained Employment Further Study Or Both","87.7","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","85.3","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","81.6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","81.7","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Sustained Employment Further Study Or Both","80.9","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Sustained Employment Further Study Or Both","87","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.6","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Sustained Employment Further Study Or Both","80.4","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Sustained Employment Further Study Or Both","87.4","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Sustained Employment Further Study Or Both","82.4","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Sustained Employment Further Study Or Both","81.6","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Sustained Employment Further Study Or Both","84.1","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Sustained Employment Further Study Or Both","88.6","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","84.8","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","83","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.7","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Sustained Employment Further Study Or Both","82.9","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Sustained Employment Further Study Or Both","85.9","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","80.5","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","77.2","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","80.9","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Sustained Employment Further Study Or Both","77.1","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Sustained Employment Further Study Or Both","86.3","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Sustained Employment Further Study Or Both","85.7","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Sustained Employment Further Study Or Both","76.4","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Sustained Employment Further Study Or Both","86.5","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Sustained Employment Further Study Or Both","81.5","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Sustained Employment Further Study Or Both","77.7","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Sustained Employment Further Study Or Both","81.8","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","Sustained Employment Further Study Or Both","86.9","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","83.9","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","81.9","%","1180"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","85.7","%","2840"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Sustained Employment Further Study Or Both","81","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Sustained Employment Further Study Or Both","84.9","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","80.2","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","76.7","%","845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","78.3","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Sustained Employment Further Study Or Both","!","%","!"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Sustained Employment Further Study Or Both","83.2","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Sustained Employment Further Study Or Both","84.7","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Sustained Employment Further Study Or Both","74.6","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Sustained Employment Further Study Or Both","86.1","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Sustained Employment Further Study Or Both","79.2","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Sustained Employment Further Study Or Both","77.6","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Sustained Employment Further Study Or Both","79.4","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","White","LEO","Sustained Employment Further Study Or Both","86","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","82","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","80.6","%","965"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","84.8","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Sustained Employment Further Study Or Both","76.2","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Sustained Employment Further Study Or Both","82.3","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","76.2","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","76.4","%","690"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","75.7","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Sustained Employment Further Study Or Both","80.6","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Sustained Employment Further Study Or Both","82.4","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Sustained Employment Further Study Or Both","66","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Sustained Employment Further Study Or Both","83.1","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Sustained Employment Further Study Or Both","78.3","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Sustained Employment Further Study Or Both","72.8","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Sustained Employment Further Study Or Both","76.2","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","White","LEO","Sustained Employment Further Study Or Both","83.5","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","79.6","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","76.4","%","550"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","84","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Sustained Employment Only","56.8","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Sustained Employment Only","63.6","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Sustained Employment Only","59.6","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Sustained Employment Only","56.1","%","990"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","57.8","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Sustained Employment Only","45.2","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Sustained Employment Only","62.9","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Sustained Employment Only","65.3","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Sustained Employment Only","54.6","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Sustained Employment Only","63.8","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Sustained Employment Only","62.8","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Sustained Employment Only","54.3","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Sustained Employment Only","57.1","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Sustained Employment Only","65.1","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Sustained Employment Only","58.2","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Sustained Employment Only","58.8","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Sustained Employment Only","66.3","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Sustained Employment Only","62.5","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Sustained Employment Only","71.3","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Sustained Employment Only","64.6","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Sustained Employment Only","60","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","65.6","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Sustained Employment Only","54.2","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Sustained Employment Only","74.6","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Sustained Employment Only","69.4","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Sustained Employment Only","62.9","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Sustained Employment Only","73","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Sustained Employment Only","67.8","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Sustained Employment Only","62.8","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Sustained Employment Only","67.2","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","Sustained Employment Only","72.5","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Sustained Employment Only","67.9","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Sustained Employment Only","67","%","1180"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Sustained Employment Only","72.4","%","2840"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Sustained Employment Only","65.4","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Sustained Employment Only","74.5","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Sustained Employment Only","68.4","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Sustained Employment Only","64.4","%","845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","67.3","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Sustained Employment Only","!","%","!"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Sustained Employment Only","76.4","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Sustained Employment Only","73.1","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Sustained Employment Only","65.1","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Sustained Employment Only","77.4","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Sustained Employment Only","68.5","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Sustained Employment Only","65.8","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Sustained Employment Only","70.5","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","White","LEO","Sustained Employment Only","75.7","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Sustained Employment Only","70.6","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Sustained Employment Only","69.1","%","965"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Sustained Employment Only","75.3","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Sustained Employment Only","66.5","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Sustained Employment Only","76.7","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Sustained Employment Only","69.5","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Sustained Employment Only","68.1","%","690"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","69.8","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Sustained Employment Only","76.1","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Sustained Employment Only","75","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Sustained Employment Only","61.8","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Sustained Employment Only","78.6","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Sustained Employment Only","71.8","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Sustained Employment Only","66","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Sustained Employment Only","71.7","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","White","LEO","Sustained Employment Only","78","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Sustained Employment Only","72.6","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Sustained Employment Only","69","%","550"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Sustained Employment Only","76.4","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Sustained Employment With Or Without Further Study","77.6","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Sustained Employment With Or Without Further Study","80.5","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","74.7","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","73.6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","72.8","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Sustained Employment With Or Without Further Study","64.5","%","1045"
