"Measure","Time","Time_type","Geography_code","Geography_name","Geography_type","Ethnicity","Ethnicity_type","Value"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Indian","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Pakistani","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Bangladeshi","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Asian other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Black Caribbean","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Black other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Chinese","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Any other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","White Gypsy/Traveller","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E92000001","England","Country","Arab","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","White British","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","White British","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","White British","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","White British","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","White British","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","White British","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","White British","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","White British","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","White British","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","White Irish","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","White Irish","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","White Irish","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","White Irish","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","White Irish","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","White Irish","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","White Irish","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","White Irish","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","White Irish","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","White other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","White other","ONS 18+1","29"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","White other","ONS 18+1","28"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","White other","ONS 18+1","29"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","White other","ONS 18+1","31"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","White other","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","White other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","White other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","White other","ONS 18+1","32"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Mixed White/Black African","ONS 18+1","32"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Mixed White/Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Mixed White/Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Mixed White/Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Mixed White/Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Mixed White/Black African","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Mixed White/Black African","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Mixed White/Black African","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Mixed White/Black African","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Mixed White/Black African","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Mixed White/Black African","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Mixed White/Black African","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Mixed White/Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Mixed White/Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Mixed White/Black African","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Mixed White/Black African","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Mixed White/Black African","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Mixed White/Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Mixed White/Asian","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Mixed White/Asian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Mixed White/Asian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Mixed White/Asian","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Mixed White/Asian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Mixed White/Asian","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Mixed White/Asian","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Mixed White/Asian","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Mixed White/Asian","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Mixed other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Mixed other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Mixed other","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Mixed other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Mixed other","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Mixed other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Mixed other","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Mixed other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Mixed other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Indian","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Indian","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Indian","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Indian","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Indian","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Indian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Indian","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Indian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Indian","ONS 18+1","31"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Pakistani","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Pakistani","ONS 18+1","32"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Pakistani","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Pakistani","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Pakistani","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Pakistani","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Pakistani","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Pakistani","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Pakistani","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Bangladeshi","ONS 18+1","31"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Bangladeshi","ONS 18+1","31"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Bangladeshi","ONS 18+1","30"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Bangladeshi","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Bangladeshi","ONS 18+1","32"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Bangladeshi","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Bangladeshi","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Bangladeshi","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Bangladeshi","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Asian other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Asian other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Asian other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Asian other","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Asian other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Asian other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Asian other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Asian other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Asian other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Black Caribbean","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Black Caribbean","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Black Caribbean","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Black Caribbean","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Black Caribbean","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Black Caribbean","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Black Caribbean","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Black Caribbean","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Black Caribbean","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Black African","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Black African","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Black African","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Black African","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Black African","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Black African","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Black other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Black other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Black other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Black other","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Black other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Black other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Black other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Black other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Black other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Chinese","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Chinese","ONS 18+1","32"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Chinese","ONS 18+1","26"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Chinese","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Chinese","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Chinese","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Chinese","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Chinese","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Chinese","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Any other","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Any other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Any other","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Any other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Any other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Any other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Any other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Any other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Any other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","White Gypsy/Traveller","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","White Gypsy/Traveller","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","White Gypsy/Traveller","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","White Gypsy/Traveller","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","White Gypsy/Traveller","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","White Gypsy/Traveller","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","White Gypsy/Traveller","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","White Gypsy/Traveller","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","White Gypsy/Traveller","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000001","North East","Region","Arab","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000002","North West","Region","Arab","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000003","Yorkshire & Humber","Region","Arab","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000004","East Midlands","Region","Arab","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000005","West Midlands","Region","Arab","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000006","East of England","Region","Arab","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000007","London","Region","Arab","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000008","South East","Region","Arab","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2015/16","Financial year","E12000009","South West","Region","Arab","ONS 18+1","34"
