"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","76911","72275","16457","15106","73370","73459","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","White","ONS 2011 5+1","Walk","200","281672","257630","435075","389222","73370","73459","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6734","10734897","10215023","1735198","1602867","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","48","76533","69328","27450","24749","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","83","131826","113116","41748","36238","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3368","5369579","5113771","641123","606540","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1913","3049727","2988115","351236","339106","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","134303","109826","22520","18333","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","36","57650","50699","5505","4789","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","88399","83296","1024","977","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","210","334485","313042","73495","68127","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","118","188164","187834","12478","12320","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","48","76090","71991","5411","4857","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","519","827669","750590","31508","27717","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","53","84777","79243","18140","16585","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","198","315696","284173","503560","442529","83120","82612","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4589","479726","410344","101895","85665","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","13","1337","1041","726","559","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","233","24339","20082","6993","5958","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1811","189324","163331","26917","23245","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1253","130957","119023","19385","17491","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","194","20228","16099","2910","2276","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","165","17285","13721","3883","3075","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","44","4585","4487","500","403","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","33","3412","2753","453","331","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","535","55873","43717","2896","2314","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","36","3751","2928","741","589","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","183","19157","15622","36345","29314","5450","4980","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4497","213457","194278","50934","45657","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","638","30298","27655","9303","8487","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1503","71326","65151","9132","8326","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","985","46755","43590","6205","5897","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","223","10568","8910","1625","1384","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","245","11626","10347","2509","2252","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","32","1531","1371","384","358","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","506","24016","21575","1749","1541","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","45","2115","1887","480","428","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","192","9116","8001","19036","16526","2475","2396","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4950","129937","115470","26919","23645","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","43","1137","927","476","395","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","218","5723","4807","1733","1453","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1303","34212","29231","4547","4000","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1832","48095","45496","6535","6290","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","132","3462","2726","656","492","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","213","5595","5015","1476","1312","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","625","16414","14219","681","582","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","70","1830","1571","441","369","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","241","6326","5387","10048","8463","1369","1285","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4429","94291","82283","20306","16907","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","47","997","763","428","325","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","311","6616","5022","1967","1572","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1503","32005","28951","4217","3767","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1149","24454","23288","2951","2817","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","321","6837","5285","979","739","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","177","3776","3004","1030","834","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","452","9626","8308","484","396","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","228","4850","3837","7845","6114","1110","1014","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","All Modes","7037","9806947","9403474","1533764","1429813","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Bicycle","52","72234","65962","25426","23162","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Bus in London","46","64504","55251","21653","18673","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3615","5038178","4823127","595977","566916","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2007","2796366","2754027","315970","306441","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","London Underground","67","92969","76594","16286","13381","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","40","56100","49565","5370","4689","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Non-local bus","50","70162","68540","852","830","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other local bus","212","296126","280878","64576","60633","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other private transport","127","177371","177695","11546","11526","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other public transport","51","70411","67200","4411","4019","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Surface Rail","517","720406","661477","25657","22843","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","76191","72100","16241","15004","72660","72885","            "
"Average distance per year by mode of transport","2008-2012","5-year rolling average","White","ONS 2011 5+1","Walk","198","275929","251057","429798","381696","72660","72885","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6675","10615867","10120133","1710603","1582947","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","49","78070","70503","26664","23885","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","83","132368","114567","42019","36766","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3318","5277322","5046265","630100","598680","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1896","3014774","2956499","345071","334232","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","132821","109271","21984","17979","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","35","55104","48499","5193","4519","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","87059","82342","977","926","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","207","328930","307191","72134","66719","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","120","191467","189049","11958","11842","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","47","74104","71400","5762","5140","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","532","845574","763199","32225","28308","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","85187","79527","17890","16324","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","197","313087","281821","498624","437627","82923","82444","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4556","493424","425906","104511","89207","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","11","1182","957","616","507","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","219","23716","20079","6817","5971","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1843","199631","174604","28341","24829","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1231","133286","120775","20027","18132","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","187","20202","16099","2793","2205","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","156","16924","13634","3750","3052","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","47","5052","4659","494","406","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","36","3857","3347","393","311","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","528","57181","45204","2983","2414","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","36","3948","3196","815","660","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","182","19695","16346","37295","30579","5646","5216","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4394","220559","198310","53643","47898","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","640","32138","29087","9754","8822","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1390","69744","63099","9018","8245","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","1019","51123","46312","6598","6213","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","223","11206","9242","1758","1456","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","225","11272","10016","2531","2260","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","27","1374","1215","370","345","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","522","26193","23464","1857","1663","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","45","2266","2012","526","442","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","192","9643","8551","20728","17990","2617","2530","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4841","127029","112757","26615","23726","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","36","950","825","375","333","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","199","5225","4724","1742","1569","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1309","34356","30072","4628","4149","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1736","45554","42501","6449","6182","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","122","3188","2522","610","454","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","208","5450","4836","1433","1258","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","680","17830","14730","705","592","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","69","1821","1593","405","346","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","237","6220","5426","9894","8507","1368","1296","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4588","95785","83206","20200","16724","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","336","7022","5351","2037","1627","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1641","34268","30780","4432","3969","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1181","24661","23297","2773","2686","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","316","6600","4940","907","661","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","164","3414","2680","975","775","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","453","9466","8072","605","465","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","223","4657","3674","7791","5992","1089","982","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","All Modes","6990","9671792","9293979","1504301","1404315","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Bicycle","54","74102","67307","24944","22490","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Bus in London","46","63861","54991","21527","18657","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3568","4936665","4745417","583387","557248","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1993","2758008","2721917","309079","300900","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","London Underground","66","91396","76264","15854","13144","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","39","53787","47592","5029","4399","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Non-local bus","51","70573","68695","823","792","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other local bus","211","291831","275990","63436","59364","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other private transport","131","180705","179286","11019","11021","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other public transport","49","68052","66081","4816","4316","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Surface Rail","530","734031","670950","26025","23130","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","76210","71910","15919","14683","72146","72371","            "
"Average distance per year by mode of transport","2009-2013","5-year rolling average","White","ONS 2011 5+1","Walk","197","272572","247580","422443","374171","72146","72371","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6630","10474070","9932835","1681704","1549508","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","51","80764","71853","27134","23906","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","82","129978","112723","41170","35904","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3318","5241244","4984682","623196","589925","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1856","2932211","2859092","338718","326397","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","133327","109026","21941","17767","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","33","52401","45791","5223","4527","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","87453","82267","1034","976","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","205","323188","301018","69886","64464","82367","81636","            "
